Run,Assay Type,BioProject,BioSample,Center Name,collection_date,Consent,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),INSDC_center_name,INSDC_status,Instrument,isolation_source,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_name,scientific_name,SRA Study,Submitter_Id,AvgSpotLen,Bases,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,create_date,version
ERR13294550,OTHER,PRJEB76651,SAMEA115752399,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-09-12,public,2025-01-14,2025-01-14,2025-01-14,ERX12665412,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,ENVIRONMENT,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752399,Waste013.2022-09-12_Troms,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste013.2022-09-12_Troms,,,,,,,,
ERR13294551,OTHER,PRJEB76651,SAMEA115752402,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-11-07,public,2025-01-14,2025-01-14,2025-01-14,ERX12665413,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,ENVIRONMENT,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752402,Waste013.2022-11-07_Troms,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste013.2022-11-07_Troms,,,,,,,,
ERR13294552,OTHER,PRJEB76651,SAMEA115752407,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-11-14,public,2025-01-14,2025-01-14,2025-01-14,ERX12665414,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,ENVIRONMENT,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752407,Waste013.2022-11-14_Troms,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste013.2022-11-14_Troms,,,,,,,,
ERR13294553,OTHER,PRJEB76651,SAMEA115752416,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-11-21,public,2025-01-14,2025-01-14,2025-01-14,ERX12665415,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,ENVIRONMENT,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752416,Waste014.2022-11-21_Troms,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste014.2022-11-21_Troms,,,,,,,,
ERR13294554,OTHER,PRJEB76651,SAMEA115752421,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-11-28,public,2025-01-14,2025-01-14,2025-01-14,ERX12665416,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,ENVIRONMENT,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752421,Waste014.2022-11-28_Troms,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste014.2022-11-28_Troms,,,,,,,,
ERR13294555,OTHER,PRJEB76651,SAMEA115752442,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-08-22,public,2025-01-14,2025-01-14,2025-01-14,ERX12665417,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,ENVIRONMENT,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752442,Waste016.2022-08-22_Troms,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste016.2022-08-22_Troms,,,,,,,,
ERR13294556,OTHER,PRJEB76651,SAMEA115752447,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-08-29,public,2025-01-14,2025-01-14,2025-01-14,ERX12665418,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,ENVIRONMENT,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752447,Waste016.2022-08-29_Troms,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste016.2022-08-29_Troms,,,,,,,,
ERR13294557,OTHER,PRJEB76651,SAMEA115752450,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-09-05,public,2025-01-14,2025-01-14,2025-01-14,ERX12665419,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,ENVIRONMENT,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752450,Waste016.2022-09-05_Troms,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste016.2022-09-05_Troms,,,,,,,,
ERR13294558,OTHER,PRJEB76651,SAMEA115752459,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-10-10,public,2025-01-14,2025-01-14,2025-01-14,ERX12665420,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,ENVIRONMENT,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752459,Waste016.2022-10-10_Troms,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste016.2022-10-10_Troms,,,,,,,,
ERR13294559,OTHER,PRJEB76651,SAMEA115752484,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-09-19,public,2025-01-14,2025-01-14,2025-01-14,ERX12665421,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,ENVIRONMENT,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752484,Waste018.2022-09-19_Troms,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste018.2022-09-19_Troms,,,,,,,,
ERR13294560,OTHER,PRJEB76651,SAMEA115752489,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-10-24,public,2025-01-14,2025-01-14,2025-01-14,ERX12665422,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,ENVIRONMENT,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752489,Waste018.2022-10-24_Troms,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste018.2022-10-24_Troms,,,,,,,,
ERR13294561,OTHER,PRJEB76651,SAMEA115752493,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-10-31,public,2025-01-14,2025-01-14,2025-01-14,ERX12665423,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,ENVIRONMENT,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752493,Waste018.2022-10-31_Troms,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste018.2022-10-31_Troms,,,,,,,,
ERR13743777,OTHER,PRJEB76651,SAMEA115752385,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-10-03,public,2025-01-14,2025-01-14,2025-01-14,ERX12663345,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752385,Waste011.2022-10-03_Bergen,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste011.2022-10-03_Bergen,,,,,,,,
ERR13743778,OTHER,PRJEB76651,SAMEA115752386,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-10-03,public,2025-01-14,2025-01-14,2025-01-14,ERX12663346,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752386,Waste011.2022-10-03_Oslo,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste011.2022-10-03_Oslo,,,,,,,,
ERR13743779,OTHER,PRJEB76651,SAMEA115752388,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-10-03,public,2025-01-14,2025-01-14,2025-01-14,ERX12663348,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752388,Waste011.2022-10-03_Trondheim,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste011.2022-10-03_Trondheim,,,,,,,,
ERR13743780,OTHER,PRJEB76651,SAMEA115752389,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-10-10,public,2025-01-14,2025-01-14,2025-01-14,ERX12663349,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-15T00:00:00Z,SAMEA115752389,Waste011.2022-10-10_Bergen,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste011.2022-10-10_Bergen,,,,,,,,
ERR13743781,OTHER,PRJEB76651,SAMEA115752390,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-10-10,public,2025-01-14,2025-01-14,2025-01-14,ERX12663350,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752390,Waste011.2022-10-10_Oslo,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste011.2022-10-10_Oslo,,,,,,,,
ERR13743782,OTHER,PRJEB76651,SAMEA115752391,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-10-10,public,2025-01-14,2025-01-14,2025-01-14,ERX12663351,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-15T00:00:00Z,SAMEA115752391,Waste011.2022-10-10_Trondheim,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste011.2022-10-10_Trondheim,,,,,,,,
ERR13743783,OTHER,PRJEB76651,SAMEA115752392,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-10-10,public,2025-01-14,2025-01-14,2025-01-14,ERX12663352,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-15T00:00:00Z,SAMEA115752392,Waste011.2022-10-10_Ullensaker,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste011.2022-10-10_Ullensaker,,,,,,,,
ERR13743784,OTHER,PRJEB76651,SAMEA115752393,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-10-17,public,2025-01-14,2025-01-14,2025-01-14,ERX12663353,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752393,Waste011.2022-10-17_Oslo,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste011.2022-10-17_Oslo,,,,,,,,
ERR13743785,OTHER,PRJEB76651,SAMEA115752395,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-10-17,public,2025-01-14,2025-01-14,2025-01-14,ERX12663355,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752395,Waste011.2022-10-17_Ullensaker,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste011.2022-10-17_Ullensaker,,,,,,,,
ERR13743786,OTHER,PRJEB76651,SAMEA115752396,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-09-05,public,2025-01-14,2025-01-14,2025-01-14,ERX12663356,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752396,Waste013.2022-09-05_Bergen,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste013.2022-09-05_Bergen,,,,,,,,
ERR13743787,OTHER,PRJEB76651,SAMEA115752397,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-09-05,public,2025-01-14,2025-01-14,2025-01-14,ERX12663357,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-15T00:00:00Z,SAMEA115752397,Waste013.2022-09-05_Oslo,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste013.2022-09-05_Oslo,,,,,,,,
ERR13743788,OTHER,PRJEB76651,SAMEA115752398,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-09-05,public,2025-01-14,2025-01-14,2025-01-14,ERX12663358,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752398,Waste013.2022-09-05_Ullensaker,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste013.2022-09-05_Ullensaker,,,,,,,,
ERR13743789,OTHER,PRJEB76651,SAMEA115752400,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-11-07,public,2025-01-14,2025-01-14,2025-01-14,ERX12663360,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752400,Waste013.2022-11-07_Bergen,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste013.2022-11-07_Bergen,,,,,,,,
ERR13743790,OTHER,PRJEB76651,SAMEA115752401,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-11-07,public,2025-01-14,2025-01-14,2025-01-14,ERX12663361,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752401,Waste013.2022-11-07_Oslo,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste013.2022-11-07_Oslo,,,,,,,,
ERR13743791,OTHER,PRJEB76651,SAMEA115752403,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-11-07,public,2025-01-14,2025-01-14,2025-01-14,ERX12663363,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752403,Waste013.2022-11-07_Trondheim,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste013.2022-11-07_Trondheim,,,,,,,,
ERR13743792,OTHER,PRJEB76651,SAMEA115752404,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-11-07,public,2025-01-14,2025-01-14,2025-01-14,ERX12663364,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-15T00:00:00Z,SAMEA115752404,Waste013.2022-11-07_Ullensaker,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste013.2022-11-07_Ullensaker,,,,,,,,
ERR13743793,OTHER,PRJEB76651,SAMEA115752405,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-11-14,public,2025-01-14,2025-01-14,2025-01-14,ERX12663365,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752405,Waste013.2022-11-14_Bergen,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste013.2022-11-14_Bergen,,,,,,,,
ERR13743794,OTHER,PRJEB76651,SAMEA115752406,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-11-14,public,2025-01-14,2025-01-14,2025-01-14,ERX12663366,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-15T00:00:00Z,SAMEA115752406,Waste013.2022-11-14_Oslo,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste013.2022-11-14_Oslo,,,,,,,,
ERR13743795,OTHER,PRJEB76651,SAMEA115752408,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-11-14,public,2025-01-14,2025-01-14,2025-01-14,ERX12663368,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-15T00:00:00Z,SAMEA115752408,Waste013.2022-11-14_Trondheim,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste013.2022-11-14_Trondheim,,,,,,,,
ERR13743796,OTHER,PRJEB76651,SAMEA115752409,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-11-14,public,2025-01-14,2025-01-14,2025-01-14,ERX12663369,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752409,Waste013.2022-11-14_Ullensaker,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste013.2022-11-14_Ullensaker,,,,,,,,
ERR13743797,OTHER,PRJEB76651,SAMEA115752410,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,2022-11-07,public,2025-01-14,2025-01-14,2025-01-14,ERX12663370,Norway,Europe,Norway,NORWEGIAN INSTITUTE OF PUBLIC HEALTH,public,GridION,METAGENOMIC,SINGLE,RANDOM,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,OXFORD_NANOPORE,2025-01-14T00:00:00Z,SAMEA115752410,Waste014.2022-11-07_Bergen,Severe acute respiratory syndrome coronavirus 2,ERP161157,Waste014.2022-11-07_Bergen,,,,,,,,
