Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,purpose_of_ww_sampling,purpose_of_ww_sequencing,ReleaseDate,create_date,version,Sample Name,sequenced_by,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_jurisdiction,ww_surv_target_1_known_present,ww_surv_target_1
SRR25209879,AMPLICON,272,100706828,PRJNA992940,SAMN36377578,SARS-CoV-2: wastewater surveillance,32528627,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-12-08,public,"sra,run.zq,activ_sars2_vcf,fastq","gs,ncbi,s3","gs.US,ncbi.public,gs.us-east1,s3.us-east-1",SRX20957010,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Hallam Valley Main - Hampton Park,36795,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:11:00Z,1,36795,WEHI,SRP448241,NA,24,raw wastewater,composite,HVM004A,yes,SARS-CoV-2
SRR25209880,AMPLICON,271,50663343,PRJNA992940,SAMN36377577,SARS-CoV-2: wastewater surveillance,15636282,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-12-08,public,"fastq,activ_sars2_vcf,run.zq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,gs.us-east1,ncbi.public",SRX20957009,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Sandown Branch Diversion - Dandenong South,36793,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:10:00Z,1,36793,WEHI,SRP448241,NA,24,raw wastewater,composite,SBD1,yes,SARS-CoV-2
SRR25209881,AMPLICON,271,15267173,PRJNA992940,SAMN36377409,SARS-CoV-2: wastewater surveillance,4974010,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-11-24,public,"activ_sars2_vcf,run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public,gs.us-east1",SRX20957008,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Hobsons Bay Main - Albert Park,35041,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:10:00Z,1,35041,WEHI,SRP448241,NA,24,raw wastewater,composite,HBM021,yes,SARS-CoV-2
SRR25209882,AMPLICON,272,20238678,PRJNA992940,SAMN36377408,SARS-CoV-2: wastewater surveillance,6074345,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-11-24,public,"activ_sars2_vcf,fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public,gs.US",SRX20957007,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Mentone Intercepting - Braeside,35039,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:10:00Z,1,35039,WEHI,SRP448241,NA,24,raw wastewater,composite,MIS001,yes,SARS-CoV-2
SRR25209883,AMPLICON,272,10227551,PRJNA992940,SAMN36377407,SARS-CoV-2: wastewater surveillance,3266472,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-11-24,public,"run.zq,fastq,sra,activ_sars2_vcf","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1,gs.US",SRX20957006,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Frankston Main - Carrum Downs,35037,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:10:00Z,1,35037,WEHI,SRP448241,NA,24,raw wastewater,composite,FRN19,yes,SARS-CoV-2
SRR25209884,AMPLICON,272,20049545,PRJNA992940,SAMN36377406,SARS-CoV-2: wastewater surveillance,6295344,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-11-24,public,"activ_sars2_vcf,run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public,gs.us-east1",SRX20957005,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Cranbourne Main Dandenong South,35031,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:10:00Z,1,35031,WEHI,SRP448241,NA,24,raw wastewater,composite,CRB002,yes,SARS-CoV-2
SRR25209885,AMPLICON,271,21007944,PRJNA992940,SAMN36377405,SARS-CoV-2: wastewater surveillance,6640083,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-11-24,public,"activ_sars2_vcf,fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public,gs.US",SRX20957004,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Hallam Valley Main - Hampton Park,35029,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:10:00Z,1,35029,WEHI,SRP448241,NA,24,raw wastewater,composite,HVM004A,yes,SARS-CoV-2
SRR25209886,AMPLICON,271,16573995,PRJNA992940,SAMN36377404,SARS-CoV-2: wastewater surveillance,5291014,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-11-24,public,"fastq,activ_sars2_vcf,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public,gs.us-east1",SRX20957003,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Sandown Branch Diversion - Dandenong South,35027,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:10:00Z,1,35027,WEHI,SRP448241,NA,24,raw wastewater,composite,SBD1,yes,SARS-CoV-2
SRR25209887,AMPLICON,271,14590169,PRJNA992940,SAMN36377403,SARS-CoV-2: wastewater surveillance,4446958,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-11-24,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1,gs.us-east1",SRX20957002,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Corhanwarrabul Creek Main - Rowville,35025,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:10:00Z,1,35025,WEHI,SRP448241,NA,24,raw wastewater,composite,CCM2,yes,SARS-CoV-2
SRR25209888,AMPLICON,272,11296772,PRJNA992940,SAMN36377402,SARS-CoV-2: wastewater surveillance,3410420,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-11-24,public,"sra,fastq,run.zq,activ_sars2_vcf","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US,gs.us-east1",SRX20957001,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Lorne,35023,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:10:00Z,1,35023,WEHI,SRP448241,NA,24,raw wastewater,composite,S14LWRP,yes,SARS-CoV-2
SRR25209889,AMPLICON,272,121432419,PRJNA992940,SAMN36377770,SARS-CoV-2: wastewater surveillance,37028832,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-12-21,public,"run.zq,fastq,sra,activ_sars2_vcf","s3,gs,ncbi","gs.us-east1,gs.US,s3.us-east-1,ncbi.public",SRX20957000,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Eastern Treatment Plant,7284638,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:11:00Z,1,7284638,WEHI,SRP448241,NA,23,raw wastewater,composite,ETPRAWSEW,yes,SARS-CoV-2
SRR25209890,AMPLICON,272,16080132,PRJNA992940,SAMN36377401,SARS-CoV-2: wastewater surveillance,4963199,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-11-23,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX20956999,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Moe,35013,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:10:00Z,1,35013,WEHI,SRP448241,NA,24,raw wastewater,composite,GIP-2606,yes,SARS-CoV-2
SRR25209891,AMPLICON,272,151919498,PRJNA992940,SAMN36377769,SARS-CoV-2: wastewater surveillance,47668794,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-12-21,public,"activ_sars2_vcf,sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1,gs.US",SRX20956998,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Western Treatment Plant,7284529,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:11:00Z,1,7284529,WEHI,SRP448241,NA,23,raw wastewater,composite,SFDGSEW,yes,SARS-CoV-2
SRR25209892,AMPLICON,272,239308305,PRJNA992940,SAMN36377768,SARS-CoV-2: wastewater surveillance,76493138,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-12-20,public,"activ_sars2_vcf,run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public,gs.US",SRX20956997,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Drouin,7282742,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:12:00Z,1,7282742,WEHI,SRP448241,NA,96,raw wastewater,composite,GIP 3369,yes,SARS-CoV-2
SRR25209893,AMPLICON,272,113321506,PRJNA992940,SAMN36377767,SARS-CoV-2: wastewater surveillance,38665266,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-12-07,public,"run.zq,sra,activ_sars2_vcf,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US,gs.us-east1",SRX20956996,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Cowes,7265883,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:11:00Z,1,7265883,WEHI,SRP448241,NA,NA,raw wastewater,composite,WWC_INF,yes,SARS-CoV-2
SRR25209894,AMPLICON,271,83757968,PRJNA992940,SAMN36377766,SARS-CoV-2: wastewater surveillance,28304785,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-12-07,public,"fastq,sra,activ_sars2_vcf,run.zq","s3,ncbi,gs","gs.US,ncbi.public,gs.us-east1,s3.us-east-1",SRX20956995,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Eastern Treatment Plant,7263618,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:11:00Z,1,7263618,WEHI,SRP448241,NA,24,raw wastewater,composite,ETPRAWSEW,yes,SARS-CoV-2
SRR25209895,AMPLICON,272,99689959,PRJNA992940,SAMN36377765,SARS-CoV-2: wastewater surveillance,33022301,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-12-07,public,"sra,fastq,activ_sars2_vcf,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1,gs.US",SRX20956994,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Ballarat North,7263588,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:11:00Z,1,7263588,WEHI,SRP448241,NA,120,raw wastewater,composite,BNTHSTP,yes,SARS-CoV-2
SRR25209896,AMPLICON,271,86238611,PRJNA992940,SAMN36377764,SARS-CoV-2: wastewater surveillance,28976269,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-12-07,public,"fastq,run.zq,sra,activ_sars2_vcf","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1,gs.us-east1",SRX20956993,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Western Treatment Plant,7263447,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:11:00Z,1,7263447,WEHI,SRP448241,NA,24,raw wastewater,composite,SFDGSEW,yes,SARS-CoV-2
SRR25209897,AMPLICON,272,205174094,PRJNA992940,SAMN36377763,SARS-CoV-2: wastewater surveillance,74967611,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-12-06,public,"fastq,activ_sars2_vcf,sra,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public,gs.US",SRX20956992,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Drouin,7261633,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:11:00Z,1,7261633,WEHI,SRP448241,NA,NA,raw wastewater,composite,GIP-3369,yes,SARS-CoV-2
SRR25209898,AMPLICON,272,51349741,PRJNA992940,SAMN36377762,SARS-CoV-2: wastewater surveillance,15360131,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-12-02,public,"fastq,run.zq,sra,activ_sars2_vcf","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public,gs.US",SRX20956991,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Western Treatment Plant,7259456,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:11:00Z,1,7259456,WEHI,SRP448241,NA,24,raw wastewater,composite,SFDGSEW,yes,SARS-CoV-2
SRR25209899,AMPLICON,271,24828240,PRJNA992940,SAMN36377761,SARS-CoV-2: wastewater surveillance,7403441,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-12-02,public,"sra,activ_sars2_vcf,fastq,run.zq","ncbi,gs,s3","gs.US,gs.us-east1,s3.us-east-1,ncbi.public",SRX20956990,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Eastern Treatment Plant,7259257,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:10:00Z,1,7259257,WEHI,SRP448241,NA,24,raw wastewater,composite,ETPRAWSEW,yes,SARS-CoV-2
SRR25209900,AMPLICON,272,52877700,PRJNA992940,SAMN36377760,SARS-CoV-2: wastewater surveillance,15531248,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-12-01,public,"activ_sars2_vcf,sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,gs.US,ncbi.public,s3.us-east-1",SRX20956989,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Cowes,7258327,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:10:00Z,1,7258327,WEHI,SRP448241,NA,24,raw wastewater,composite,WWC_INF,yes,SARS-CoV-2
SRR25209901,AMPLICON,272,15394785,PRJNA992940,SAMN36377400,SARS-CoV-2: wastewater surveillance,3901363,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-11-23,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX20956988,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Yarrawonga Health - downstream,35007,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:10:00Z,1,35007,WEHI,SRP448241,NA,24,raw wastewater,composite,YARS-HUME,yes,SARS-CoV-2
SRR25209902,AMPLICON,272,29687999,PRJNA992940,SAMN36377364,SARS-CoV-2: wastewater surveillance,7540202,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-11-17,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20956987,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Wallan,34459,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:10:00Z,1,34459,WEHI,SRP448241,NA,48,raw wastewater,composite,PWALRAW1,yes,SARS-CoV-2
SRR25209903,AMPLICON,272,51312793,PRJNA992940,SAMN36377759,SARS-CoV-2: wastewater surveillance,14350244,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-12-01,public,"fastq,sra,activ_sars2_vcf,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1,gs.US",SRX20956986,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Wonthaggi,7258326,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:11:00Z,1,7258326,WEHI,SRP448241,NA,24,raw wastewater,composite,WONTHAGGI,yes,SARS-CoV-2
SRR25209904,AMPLICON,272,45449289,PRJNA992940,SAMN36377758,SARS-CoV-2: wastewater surveillance,12909402,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-12-01,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX20956985,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Ballarat North,7257591,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:11:00Z,1,7257591,WEHI,SRP448241,NA,48,raw wastewater,composite,BNTHSTP,yes,SARS-CoV-2
SRR25209905,AMPLICON,272,57457162,PRJNA992940,SAMN36377757,SARS-CoV-2: wastewater surveillance,17159362,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-11-30,public,"activ_sars2_vcf,run.zq,fastq,sra","gs,s3,ncbi","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX20956984,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Eastern Treatment Plant,7256262,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:10:00Z,1,7256262,WEHI,SRP448241,NA,24,raw wastewater,composite,ETPRAWSEW,yes,SARS-CoV-2
SRR25209906,AMPLICON,272,52297781,PRJNA992940,SAMN36377756,SARS-CoV-2: wastewater surveillance,15451094,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-11-30,public,"sra,activ_sars2_vcf,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1,gs.US",SRX20956983,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Western Treatment Plant,7255745,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:10:00Z,1,7255745,WEHI,SRP448241,NA,24,raw wastewater,composite,SFDGSEW,yes,SARS-CoV-2
SRR25209907,AMPLICON,272,53242449,PRJNA992940,SAMN36377755,SARS-CoV-2: wastewater surveillance,15389922,WEHI (WALTER & ELIZA HALL INSTITUTE),2021-11-29,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX20956982,Australia,Oceania,Australia: Victoria,Illumina MiniSeq,Ballarat North,7253524,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,VOC identification,2024-06-25T00:00:00Z,2023-07-09T23:11:00Z,1,7253524,WEHI,SRP448241,NA,120,raw wastewater,composite,BNTHSTP,yes,SARS-CoV-2
