Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,collection_date (run),Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,fasta_file (run),geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_Source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Sample (run),SAMPLE,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1
SRR18543382,AMPLICON,299,4733597,PRJNA819090,SAMN27107992,SARS-CoV-2: wastewater surveillance,651579,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-05-30 00:00:00+00:00,2021-05-30,public,"sra,bam","gs,s3","s3.us-east-1,gs.US",SRX14673401,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42469,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42469,SEARCH-42469__E0000056__L02__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42469__E0000056__L02__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543383,AMPLICON,299,5221580,PRJNA819090,SAMN27107991,SARS-CoV-2: wastewater surveillance,671583,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-01-01 00:00:00+00:00,2021-01-01,public,"sra,bam","gs,s3","gs.US,s3.us-east-1",SRX14673400,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42434,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42434,SEARCH-42434__E0000056__I10__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42434__E0000056__I10__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543384,AMPLICON,299,12686306,PRJNA819090,SAMN27107990,SARS-CoV-2: wastewater surveillance,1186366,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-06-02 00:00:00+00:00,2021-06-02,public,"sra,bam","gs,s3","s3.us-east-1,gs.US",SRX14673399,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, San Diego (Point Loma)",Illumina NovaSeq 6000,city-wide wastewater treatment facility,SEARCH-42254,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42254,SEARCH-42254__D102091__E21__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42254__D102091__E21__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,2300000,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543385,AMPLICON,299,24096127,PRJNA819090,SAMN27107989,SARS-CoV-2: wastewater surveillance,2284674,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-05-26 00:00:00+00:00,2021-05-26,public,"bam,sra,activ_sars2_vcf","gs,s3","gs.US,s3.us-east-1",SRX14673398,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, San Diego (Point Loma)",Illumina NovaSeq 6000,city-wide wastewater treatment facility,SEARCH-42248,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42248,SEARCH-42248__D102091__D12__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42248__D102091__D12__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,2300000,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543386,AMPLICON,299,145574721,PRJNA819090,SAMN27107988,SARS-CoV-2: wastewater surveillance,11780532,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-06-08 00:00:00+00:00,2021-06-08,public,"sra,bam","s3,gs","gs.US,s3.us-east-1",SRX14673397,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42224,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42224,SEARCH-42224__D102091__N06__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42224__D102091__N06__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543387,AMPLICON,299,181386987,PRJNA819090,SAMN27107987,SARS-CoV-2: wastewater surveillance,14841096,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-06-07 00:00:00+00:00,2021-06-07,public,"bam,sra","gs,s3","s3.us-east-1,gs.US",SRX14673396,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42219,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42219,SEARCH-42219__D102091__O04__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42219__D102091__O04__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543388,AMPLICON,299,33151446,PRJNA819090,SAMN27107986,SARS-CoV-2: wastewater surveillance,3057505,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-06-07 00:00:00+00:00,2021-06-07,public,"bam,sra","gs,s3","s3.us-east-1,gs.US",SRX14673395,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42218,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42218,SEARCH-42218__D102091__K04__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42218__D102091__K04__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543389,AMPLICON,300,71541879,PRJNA819090,SAMN27107985,SARS-CoV-2: wastewater surveillance,5899953,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-06-07 00:00:00+00:00,2021-06-07,public,"sra,bam","gs,s3","gs.US,s3.us-east-1",SRX14673394,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42217,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42217,SEARCH-42217__D102091__L04__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42217__D102091__L04__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543390,AMPLICON,299,3087648,PRJNA819090,SAMN27107984,SARS-CoV-2: wastewater surveillance,493434,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-06-06 00:00:00+00:00,2021-06-06,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX14673393,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42216,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42216,SEARCH-42216__D102091__I03__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42216__D102091__I03__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543391,AMPLICON,300,19364542,PRJNA819090,SAMN27107795,SARS-CoV-2: wastewater surveillance,1608430,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-03-07 00:00:00+00:00,2021-03-07,public,"bam,sra","gs,s3","s3.us-east-1,gs.US",SRX14673392,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-40321,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-40321,SEARCH-40321__D102065a__P20__210723_A00953_0359_BHGY7MDSX2__002,SEARCH-40321__D102065a__P20__210723_A00953_0359_BHGY7MDSX2__002,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543392,AMPLICON,298,2248692,PRJNA819090,SAMN27107983,SARS-CoV-2: wastewater surveillance,440880,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-06-06 00:00:00+00:00,2021-06-06,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX14673391,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42214,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42214,SEARCH-42214__D102091__K03__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42214__D102091__K03__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543393,AMPLICON,299,78312670,PRJNA819090,SAMN27107982,SARS-CoV-2: wastewater surveillance,6555157,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-06-05 00:00:00+00:00,2021-06-05,public,"bam,sra","gs,s3","gs.US,s3.us-east-1",SRX14673390,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42208,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42208,SEARCH-42208__D102091__L02__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42208__D102091__L02__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543394,AMPLICON,299,65255254,PRJNA819090,SAMN27107981,SARS-CoV-2: wastewater surveillance,5571044,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-06-04 00:00:00+00:00,2021-06-04,public,"activ_sars2_vcf,bam,sra","s3,gs","s3.us-east-1,gs.US",SRX14673389,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42200,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42200,SEARCH-42200__D102091__C24__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42200__D102091__C24__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543395,AMPLICON,299,30858058,PRJNA819090,SAMN27107980,SARS-CoV-2: wastewater surveillance,2718033,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-06-02 00:00:00+00:00,2021-06-02,public,"bam,sra","gs,s3","gs.US,s3.us-east-1",SRX14673388,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42188,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42188,SEARCH-42188__D102091__E20__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42188__D102091__E20__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543396,AMPLICON,299,21148758,PRJNA819090,SAMN27107979,SARS-CoV-2: wastewater surveillance,2047800,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-06-01 00:00:00+00:00,2021-06-01,public,"sra,bam","gs,s3","gs.US,s3.us-east-1",SRX14673387,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42176,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42176,SEARCH-42176__D102091__D19__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42176__D102091__D19__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543397,AMPLICON,299,103644998,PRJNA819090,SAMN27107978,SARS-CoV-2: wastewater surveillance,8719404,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-06-01 00:00:00+00:00,2021-06-01,public,"bam,sra","gs,s3","gs.US,s3.us-east-1",SRX14673386,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42175,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42175,SEARCH-42175__D102091__C19__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42175__D102091__C19__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543398,AMPLICON,299,3693007,PRJNA819090,SAMN27107977,SARS-CoV-2: wastewater surveillance,589229,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-06-18 00:00:00+00:00,2021-06-18,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX14673385,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42172,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42172,SEARCH-42172__D102091__M19__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42172__D102091__M19__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543399,AMPLICON,300,56037157,PRJNA819090,SAMN27107976,SARS-CoV-2: wastewater surveillance,4304237,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-06-18 00:00:00+00:00,2021-06-18,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX14673384,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42167,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42167,SEARCH-42167__D102091__L19__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42167__D102091__L19__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543400,AMPLICON,299,2774776,PRJNA819090,SAMN27107975,SARS-CoV-2: wastewater surveillance,499718,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-06-17 00:00:00+00:00,2021-06-17,public,"sra,bam","gs,s3","gs.US,s3.us-east-1",SRX14673383,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42165,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42165,SEARCH-42165__D102091__P17__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42165__D102091__P17__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543402,AMPLICON,299,8053756,PRJNA819090,SAMN27107794,SARS-CoV-2: wastewater surveillance,817846,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-03-07 00:00:00+00:00,2021-03-07,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX14673381,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-40320,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-40320,SEARCH-40320__D102065a__O20__210723_A00953_0359_BHGY7MDSX2__002,SEARCH-40320__D102065a__O20__210723_A00953_0359_BHGY7MDSX2__002,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543403,AMPLICON,299,150297967,PRJNA819090,SAMN27107776,SARS-CoV-2: wastewater surveillance,12119769,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-02-12 00:00:00+00:00,2021-02-12,public,"bam,sra","s3,gs","gs.US,s3.us-east-1",SRX14673380,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-40077,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-40077,SEARCH-40077__D102065a__B09__210723_A00953_0359_BHGY7MDSX2__002,SEARCH-40077__D102065a__B09__210723_A00953_0359_BHGY7MDSX2__002,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543404,AMPLICON,300,6729466,PRJNA819090,SAMN27107973,SARS-CoV-2: wastewater surveillance,766640,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-06-15 00:00:00+00:00,2021-06-15,public,"sra,bam,activ_sars2_vcf","s3,gs","gs.US,s3.us-east-1",SRX14673379,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42159,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42159,SEARCH-42159__D102091__O15__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42159__D102091__O15__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543405,AMPLICON,299,30966412,PRJNA819090,SAMN27107972,SARS-CoV-2: wastewater surveillance,3105410,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-06-15 00:00:00+00:00,2021-06-15,public,"bam,sra","s3,gs","gs.US,s3.us-east-1",SRX14673378,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42158,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42158,SEARCH-42158__D102091__P15__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42158__D102091__P15__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR18543406,AMPLICON,300,1489615,PRJNA819090,SAMN27107971,SARS-CoV-2: wastewater surveillance,358617,THE SCRIPPS RESEARCH INSTITUTE,SEARCH,2021-06-14 00:00:00+00:00,2021-06-14,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX14673377,NC_045512_Hu-1.fasta,USA,North America,"USA: California\, UCSD Campus",Illumina NovaSeq 6000,campus sewage,SEARCH-42154,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-03-31T00:00:00Z,SEARCH-42154,SEARCH-42154__D102091__P14__210730_A00953_0364_BHGYJ7DSX2__001,SEARCH-42154__D102091__P14__210730_A00953_0364_BHGYJ7DSX2__001,SRP366703,NA,24,raw wastewater,composite,yes,SARS-CoV-2
