Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,ww_flow,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1
SRR18819034,AMPLICON,320,5631395,PRJNA827160,SAMN27605827,SARS-CoV-2: wastewater surveillance,2780273,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-12-29,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917446,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,56,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:14:00Z,1,trimmed_211229-22-24h-mix_S18,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819035,AMPLICON,349,9178071,PRJNA827160,SAMN27605826,SARS-CoV-2: wastewater surveillance,4710816,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-12-29,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917445,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,55,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:14:00Z,1,trimmed_211229-20-22h-mix_S17,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819036,AMPLICON,364,9604187,PRJNA827160,SAMN27605825,SARS-CoV-2: wastewater surveillance,4637150,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-12-23,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917444,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,54,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:44:00Z,1,trimmed_211223-22-24h-mix_S16,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819037,AMPLICON,462,51107137,PRJNA827160,SAMN27605824,SARS-CoV-2: wastewater surveillance,23685359,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-12-23,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917443,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,53,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:14:00Z,1,trimmed_211223-20-22h-mix_S15,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819038,AMPLICON,474,99991631,PRJNA827160,SAMN27605823,SARS-CoV-2: wastewater surveillance,45789416,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-12-08,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917442,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,52,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:14:00Z,1,trimmed_211208-22-24h-mix_S14,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819039,AMPLICON,438,29846547,PRJNA827160,SAMN27605822,SARS-CoV-2: wastewater surveillance,14195144,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-12-08,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917441,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,51,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:14:00Z,1,trimmed_211208-20-22h-mix_S13,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819040,AMPLICON,463,563112402,PRJNA827160,SAMN27605777,SARS-CoV-2: wastewater surveillance,190234588,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-03-04,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917440,Germany,Europe,Germany: Berlin WWTP 3,Illumina NovaSeq 6000,wastewater treatment facility,6,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:15:00Z,1,WW_210304_Berlin_KW3,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819041,AMPLICON,450,69488452,PRJNA827160,SAMN27605821,SARS-CoV-2: wastewater surveillance,32651800,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-11-24,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917439,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,50,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:14:00Z,1,trimmed_211124-22-24h-mix_S12,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819042,AMPLICON,433,54125472,PRJNA827160,SAMN27605820,SARS-CoV-2: wastewater surveillance,26479453,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-11-24,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917438,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,49,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:14:00Z,1,trimmed_211124-20-22h-mix_S11,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819043,AMPLICON,430,17964584,PRJNA827160,SAMN27605819,SARS-CoV-2: wastewater surveillance,8941605,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-11-17,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917437,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,48,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:14:00Z,1,trimmed_211117-22-24h-mix_S10,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819044,AMPLICON,445,21482087,PRJNA827160,SAMN27605818,SARS-CoV-2: wastewater surveillance,10316115,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-11-17,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917436,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,47,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:14:00Z,1,trimmed_211117-20-22h-mix_S9,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819045,AMPLICON,370,8159702,PRJNA827160,SAMN27605817,SARS-CoV-2: wastewater surveillance,4060729,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-10-28,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917435,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,46,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:14:00Z,1,trimmed_211028-22-24h-mix_S8,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819046,AMPLICON,435,20846726,PRJNA827160,SAMN27605816,SARS-CoV-2: wastewater surveillance,10626389,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-10-28,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917434,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,45,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:14:00Z,1,trimmed_211028-20-22h-mix_S7,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819047,AMPLICON,360,8378805,PRJNA827160,SAMN27605815,SARS-CoV-2: wastewater surveillance,4247620,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-10-13,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917433,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,44,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:14:00Z,1,trimmed_211013-22-24h-mix_S6,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819048,AMPLICON,396,9757234,PRJNA827160,SAMN27605814,SARS-CoV-2: wastewater surveillance,5048201,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-10-13,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917432,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,43,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:15:00Z,1,trimmed_211013-20-22h-mix_S5,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819049,AMPLICON,443,26618608,PRJNA827160,SAMN27605813,SARS-CoV-2: wastewater surveillance,13433481,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-09-29,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917431,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,42,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:14:00Z,1,trimmed_210929-22-24h-mix_S4,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819050,AMPLICON,419,12260419,PRJNA827160,SAMN27605812,SARS-CoV-2: wastewater surveillance,6245057,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-09-29,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917430,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,41,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:14:00Z,1,trimmed_210929-20-22h-mix_S3,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819051,AMPLICON,502,235927952,PRJNA827160,SAMN27605776,SARS-CoV-2: wastewater surveillance,133924937,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-03-04,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917429,Germany,Europe,Germany: Berlin WWTP 1,Illumina MiSeq,wastewater treatment facility,5,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:15:00Z,1,WW_210304_Berlin_KW1,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819052,AMPLICON,474,114241222,PRJNA827160,SAMN27605811,SARS-CoV-2: wastewater surveillance,58276414,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-09-16,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917428,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,40,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:14:00Z,1,trimmed_210916-22-24h-mix_S2,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819053,AMPLICON,490,269579875,PRJNA827160,SAMN27605810,SARS-CoV-2: wastewater surveillance,125369429,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-09-16,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917427,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,39,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:15:00Z,1,trimmed_210916-20-22h-mix_S1,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819054,AMPLICON,501,115748289,PRJNA827160,SAMN27605809,SARS-CoV-2: wastewater surveillance,76031602,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-06-10,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917426,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,38,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:15:00Z,1,merged_939_8berlin21061022-00h,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819055,AMPLICON,501,136906049,PRJNA827160,SAMN27605808,SARS-CoV-2: wastewater surveillance,78492904,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-06-10,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917425,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,37,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:15:00Z,1,merged_939_7berlin21061020-22h,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819056,AMPLICON,501,140968837,PRJNA827160,SAMN27605807,SARS-CoV-2: wastewater surveillance,89345863,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-06-04,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917424,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,36,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:15:00Z,1,merged_939_6berlin21060422-00h,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819057,AMPLICON,501,114039276,PRJNA827160,SAMN27605806,SARS-CoV-2: wastewater surveillance,70799765,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-06-04,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917423,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,35,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:15:00Z,1,merged_939_5berlin21060420-22h,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819058,AMPLICON,501,96536552,PRJNA827160,SAMN27605805,SARS-CoV-2: wastewater surveillance,57757635,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-05-27,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917422,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,34,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:14:00Z,1,merged_939_4berlin21052722-24hmix,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819059,AMPLICON,501,135402587,PRJNA827160,SAMN27605804,SARS-CoV-2: wastewater surveillance,77383312,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-05-27,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917421,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,33,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:15:00Z,1,merged_939_3berlin21052720-22hmix,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819060,AMPLICON,501,180847966,PRJNA827160,SAMN27605803,SARS-CoV-2: wastewater surveillance,109277299,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-05-19,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917420,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,32,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:15:00Z,1,merged_939_2berlin21051922-24hmix,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
SRR18819061,AMPLICON,501,186776950,PRJNA827160,SAMN27605802,SARS-CoV-2: wastewater surveillance,120336600,BERLIN INSTITUTE FOR MEDICAL SYSTEMS BIOLOGY,2021-05-19,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX14917419,Germany,Europe,Germany: Berlin WWTP 2,Illumina MiSeq,wastewater treatment facility,31,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-19T00:00:00Z,2022-04-19T14:15:00Z,1,merged_939_1berlin21051920-22hmix,SRP371063,247500 m3/d,1600000,2,raw wastewater,composite,yes,SARS-CoV-2
