Run,amplicon__PCR_primer_scheme (run),amplicon_size (run),Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,collection_site_id,concentration_method,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,enrichment_kit (run),Experiment,extraction_method,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,purpose_of_ww_sampling,purpose_of_ww_sequencing,raw_sequence_data_processing_method (run),ReleaseDate,create_date,version,Sample Name,sequence_submitter_contact_email (run),sequenced_by,SRA Study,ww_population,ww_pre_treatment,ww_sample_duration,ww_sample_matrix,ww_sample_site,ww_sample_type,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,ww_surv_target_1_known_present,ww_surv_target_1_protocol,ww_surv_target_1,ww_surv_target_1_conc,Collection_time,ww_temperature,ww_ph,ww_industrial_effluent_percent
SRR23098819,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,280,69498203,PRJNA847239,SAMN32768738,SARS-CoV-2: wastewater surveillance,42700093,ASU_WBE,2022-08-09,26X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX19051106,qiagen rneasy kit,USA,North America,"USA: Kentucky\, Jefferson\, Louisville",Illumina HiSeq 2500,wastewater,B534,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2024-02-01T00:00:00Z,2023-01-18T02:01:00Z,1,B534,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-2,303700,7:15:00,5.9,7.24,
SRR23098821,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,296,7480389,PRJNA847239,SAMN32768680,SARS-CoV-2: wastewater surveillance,4859930,ASU_WBE,2022-07-04,16X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX19051256,qiagen rneasy kit,USA,North America,"USA: Arizona\, Maricopa\, Tempe",Illumina HiSeq 2500,wastewater,4160,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2024-02-01T00:00:00Z,2023-01-18T02:00:00Z,1,4160,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-2,,6:00:00,8.7,7.54,
SRR23098822,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,301,101308618,PRJNA847239,SAMN32768679,SARS-CoV-2: wastewater surveillance,55640671,ASU_WBE,2022-06-20,16X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX19051255,qiagen rneasy kit,USA,North America,"USA: Arizona\, Maricopa\, Tempe",Illumina HiSeq 2500,wastewater,4086,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2024-02-01T00:00:00Z,2023-01-18T02:01:00Z,1,4086,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-2,1340600,6:00:00,30.1,7.76,
SRR23098824,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,284,40627456,PRJNA847239,SAMN32768677,SARS-CoV-2: wastewater surveillance,24408931,ASU_WBE,2022-08-15,15X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX19051253,qiagen rneasy kit,USA,North America,"USA: Arizona\, Maricopa\, Tempe",Illumina HiSeq 2500,wastewater,4408,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2024-02-01T00:00:00Z,2023-01-18T02:01:00Z,1,4408,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-2,,6:00:00,29.3,7.7,
SRR23098825,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,274,41041196,PRJNA847239,SAMN32768676,SARS-CoV-2: wastewater surveillance,28350165,ASU_WBE,2022-08-01,15X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX19051252,qiagen rneasy kit,USA,North America,"USA: Arizona\, Maricopa\, Tempe",Illumina HiSeq 2500,wastewater,4325,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2024-02-01T00:00:00Z,2023-01-18T02:01:00Z,1,4325,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-2,47000,6:00:00,6.96,6,
SRR23098826,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,301,44556778,PRJNA847239,SAMN32768675,SARS-CoV-2: wastewater surveillance,25328002,ASU_WBE,2022-07-04,15X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX19051251,qiagen rneasy kit,USA,North America,"USA: Arizona\, Maricopa\, Tempe",Illumina HiSeq 2500,wastewater,4159,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2024-02-01T00:00:00Z,2023-01-18T02:01:00Z,1,4159,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-2,425000,6:00:00,7.3,7.39,
SRR23098827,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,301,45279766,PRJNA847239,SAMN32768674,SARS-CoV-2: wastewater surveillance,25573837,ASU_WBE,2022-06-20,15X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX19051250,qiagen rneasy kit,USA,North America,"USA: Arizona\, Maricopa\, Tempe",Illumina HiSeq 2500,wastewater,4085,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2024-02-01T00:00:00Z,2023-01-18T02:01:00Z,1,4085,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-2,198300,6:00:00,31.6,6.33,
SRR23098836,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,293,45061722,PRJNA847239,SAMN32768666,SARS-CoV-2: wastewater surveillance,27382330,ASU_WBE,2022-08-15,14X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX19051241,qiagen rneasy kit,USA,North America,"USA: Arizona\, Maricopa\, Tempe",Illumina HiSeq 2500,wastewater,4407,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2024-02-01T00:00:00Z,2023-01-18T02:01:00Z,1,4407,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-2,75100,6:00:00,8,7.2,
SRR23098837,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,267,32383158,PRJNA847239,SAMN32768665,SARS-CoV-2: wastewater surveillance,22195737,ASU_WBE,2022-08-01,14X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX19051240,qiagen rneasy kit,USA,North America,"USA: Arizona\, Maricopa\, Tempe",Illumina HiSeq 2500,wastewater,4324,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2024-02-01T00:00:00Z,2023-01-18T02:01:00Z,1,4324,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-2,,6:00:00,5.8,9.1,
SRR23098838,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,301,93693688,PRJNA847239,SAMN32768664,SARS-CoV-2: wastewater surveillance,52697887,ASU_WBE,2022-07-04,14X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX19051239,qiagen rneasy kit,USA,North America,"USA: Arizona\, Maricopa\, Tempe",Illumina HiSeq 2500,wastewater,4158,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2024-02-01T00:00:00Z,2023-01-18T02:02:00Z,1,4158,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-2,291000,6:00:00,7.8,6.8,
SRR23098839,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,300,33723132,PRJNA847239,SAMN32768663,SARS-CoV-2: wastewater surveillance,19410132,ASU_WBE,2022-06-22,14X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX19051176,qiagen rneasy kit,USA,North America,"USA: Arizona\, Maricopa\, Tempe",Illumina HiSeq 2500,wastewater,4095,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2024-02-01T00:00:00Z,2023-01-18T02:01:00Z,1,4095,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-2,52900,6:05:00,7.5,7.59,
SRR23098840,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,272,80943550,PRJNA847239,SAMN32768914,SARS-CoV-2: wastewater surveillance,55176418,ASU_WBE,2022-08-15,5X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX19051237,qiagen rneasy kit,USA,North America,"USA: Washington\, King\, Des Moines",Illumina HiSeq 2500,wastewater,B543,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2024-02-01T00:00:00Z,2023-01-18T02:02:00Z,1,B543,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-2,76000,6:45:00,64,,
SRR23098841,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,301,159746675,PRJNA847239,SAMN32768913,SARS-CoV-2: wastewater surveillance,85400236,ASU_WBE,2022-08-01,5X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX19051236,qiagen rneasy kit,USA,North America,"USA: Washington\, King\, Des Moines",Illumina HiSeq 2500,wastewater,B518,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2024-02-01T00:00:00Z,2023-01-18T02:03:00Z,1,B518,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-2,131800,7:26:00,,,
SRR23098842,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,301,182529706,PRJNA847239,SAMN32768912,SARS-CoV-2: wastewater surveillance,98871531,ASU_WBE,2022-07-18,5X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX19051235,qiagen rneasy kit,USA,North America,"USA: Washington\, King\, Des Moines",Illumina HiSeq 2500,wastewater,B504,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2024-02-01T00:00:00Z,2023-01-18T02:03:00Z,1,B504,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-2,690200,6:57:00,,,
SRR23098843,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,301,213144503,PRJNA847239,SAMN32768911,SARS-CoV-2: wastewater surveillance,115537762,ASU_WBE,2022-07-04,5X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX19051234,qiagen rneasy kit,USA,North America,"USA: Washington\, King\, Des Moines",Illumina HiSeq 2500,wastewater,B485,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2024-02-01T00:00:00Z,2023-01-18T02:01:00Z,1,B485,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-2,1187600,8:00:00,,,
SRR23098846,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,300,26023793,PRJNA847239,SAMN32768652,SARS-CoV-2: wastewater surveillance,15679546,ASU_WBE,2022-06-22,13X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX19051231,qiagen rneasy kit,USA,North America,"USA: Arizona\, Maricopa\, Tempe",Illumina HiSeq 2500,wastewater,4094,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2024-02-01T00:00:00Z,2023-01-18T02:00:00Z,1,4094,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-2,55400,6:30:00,8.4,7.93,
SRR23098850,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,298,83111155,PRJNA847239,SAMN32768817,SARS-CoV-2: wastewater surveillance,50110925,ASU_WBE,2022-09-12,4X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX19051227,qiagen rneasy kit,USA,North America,"USA: New Mexico\, San Juan\, Farmington",Illumina HiSeq 2500,wastewater,B589,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2024-02-01T00:00:00Z,2023-01-18T02:02:00Z,1,B589,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-2,277700,9:00:00,,,
SRR23098851,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,296,43208650,PRJNA847239,SAMN32768816,SARS-CoV-2: wastewater surveillance,24974691,ASU_WBE,2022-08-30,4X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX19051226,qiagen rneasy kit,USA,North America,"USA: New Mexico\, San Juan\, Farmington",Illumina HiSeq 2500,wastewater,B574,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2024-02-01T00:00:00Z,2023-01-18T02:01:00Z,1,B574,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-2,40300,9:00:00,14.9,7.5,
SRR23098852,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,281,104735110,PRJNA847239,SAMN32768815,SARS-CoV-2: wastewater surveillance,67095007,ASU_WBE,2022-08-15,4X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX19051225,qiagen rneasy kit,USA,North America,"USA: New Mexico\, San Juan\, Farmington",Illumina HiSeq 2500,wastewater,B546,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2024-02-01T00:00:00Z,2023-01-18T02:01:00Z,1,B546,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-2,92200,9:00:00,15.6,7.6,
SRR23098853,SARS-CoV-2 Additional Genome Coverage Panel-SNAP primer pool,150,AMPLICON,301,117582492,PRJNA847239,SAMN32768814,SARS-CoV-2: wastewater surveillance,63227341,ASU_WBE,2022-08-01,4X,amicon ultrafiltration,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",Swift Normalase Amplicon Panel (SNAP) SARS-CoV-2 Additional Genome Coverage Panel,SRX19051224,qiagen rneasy kit,USA,North America,"USA: New Mexico\, San Juan\, Farmington",Illumina HiSeq 2500,wastewater,B525,PAIRED,PCR,GENOMIC,wastewater metagenome,ILLUMINA,severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) surveillance in wastewater samples in the USA (RADx-rad),research,research,Alignment to reference genome NC_045512.2 using BWA 0.7.17.,2024-02-01T00:00:00Z,2023-01-18T02:03:00Z,1,B525,"Arjun.Magge@asu.edu\, rafaela.salgadofontenele@nih.gov\, Matthew.Scotch@asu.edu",Psomagen Inc.,SRP401173,missing,No,24,raw wastewater,other,composite,copies/L wastewater,N1,yes,"Corman, Victor M., et al. Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR. Eurosurveillance 25.3 (2020): 2000045.",SARS-CoV-2,196200,9:00:00,12.6,7.5,
