Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1,isolation_source
SRR26627916,WGS,502,108509810,PRJNA1027858,SAMN38060876,SARS-CoV-2: wastewater surveillance,59794201,UNIVERSITY OF WATERLOO,2022-04-17,public,"activ_sars2_vcf,sra,run.zq,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,gs.us-east1,ncbi.public",SRX22328469,Canada,North America,Canada:Cambridge,Illumina MiSeq,GALT-22-04-17-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:18:00Z,1,GALT-22-04-17,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,Galt Wastewater Treatment Plant- Region of Waterloo Public Health and Paramedic Services
SRR26627917,WGS,502,107239750,PRJNA1027858,SAMN38060875,SARS-CoV-2: wastewater surveillance,59331780,UNIVERSITY OF WATERLOO,2022-04-17,public,"activ_sars2_vcf,sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1,gs.US",SRX22328468,Canada,North America,Canada:Kitchener,Illumina MiSeq,KITCHENER-22-04-17-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:18:00Z,1,KITCHENER-22-04-17,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,Kitchener Wastewater Treatment Plant- Region of Waterloo Public Health and Paramedic Services
SRR26627918,WGS,502,116169828,PRJNA1027858,SAMN38060874,SARS-CoV-2: wastewater surveillance,61787304,UNIVERSITY OF WATERLOO,2022-04-18,public,"run.zq,activ_sars2_vcf,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US,gs.us-east1",SRX22328467,Canada,North America,Canada:Peel Region,Illumina MiSeq,GE BOOTH-22-04-18-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:18:00Z,1,GE BOOTH-22-04-18,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,G. E. Booth (Lakeview) Wastewater Treatment Plant- Peel Public Health
SRR26627919,WGS,502,126665142,PRJNA1027858,SAMN38060873,SARS-CoV-2: wastewater surveillance,67585247,UNIVERSITY OF WATERLOO,2022-04-18,public,"fastq,run.zq,activ_sars2_vcf,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public,gs.US",SRX22328466,Canada,North America,Canada:Peel Region,Illumina MiSeq,CLARKSON-22-04-18-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:18:00Z,1,CLARKSON-22-04-18,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,Clarkson South-Peel Water Pollution Control Plant- Peel Public Health
SRR26627920,WGS,502,126364946,PRJNA1027858,SAMN38060872,SARS-CoV-2: wastewater surveillance,67239534,UNIVERSITY OF WATERLOO,2022-04-18,public,"activ_sars2_vcf,sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,gs.US,ncbi.public,s3.us-east-1",SRX22328465,Canada,North America,Canada:York Region,Illumina MiSeq,Humber AMF-22-04-18-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:18:00Z,1,Humber AMF-22-04-18,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,Humber AMF Pumping Station - York Sewershed- York Region Public Health
SRR26627921,WGS,502,282778106,PRJNA1027858,SAMN38060871,SARS-CoV-2: wastewater surveillance,164514250,UNIVERSITY OF WATERLOO,2022-04-19,public,"sra,fastq,run.zq,activ_sars2_vcf","gs,s3,ncbi","gs.us-east1,gs.US,ncbi.public,s3.us-east-1",SRX22328464,Canada,North America,Canada:Hamilton,Illumina MiSeq,Hamilton WWTP-22-04-19-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:18:00Z,1,Hamilton WWTP-22-04-19,SRP466219,NA,24,post grit removal,composite,yes,SARS-CoV-2,Hamilton-Woodward Avenue Wastewater Treatment Plant- City of Hamilton Public Health Services
SRR26627922,WGS,502,162932132,PRJNA1027858,SAMN38060835,SARS-CoV-2: wastewater surveillance,104082404,UNIVERSITY OF WATERLOO,2022-04-06,public,"activ_sars2_vcf,run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,gs.US,s3.us-east-1",SRX22328463,Canada,North America,Canada:Ontario,Illumina MiSeq,OWW4-22-04-06-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:17:00Z,1,OWW4-22-04-06,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,OWW4
SRR26627923,WGS,502,287457248,PRJNA1027858,SAMN38060870,SARS-CoV-2: wastewater surveillance,174557637,UNIVERSITY OF WATERLOO,2022-04-04,public,"activ_sars2_vcf,sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public,gs.US",SRX22328462,Canada,North America,Canada:Wallaceburg,Illumina MiSeq,WB-22-04-04-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:18:00Z,1,WB-22-04-04,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,Wallaceburg Wastewater Treatment Plant- Chatham-Kent Health Unit
SRR26627924,WGS,502,159731380,PRJNA1027858,SAMN38060869,SARS-CoV-2: wastewater surveillance,98702122,UNIVERSITY OF WATERLOO,2022-03-30,public,"activ_sars2_vcf,fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public,gs.us-east1",SRX22328461,Canada,North America,Canada:Wallaceburg,Illumina MiSeq,WB-22-03-30-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:17:00Z,1,WB-22-03-30,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,Wallaceburg Wastewater Treatment Plant- Chatham-Kent Health Unit
SRR26627925,WGS,502,152515130,PRJNA1027858,SAMN38060868,SARS-CoV-2: wastewater surveillance,92084887,UNIVERSITY OF WATERLOO,2022-04-04,public,"fastq,run.zq,activ_sars2_vcf,sra","s3,ncbi,gs","gs.US,s3.us-east-1,gs.us-east1,ncbi.public",SRX22328460,Canada,North America,Canada:Cornwall,Illumina MiSeq,CW-22-04-04-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:18:00Z,1,CW-22-04-04,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,Cornwall Wastewater Treatment Plant- Eastern Ontario Health Unit
SRR26627926,WGS,502,1442893078,PRJNA1027858,SAMN38060867,SARS-CoV-2: wastewater surveillance,905854038,UNIVERSITY OF WATERLOO,2022-03-28,public,"sra,fastq,activ_sars2_vcf,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US,gs.us-east1",SRX22328459,Canada,North America,Canada:Cornwall,Illumina MiSeq,CW-22-03-28-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:21:00Z,1,CW-22-03-28,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,Cornwall Wastewater Treatment Plant- Eastern Ontario Health Unit
SRR26627927,WGS,502,95796660,PRJNA1027858,SAMN38060866,SARS-CoV-2: wastewater surveillance,56765085,UNIVERSITY OF WATERLOO,2022-04-04,public,"fastq,sra,activ_sars2_vcf,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public,gs.US",SRX22328458,Canada,North America,Canada:Ravensview,Illumina MiSeq,RV-22-04-04-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:18:00Z,1,RV-22-04-04,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,"Ravensview Wastewater Treatment Plant (Kingston East and Central)- Kingston\, Frontenac and Lennox & Addington Public Health"
SRR26627928,WGS,502,43688558,PRJNA1027858,SAMN38060865,SARS-CoV-2: wastewater surveillance,24775036,UNIVERSITY OF WATERLOO,2022-03-28,public,"fastq,activ_sars2_vcf,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,gs.US,s3.us-east-1",SRX22328457,Canada,North America,Canada:Ravensview,Illumina MiSeq,RV-22-03-28-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:17:00Z,1,RV-22-03-28,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,"Ravensview Wastewater Treatment Plant (Kingston East and Central)- Kingston\, Frontenac and Lennox & Addington Public Health"
SRR26627929,WGS,502,298753252,PRJNA1027858,SAMN38060864,SARS-CoV-2: wastewater surveillance,185248442,UNIVERSITY OF WATERLOO,2022-03-23,public,"fastq,run.zq,activ_sars2_vcf,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US,gs.us-east1",SRX22328456,Canada,North America,Canada:Ravensview,Illumina MiSeq,RV-22-03-23-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:18:00Z,1,RV-22-03-23,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,"Ravensview Wastewater Treatment Plant (Kingston East and Central)- Kingston\, Frontenac and Lennox & Addington Public Health"
SRR26627930,WGS,502,44126804,PRJNA1027858,SAMN38060863,SARS-CoV-2: wastewater surveillance,27110039,UNIVERSITY OF WATERLOO,2022-04-06,public,"activ_sars2_vcf,run.zq,fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public,gs.us-east1",SRX22328455,Canada,North America,Canada:Ontario,Illumina MiSeq,OWW17-22-04-06-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:17:00Z,1,OWW17-22-04-06,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,OWW17
SRR26627931,WGS,502,99279536,PRJNA1027858,SAMN38060862,SARS-CoV-2: wastewater surveillance,58450285,UNIVERSITY OF WATERLOO,2022-04-05,public,"run.zq,fastq,sra,activ_sars2_vcf","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1,gs.US",SRX22328454,Canada,North America,Canada:Ontario,Illumina MiSeq,OWW15-22-04-05-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:17:00Z,1,OWW15-22-04-05,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,OWW15
SRR26627932,WGS,502,96534098,PRJNA1027858,SAMN38060861,SARS-CoV-2: wastewater surveillance,55631340,UNIVERSITY OF WATERLOO,2022-04-05,public,"sra,activ_sars2_vcf,fastq,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public,gs.US",SRX22328453,Canada,North America,Canada:Ontario,Illumina MiSeq,OWW14-22-04-05-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:18:00Z,1,OWW14-22-04-05,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,OWW14
SRR26627933,WGS,502,92677734,PRJNA1027858,SAMN38060834,SARS-CoV-2: wastewater surveillance,55670189,UNIVERSITY OF WATERLOO,2022-04-07,public,"activ_sars2_vcf,run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public,gs.us-east1",SRX22328452,Canada,North America,Canada:Peterborough County,Illumina MiSeq,PTBC2-22-04-07-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:18:00Z,1,PTBC2-22-04-07,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,Peterborough County 2-Peterborough Public Health
SRR26627934,WGS,502,136796004,PRJNA1027858,SAMN38060860,SARS-CoV-2: wastewater surveillance,81592554,UNIVERSITY OF WATERLOO,2022-04-06,public,"activ_sars2_vcf,run.zq,fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,gs.us-east1,ncbi.public",SRX22328451,Canada,North America,Canada:Ontario,Illumina MiSeq,OWW5-22-04-06-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:18:00Z,1,OWW5-22-04-06,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,OWW5
SRR26627935,WGS,502,300719084,PRJNA1027858,SAMN38060859,SARS-CoV-2: wastewater surveillance,180731226,UNIVERSITY OF WATERLOO,2022-04-06,public,"sra,run.zq,activ_sars2_vcf,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1,gs.us-east1",SRX22328450,Canada,North America,Canada:Sault Ste. Marie,Illumina MiSeq,SOO-22-04-06-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:18:00Z,1,SOO-22-04-06,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,Sault Ste. Marie East End Wastewater Treatment Plant- Algoma Public Health
SRR26627936,WGS,502,126448278,PRJNA1027858,SAMN38060858,SARS-CoV-2: wastewater surveillance,76914443,UNIVERSITY OF WATERLOO,2022-04-06,public,"sra,activ_sars2_vcf,fastq,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1,gs.us-east1",SRX22328449,Canada,North America,Canada:Sudbury,Illumina MiSeq,TPKL-22-04-06-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:18:00Z,1,TPKL-22-04-06,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,Greater Sudbury Wastewater Treatment Plant- Public Health Sudbury & Districts
SRR26627937,WGS,502,33364928,PRJNA1027858,SAMN38060857,SARS-CoV-2: wastewater surveillance,20294005,UNIVERSITY OF WATERLOO,2022-04-12,public,"activ_sars2_vcf,fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US,gs.us-east1",SRX22328448,Canada,North America,Canada:Hamilton,Illumina MiSeq,Hamilton WWTP-22-04-12-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:17:00Z,1,Hamilton WWTP-22-04-12,SRP466219,NA,24,post grit removal,composite,yes,SARS-CoV-2,Hamilton-Woodward Avenue Wastewater Treatment Plant- City of Hamilton Public Health Services
SRR26627938,WGS,502,140837606,PRJNA1027858,SAMN38060856,SARS-CoV-2: wastewater surveillance,83885503,UNIVERSITY OF WATERLOO,2022-04-13,public,"fastq,activ_sars2_vcf,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US,gs.us-east1",SRX22328447,Canada,North America,Canada:Ontario,Illumina MiSeq,OWW23-22-04-13-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:18:00Z,1,OWW23-22-04-13,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,OWW23
SRR26627939,WGS,502,31012054,PRJNA1027858,SAMN38060855,SARS-CoV-2: wastewater surveillance,17702039,UNIVERSITY OF WATERLOO,2022-04-12,public,"activ_sars2_vcf,fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,gs.US,s3.us-east-1",SRX22328446,Canada,North America,Canada:Ontario,Illumina MiSeq,OWW23-22-04-12-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:18:00Z,1,OWW23-22-04-12,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,OWW23
SRR26627940,WGS,502,134117834,PRJNA1027858,SAMN38060854,SARS-CoV-2: wastewater surveillance,79387001,UNIVERSITY OF WATERLOO,2022-04-13,public,"sra,fastq,activ_sars2_vcf,run.zq","gs,ncbi,s3","ncbi.public,gs.US,gs.us-east1,s3.us-east-1",SRX22328445,Canada,North America,Canada:Ontario,Illumina MiSeq,OWW22-22-04-13-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:17:00Z,1,OWW22-22-04-13,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,OWW22
SRR26627941,WGS,502,173699530,PRJNA1027858,SAMN38060853,SARS-CoV-2: wastewater surveillance,102175544,UNIVERSITY OF WATERLOO,2022-04-12,public,"fastq,activ_sars2_vcf,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1,gs.US",SRX22328444,Canada,North America,Canada:Ontario,Illumina MiSeq,OWW22-22-04-12-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:19:00Z,1,OWW22-22-04-12,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,OWW22
SRR26627942,WGS,502,101161534,PRJNA1027858,SAMN38060852,SARS-CoV-2: wastewater surveillance,58325161,UNIVERSITY OF WATERLOO,2022-04-11,public,"run.zq,sra,activ_sars2_vcf,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,gs.US,s3.us-east-1",SRX22328443,Canada,North America,Canada:Ontario,Illumina MiSeq,OWW23-22-04-11-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:18:00Z,1,OWW23-22-04-11,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,OWW23
SRR26627943,WGS,502,101739838,PRJNA1027858,SAMN38060851,SARS-CoV-2: wastewater surveillance,57259107,UNIVERSITY OF WATERLOO,2022-04-08,public,"fastq,activ_sars2_vcf,run.zq,sra","s3,gs,ncbi","gs.us-east1,gs.US,ncbi.public,s3.us-east-1",SRX22328442,Canada,North America,Canada:Ontario,Illumina MiSeq,OWW23-22-04-08-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:18:00Z,1,OWW23-22-04-08,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,OWW23
SRR26627944,WGS,502,89954384,PRJNA1027858,SAMN38060833,SARS-CoV-2: wastewater surveillance,52060909,UNIVERSITY OF WATERLOO,2022-04-10,public,"run.zq,fastq,activ_sars2_vcf,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1,gs.US",SRX22328441,Canada,North America,Canada:Waterloo,Illumina MiSeq,WATERLOO-22-04-10-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:18:00Z,1,WATERLOO-22-04-10,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,Waterloo Wastewater Treatment Plant- Region of Waterloo Public Health and Paramedic Services
SRR26627945,WGS,502,100935132,PRJNA1027858,SAMN38060850,SARS-CoV-2: wastewater surveillance,56783349,UNIVERSITY OF WATERLOO,2022-04-07,public,"fastq,sra,activ_sars2_vcf,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1,gs.us-east1",SRX22328440,Canada,North America,Canada:Ontario,Illumina MiSeq,OWW23-22-04-07-ARTIC-seq,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-04-10T00:00:00Z,2023-11-01T12:18:00Z,1,OWW23-22-04-07,SRP466219,NA,24,raw wastewater,composite,yes,SARS-CoV-2,OWW23
