Run,amplicon_PCR_primer_scheme (run),Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,concentration_method,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dehosting_method (run),enrichment_kit (run),Experiment,extraction_control,extraction_method,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,purpose_of_ww_sampling,ReleaseDate,create_date,version,Sample Name,sequenced_by,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_site,ww_sample_type,ww_surv_system_sample_id,ww_surv_target_1_known_present,ww_surv_target_1,ww_surv_target_1_conc,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,ww_surv_target_1_protocol,ww_surv_jurisdiction,sequence_submitter_contact_email (run),Sample_name,sample_title
SRR25821052,artic-v5.3.2_400,AMPLICON,551,1212324706,PRJNA957477,SAMN37205645,SARS-CoV-2: wastewater surveillance,386486805,VERILY_WW,2023-08-15,Ceres Nanotrap Microbiome A,public,"activ_sars2_vcf,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.US,gs.us-east1,s3.us-east-1",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,SRX21542781,NA,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,NextSeq 2000,wastewater,VLT_SESF120522.1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2023-10-11T00:00:00Z,2024-01-24T22:14:00Z,3,VLT_SESF120522,Verily Life Sciences,SRP433461,750000,0,primary sludge,wastewater treatment plant,grab,SESF120522,no,SARS-CoV-2,NA,NA,NA,NA,,publichealthteam@verily.com,,
SRR25821053,artic-v5.3.2_400,AMPLICON,440,1592615967,PRJNA957477,SAMN37205644,SARS-CoV-2: wastewater surveillance,510847642,VERILY_WW,2023-08-15,Ceres Nanotrap Microbiome A,public,"run.zq,activ_sars2_vcf,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US,gs.us-east1",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,SRX21542780,NA,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,NextSeq 2000,wastewater,VLT_SAC901716.2,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2023-10-11T00:00:00Z,2024-01-29T08:40:00Z,3,VLT_SAC901716,Verily Life Sciences,SRP433461,1480000,0,primary sludge,wastewater treatment plant,grab,SAC901716,no,SARS-CoV-2,NA,NA,NA,NA,,publichealthteam@verily.com,,
SRR25821054,artic-v5.3.2_400,AMPLICON,466,1502838133,PRJNA957477,SAMN37205644,SARS-CoV-2: wastewater surveillance,484979785,VERILY_WW,2023-08-15,Ceres Nanotrap Microbiome A,public,"sra,activ_sars2_vcf,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1,gs.US",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,SRX21542779,NA,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,NextSeq 2000,wastewater,VLT_SAC901716.1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2023-10-11T00:00:00Z,2024-02-06T16:31:00Z,3,VLT_SAC901716,Verily Life Sciences,SRP433461,1480000,0,primary sludge,wastewater treatment plant,grab,SAC901716,no,SARS-CoV-2,NA,NA,NA,NA,,publichealthteam@verily.com,,
SRR25821055,artic-v5.3.2_400,AMPLICON,570,1132267019,PRJNA957477,SAMN37205643,SARS-CoV-2: wastewater surveillance,361752678,VERILY_WW,2023-08-15,Ceres Nanotrap Microbiome A,public,"sra,run.zq,activ_sars2_vcf","s3,ncbi,gs","gs.US,ncbi.public,gs.us-east1,s3.us-east-1",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,SRX21542778,NA,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,NextSeq 2000,wastewater,VLT_OSP701020.2,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2023-10-11T00:00:00Z,2024-01-30T19:51:00Z,3,VLT_OSP701020,Verily Life Sciences,SRP433461,250000,0,primary sludge,wastewater treatment plant,grab,OSP701020,no,SARS-CoV-2,NA,NA,NA,NA,,publichealthteam@verily.com,,
SRR25821056,artic-v5.3.2_400,AMPLICON,579,1087380564,PRJNA957477,SAMN37205643,SARS-CoV-2: wastewater surveillance,345733065,VERILY_WW,2023-08-15,Ceres Nanotrap Microbiome A,public,"run.zq,activ_sars2_vcf,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,gs.US,ncbi.public",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,SRX21542777,NA,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,NextSeq 2000,wastewater,VLT_OSP701020.1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2023-10-11T00:00:00Z,2024-02-06T19:05:00Z,3,VLT_OSP701020,Verily Life Sciences,SRP433461,250000,0,primary sludge,wastewater treatment plant,grab,OSP701020,no,SARS-CoV-2,NA,NA,NA,NA,,publichealthteam@verily.com,,
SRR25821057,artic-v5.3.2_400,AMPLICON,463,1370587872,PRJNA957477,SAMN37205642,SARS-CoV-2: wastewater surveillance,447196432,VERILY_WW,2023-08-14,Ceres Nanotrap Microbiome A,public,"sra,run.zq,activ_sars2_vcf","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US,gs.us-east1",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,SRX21542776,NA,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,NextSeq 2000,wastewater,VLT_SJ201126.2,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2023-10-11T00:00:00Z,2024-02-05T20:41:00Z,3,VLT_SJ201126,Verily Life Sciences,SRP433461,1500000,0,primary sludge,wastewater treatment plant,grab,SJ201126,no,SARS-CoV-2,NA,NA,NA,NA,,publichealthteam@verily.com,,
SRR25821058,artic-v5.3.2_400,AMPLICON,521,1199169898,PRJNA957477,SAMN37205642,SARS-CoV-2: wastewater surveillance,386485890,VERILY_WW,2023-08-14,Ceres Nanotrap Microbiome A,public,"activ_sars2_vcf,sra,run.zq","s3,ncbi,gs","gs.US,gs.us-east1,s3.us-east-1,ncbi.public",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,SRX21542775,NA,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,NextSeq 2000,wastewater,VLT_SJ201126.1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2023-10-11T00:00:00Z,2024-02-16T19:05:00Z,3,VLT_SJ201126,Verily Life Sciences,SRP433461,1500000,0,primary sludge,wastewater treatment plant,grab,SJ201126,no,SARS-CoV-2,NA,NA,NA,NA,,publichealthteam@verily.com,,
SRR25821059,artic-v5.3.2_400,AMPLICON,545,777917430,PRJNA957477,SAMN37205641,SARS-CoV-2: wastewater surveillance,249197918,VERILY_WW,2023-08-16,Ceres Nanotrap Microbiome A,public,"run.zq,sra,activ_sars2_vcf","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public,gs.us-east1",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,SRX21542774,NA,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,NextSeq 2000,wastewater,VLT_149-230816.1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2023-10-11T00:00:00Z,2024-02-05T03:06:00Z,3,VLT_149-230816,Verily Life Sciences,SRP433461,2200,24,post grit removal,wastewater treatment plant,composite,149-230816,no,SARS-CoV-2,NA,NA,NA,NA,,publichealthteam@verily.com,,
SRR25821060,artic-v5.3.2_400,AMPLICON,495,1248048207,PRJNA957477,SAMN37205640,SARS-CoV-2: wastewater surveillance,401462205,VERILY_WW,2023-08-16,Ceres Nanotrap Microbiome A,public,"run.zq,activ_sars2_vcf,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,gs.US,ncbi.public",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,SRX21542773,NA,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,NextSeq 2000,wastewater,VLT_219-230816.1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2023-10-11T00:00:00Z,2024-02-16T12:41:00Z,3,VLT_219-230816,Verily Life Sciences,SRP433461,97000,24,post grit removal,wastewater treatment plant,composite,219-230816,no,SARS-CoV-2,NA,NA,NA,NA,,publichealthteam@verily.com,,
SRR25821061,artic-v5.3.2_400,AMPLICON,484,1522521752,PRJNA957477,SAMN37205639,SARS-CoV-2: wastewater surveillance,491297075,VERILY_WW,2023-08-16,Ceres Nanotrap Microbiome A,public,"run.zq,activ_sars2_vcf,sra","s3,ncbi,gs","gs.US,s3.us-east-1,gs.us-east1,ncbi.public",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,SRX21542772,NA,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,NextSeq 2000,wastewater,VLT_192-230816.1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2023-10-11T00:00:00Z,2024-04-11T15:11:00Z,3,VLT_192-230816,Verily Life Sciences,SRP433461,58496,24,post grit removal,wastewater treatment plant,composite,192-230816,no,SARS-CoV-2,NA,NA,NA,NA,,publichealthteam@verily.com,,
SRR25821062,artic-v5.3.2_400,AMPLICON,493,2277136345,PRJNA957477,SAMN37205584,SARS-CoV-2: wastewater surveillance,743145639,VERILY_WW,2023-08-07,Ceres Nanotrap Microbiome A,public,"activ_sars2_vcf,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public,gs.US",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,SRX21542771,NA,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,NextSeq 2000,wastewater,VLT_189-230807.1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2023-10-11T00:00:00Z,2024-02-06T16:33:00Z,3,VLT_189-230807,Verily Life Sciences,SRP433461,9000,24,post grit removal,wastewater treatment plant,composite,189-230807,no,SARS-CoV-2,NA,NA,NA,NA,,publichealthteam@verily.com,,
SRR25821063,artic-v5.3.2_400,AMPLICON,478,1457667713,PRJNA957477,SAMN37205638,SARS-CoV-2: wastewater surveillance,470232921,VERILY_WW,2023-08-16,Ceres Nanotrap Microbiome A,public,"activ_sars2_vcf,run.zq,sra","ncbi,s3,gs","gs.us-east1,gs.US,s3.us-east-1,ncbi.public",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,SRX21542770,NA,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,NextSeq 2000,wastewater,VLT_233-230816.1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2023-10-11T00:00:00Z,2024-02-01T14:12:00Z,3,VLT_233-230816,Verily Life Sciences,SRP433461,60000,24,post grit removal,wastewater treatment plant,composite,233-230816,no,SARS-CoV-2,NA,NA,NA,NA,,publichealthteam@verily.com,,
SRR25821064,artic-v5.3.2_400,AMPLICON,553,1360684508,PRJNA957477,SAMN37205637,SARS-CoV-2: wastewater surveillance,435088471,VERILY_WW,2023-08-16,Ceres Nanotrap Microbiome A,public,"activ_sars2_vcf,sra,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,gs.us-east1,ncbi.public",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,SRX21542769,NA,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,NextSeq 2000,wastewater,VLT_161-230816.1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2023-10-11T00:00:00Z,2024-02-01T08:48:00Z,3,VLT_161-230816,Verily Life Sciences,SRP433461,60000,24,post grit removal,wastewater treatment plant,composite,161-230816,no,SARS-CoV-2,NA,NA,NA,NA,,publichealthteam@verily.com,,
SRR25821065,artic-v5.3.2_400,AMPLICON,533,1283610884,PRJNA957477,SAMN37205636,SARS-CoV-2: wastewater surveillance,412208518,VERILY_WW,2023-08-16,Ceres Nanotrap Microbiome A,public,"sra,activ_sars2_vcf,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,gs.us-east1,ncbi.public",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,SRX21542768,NA,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,NextSeq 2000,wastewater,VLT_177-230816.1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2023-10-11T00:00:00Z,2024-02-03T06:50:00Z,3,VLT_177-230816,Verily Life Sciences,SRP433461,131000,24,post grit removal,wastewater treatment plant,composite,177-230816,no,SARS-CoV-2,NA,NA,NA,NA,,publichealthteam@verily.com,,
SRR25821066,artic-v5.3.2_400,AMPLICON,558,1128613502,PRJNA957477,SAMN37205635,SARS-CoV-2: wastewater surveillance,359705130,VERILY_WW,2023-08-15,Ceres Nanotrap Microbiome A,public,"sra,run.zq,activ_sars2_vcf","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1,gs.US",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,SRX21542767,NA,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,NextSeq 2000,wastewater,VLT_149-230815.1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2023-10-11T00:00:00Z,2024-02-07T05:11:00Z,3,VLT_149-230815,Verily Life Sciences,SRP433461,2200,24,post grit removal,wastewater treatment plant,composite,149-230815,no,SARS-CoV-2,NA,NA,NA,NA,,publichealthteam@verily.com,,
SRR25821067,artic-v5.3.2_400,AMPLICON,576,932112741,PRJNA957477,SAMN37205634,SARS-CoV-2: wastewater surveillance,300113325,VERILY_WW,2023-08-16,Ceres Nanotrap Microbiome A,public,"sra,activ_sars2_vcf,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,gs.US,ncbi.public",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,SRX21542766,NA,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,NextSeq 2000,wastewater,VLT_143-230816.1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2023-10-11T00:00:00Z,2024-02-06T22:21:00Z,3,VLT_143-230816,Verily Life Sciences,SRP433461,70000,24,post grit removal,wastewater treatment plant,composite,143-230816,no,SARS-CoV-2,NA,NA,NA,NA,,publichealthteam@verily.com,,
SRR25821068,artic-v5.3.2_400,AMPLICON,583,1025479197,PRJNA957477,SAMN37205633,SARS-CoV-2: wastewater surveillance,328364665,VERILY_WW,2023-08-16,Ceres Nanotrap Microbiome A,public,"activ_sars2_vcf,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1,gs.US",SRA human read removal tool,NEB LunaScript RT + NEB Q5 PCR using ARTIC V5.3.2,SRX21542765,NA,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,USA,North America,USA: California,NextSeq 2000,wastewater,VLT_191-230816.1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,public health surveillance community-level,2023-10-11T00:00:00Z,2024-02-04T16:16:00Z,3,VLT_191-230816,Verily Life Sciences,SRP433461,73000,24,post grit removal,wastewater treatment plant,composite,191-230816,no,SARS-CoV-2,NA,NA,NA,NA,,publichealthteam@verily.com,,
