Run,Assay Type,BioProject,BioSample,broad-scale_environmental_context,Center Name,Collection_Date,Consent,Depth,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),environmental_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),INSDC_center_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,local_environmental_context,Organism,Platform,project_name,ReleaseDate,Sample Name,Sample_Name,Scientific_Name,Sequencing_method,SRA Study,Submitter_Id,AvgSpotLen,Bases,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,create_date,version
ERR11967234,AMPLICON,PRJEB65603,SAMEA114317322,building,STATENS SERUM INSTITUT,2023-08-08,public,0,2023-09-11,2023-09-11,wastewater,ERX11351513,Denmark,Europe,Denmark,55.42125,11.79841,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317322,Ringsted_Centralrenseanlæg_2023-08-08,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Ringsted_Centralrenseanlæg_2023-08-08,146,89147288,34481446,"fastq,sra","ncbi,s3","ncbi.public,s3.us-east-1",2023-09-18T16:32:00Z,1
ERR11967243,AMPLICON,PRJEB65603,SAMEA114317331,building,STATENS SERUM INSTITUT,2023-08-10,public,0,2023-09-11,2023-09-11,wastewater,ERX11351522,Denmark,Europe,Denmark,55.41593,11.34173,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317331,Slagelse_Renseanlæg_2023-08-10,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Slagelse_Renseanlæg_2023-08-10,146,199862716,76675878,"fastq,sra","ncbi,s3","ncbi.public,s3.us-east-1",2023-09-18T16:33:00Z,1
ERR11967245,AMPLICON,PRJEB65603,SAMEA114317333,building,STATENS SERUM INSTITUT,2023-08-08,public,0,2023-09-11,2023-09-11,wastewater,ERX11351524,Denmark,Europe,Denmark,56.74125,10.11528,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317333,Mariagerfjord_Renseanlæg_2023-08-08,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Mariagerfjord_Renseanlæg_2023-08-08,146,204570332,78766797,"fastq,sra","ncbi,s3","ncbi.public,s3.us-east-1",2023-09-18T16:33:00Z,1
ERR11967134,AMPLICON,PRJEB65603,SAMEA114317222,building,STATENS SERUM INSTITUT,2023-08-15,public,0,2023-09-11,2023-09-11,wastewater,ERX11351413,Denmark,Europe,Denmark,55.60864,12.45051,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317222,Avedøre_Renseanlæg_2023-08-15,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Avedøre_Renseanlæg_2023-08-15,,,,,,,,
ERR11967136,AMPLICON,PRJEB65603,SAMEA114317224,building,STATENS SERUM INSTITUT,2023-08-15,public,0,2023-09-11,2023-09-11,wastewater,ERX11351415,Denmark,Europe,Denmark,56.14058,10.20975,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317224,Marselisborg_Renseanlæg_2023-08-15,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Marselisborg_Renseanlæg_2023-08-15,,,,,,,,
ERR11967137,AMPLICON,PRJEB65603,SAMEA114317225,building,STATENS SERUM INSTITUT,2023-08-15,public,0,2023-09-11,2023-09-11,wastewater,ERX11351416,Denmark,Europe,Denmark,55.70201,9.53854,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317225,Vejle_Centralrenseanlæg_2023-08-15,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Vejle_Centralrenseanlæg_2023-08-15,,,,,,,,
ERR11967139,AMPLICON,PRJEB65603,SAMEA114317227,building,STATENS SERUM INSTITUT,2023-08-17,public,0,2023-09-11,2023-09-11,wastewater,ERX11351418,Denmark,Europe,Denmark,57.45903,10.00571,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317227,Hjørring_Renseanlæg_2023-08-17,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Hjørring_Renseanlæg_2023-08-17,,,,,,,,
ERR11967141,AMPLICON,PRJEB65603,SAMEA114317229,building,STATENS SERUM INSTITUT,2023-08-17,public,0,2023-09-11,2023-09-11,wastewater,ERX11351420,Denmark,Europe,Denmark,55.70201,9.53854,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317229,Vejle_Centralrenseanlæg_2023-08-17,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Vejle_Centralrenseanlæg_2023-08-17,,,,,,,,
ERR11967142,AMPLICON,PRJEB65603,SAMEA114317230,building,STATENS SERUM INSTITUT,2023-08-15,public,0,2023-09-11,2023-09-11,wastewater,ERX11351421,Denmark,Europe,Denmark,55.64091,12.50551,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317230,Damhusåen_Renseanlæg_2023-08-15,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Damhusåen_Renseanlæg_2023-08-15,,,,,,,,
ERR11967143,AMPLICON,PRJEB65603,SAMEA114317231,building,STATENS SERUM INSTITUT,2023-08-15,public,0,2023-09-11,2023-09-11,wastewater,ERX11351422,Denmark,Europe,Denmark,55.71936,11.72608,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317231,Holbæk_Renseanlæg_2023-08-15,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Holbæk_Renseanlæg_2023-08-15,,,,,,,,
ERR11967145,AMPLICON,PRJEB65603,SAMEA114317233,building,STATENS SERUM INSTITUT,2023-08-15,public,0,2023-09-11,2023-09-11,wastewater,ERX11351424,Denmark,Europe,Denmark,56.12689,10.14083,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317233,Viby_Renseanlæg_2023-08-15,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Viby_Renseanlæg_2023-08-15,,,,,,,,
ERR11967146,AMPLICON,PRJEB65603,SAMEA114317234,building,STATENS SERUM INSTITUT,2023-08-17,public,0,2023-09-11,2023-09-11,wastewater,ERX11351425,Denmark,Europe,Denmark,55.64091,12.50551,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317234,Damhusåen_Renseanlæg_2023-08-17,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Damhusåen_Renseanlæg_2023-08-17,,,,,,,,
ERR11967148,AMPLICON,PRJEB65603,SAMEA114317236,building,STATENS SERUM INSTITUT,2023-08-17,public,0,2023-09-11,2023-09-11,wastewater,ERX11351427,Denmark,Europe,Denmark,55.5739,12.283,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317236,Mosede_Renseanlæg_2023-08-17,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Mosede_Renseanlæg_2023-08-17,,,,,,,,
ERR11967149,AMPLICON,PRJEB65603,SAMEA114317237,building,STATENS SERUM INSTITUT,2023-08-17,public,0,2023-09-11,2023-09-11,wastewater,ERX11351428,Denmark,Europe,Denmark,56.12689,10.14083,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317237,Viby_Renseanlæg_2023-08-17,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Viby_Renseanlæg_2023-08-17,,,,,,,,
ERR11967150,AMPLICON,PRJEB65603,SAMEA114317238,building,STATENS SERUM INSTITUT,2023-08-15,public,0,2023-09-11,2023-09-11,wastewater,ERX11351429,Denmark,Europe,Denmark,56.2133,10.24266,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317238,Egå_Renseanlæg_2023-08-15,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Egå_Renseanlæg_2023-08-15,,,,,,,,
ERR11967151,AMPLICON,PRJEB65603,SAMEA114317239,building,STATENS SERUM INSTITUT,2023-08-15,public,0,2023-09-11,2023-09-11,wastewater,ERX11351430,Denmark,Europe,Denmark,55.85957,9.85318,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317239,Horsens_Centralrenseanlæg_2023-08-15,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Horsens_Centralrenseanlæg_2023-08-15,,,,,,,,
ERR11967152,AMPLICON,PRJEB65603,SAMEA114317240,building,STATENS SERUM INSTITUT,2023-08-15,public,0,2023-09-11,2023-09-11,wastewater,ERX11351431,Denmark,Europe,Denmark,55.75831,12.31886,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317240,Måløv_Renseanlæg_2023-08-15,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Måløv_Renseanlæg_2023-08-15,,,,,,,,
ERR11967153,AMPLICON,PRJEB65603,SAMEA114317241,building,STATENS SERUM INSTITUT,2023-08-15,public,0,2023-09-11,2023-09-11,wastewater,ERX11351432,Denmark,Europe,Denmark,56.1797,10.17251,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317241,Åby_Renseanlæg_2023-08-15,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Åby_Renseanlæg_2023-08-15,,,,,,,,
ERR11967154,AMPLICON,PRJEB65603,SAMEA114317242,building,STATENS SERUM INSTITUT,2023-08-17,public,0,2023-09-11,2023-09-11,wastewater,ERX11351433,Denmark,Europe,Denmark,56.2133,10.24266,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317242,Egå_Renseanlæg_2023-08-17,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Egå_Renseanlæg_2023-08-17,,,,,,,,
ERR11967155,AMPLICON,PRJEB65603,SAMEA114317243,building,STATENS SERUM INSTITUT,2023-08-17,public,0,2023-09-11,2023-09-11,wastewater,ERX11351434,Denmark,Europe,Denmark,55.85957,9.85318,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317243,Horsens_Centralrenseanlæg_2023-08-17,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Horsens_Centralrenseanlæg_2023-08-17,,,,,,,,
ERR11967156,AMPLICON,PRJEB65603,SAMEA114317244,building,STATENS SERUM INSTITUT,2023-08-17,public,0,2023-09-11,2023-09-11,wastewater,ERX11351435,Denmark,Europe,Denmark,55.75831,12.31886,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317244,Måløv_Renseanlæg_2023-08-17,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Måløv_Renseanlæg_2023-08-17,,,,,,,,
ERR11967157,AMPLICON,PRJEB65603,SAMEA114317245,building,STATENS SERUM INSTITUT,2023-08-17,public,0,2023-09-11,2023-09-11,wastewater,ERX11351436,Denmark,Europe,Denmark,56.1797,10.17251,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317245,Åby_Renseanlæg_2023-08-17,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Åby_Renseanlæg_2023-08-17,,,,,,,,
ERR11967158,AMPLICON,PRJEB65603,SAMEA114317246,building,STATENS SERUM INSTITUT,2023-08-15,public,0,2023-09-11,2023-09-11,wastewater,ERX11351437,Denmark,Europe,Denmark,55.39807,10.415,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317246,Ejby_Mølle_Renseanlæg_2023-08-15,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Ejby_Mølle_Renseanlæg_2023-08-15,,,,,,,,
ERR11967159,AMPLICON,PRJEB65603,SAMEA114317247,building,STATENS SERUM INSTITUT,2023-08-15,public,0,2023-09-11,2023-09-11,wastewater,ERX11351438,Denmark,Europe,Denmark,55.47237,9.57418,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317247,Kolding_Renseanlæg_2023-08-15,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Kolding_Renseanlæg_2023-08-15,,,,,,,,
ERR11967160,AMPLICON,PRJEB65603,SAMEA114317248,building,STATENS SERUM INSTITUT,2023-08-15,public,0,2023-09-11,2023-09-11,wastewater,ERX11351439,Denmark,Europe,Denmark,55.42188,10.36565,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317248,Nordvest_Renseanlæg_2023-08-15,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Nordvest_Renseanlæg_2023-08-15,,,,,,,,
ERR11967161,AMPLICON,PRJEB65603,SAMEA114317249,building,STATENS SERUM INSTITUT,2023-08-15,public,0,2023-09-11,2023-09-11,wastewater,ERX11351440,Denmark,Europe,Denmark,57.04815,9.86547,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317249,Aalborg_Renseanlæg_Vest_2023-08-15,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Aalborg_Renseanlæg_Vest_2023-08-15,,,,,,,,
ERR11967162,AMPLICON,PRJEB65603,SAMEA114317250,building,STATENS SERUM INSTITUT,2023-08-17,public,0,2023-09-11,2023-09-11,wastewater,ERX11351441,Denmark,Europe,Denmark,55.39807,10.415,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317250,Ejby_Mølle_Renseanlæg_2023-08-17,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Ejby_Mølle_Renseanlæg_2023-08-17,,,,,,,,
ERR11967163,AMPLICON,PRJEB65603,SAMEA114317251,building,STATENS SERUM INSTITUT,2023-08-17,public,0,2023-09-11,2023-09-11,wastewater,ERX11351442,Denmark,Europe,Denmark,55.47237,9.57418,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317251,Kolding_Renseanlæg_2023-08-17,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Kolding_Renseanlæg_2023-08-17,,,,,,,,
ERR11967164,AMPLICON,PRJEB65603,SAMEA114317252,building,STATENS SERUM INSTITUT,2023-08-17,public,0,2023-09-11,2023-09-11,wastewater,ERX11351443,Denmark,Europe,Denmark,55.42188,10.36565,Statens Serum Institut,NextSeq 550,,PAIRED,RT-PCR,VIRAL RNA,wastewater treatment plant,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,"SARS-CoV-2 wastewater Illumina sequencing\, Denmark",2023-09-13T00:00:00Z,SAMEA114317252,Nordvest_Renseanlæg_2023-08-17,Severe acute respiratory syndrome coronavirus 2,Illumina,ERP150738,Nordvest_Renseanlæg_2023-08-17,,,,,,,,
