Run,amplicon_PCR_primer_scheme (run),Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sequence_submitter_contact_email (run),sequenced_by,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_site,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1,replicate
SRR23050885,ARTIC V4.1,AMPLICON,589,139082174,PRJNA922726,SAMN32677053,SARS-CoV-2: wastewater surveillance,74484332,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-09-06,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX19004309,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-54538_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2023-01-11T13:31:00Z,1,22-54538_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,467169,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050890,ARTIC V4.1,AMPLICON,590,97706606,PRJNA922726,SAMN32677031,SARS-CoV-2: wastewater surveillance,52081247,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-08-01,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004304,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-46633_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-05T09:01:00Z,3,22-46633_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,67890,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050895,ARTIC V4.1,AMPLICON,578,151468684,PRJNA922726,SAMN32677044,SARS-CoV-2: wastewater surveillance,94472815,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-08-30,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004299,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-53010_002,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-05T21:18:00Z,3,22-53010_002,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,467169,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,2
SRR23050824,ARTIC V4.1,AMPLICON,578,169042880,PRJNA922726,SAMN32677038,SARS-CoV-2: wastewater surveillance,99814842,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-08-25,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004370,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-52023_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-03T16:23:00Z,3,22-52023_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,67890,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050825,ARTIC V4.1,AMPLICON,581,157646454,PRJNA922726,SAMN32677037,SARS-CoV-2: wastewater surveillance,91350477,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-08-15,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX19004369,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-49713_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2023-01-11T13:31:00Z,1,22-49713_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,467169,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050826,ARTIC V4.1,AMPLICON,593,143072365,PRJNA922726,SAMN32677107,SARS-CoV-2: wastewater surveillance,80551880,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-08-10,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004368,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-48771_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-17T06:13:00Z,3,22-48771_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,467169,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050827,ARTIC V4.1,AMPLICON,593,142921871,PRJNA922726,SAMN32677106,SARS-CoV-2: wastewater surveillance,80051632,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-08-10,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004367,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-48652_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-17T06:13:00Z,3,22-48652_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,313928,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050828,ARTIC V4.1,AMPLICON,587,124192569,PRJNA922726,SAMN32677105,SARS-CoV-2: wastewater surveillance,70422229,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-08-09,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004366,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-48481_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-17T05:44:00Z,3,22-48481_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,467169,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050829,ARTIC V4.1,AMPLICON,585,143001323,PRJNA922726,SAMN32677104,SARS-CoV-2: wastewater surveillance,80522922,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-08-09,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004365,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-48386_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-17T05:32:00Z,3,22-48386_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,313928,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050830,ARTIC V4.1,AMPLICON,596,126103479,PRJNA922726,SAMN32677103,SARS-CoV-2: wastewater surveillance,68931200,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-09-16,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004364,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-55937_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-04T18:01:00Z,3,22-55937_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,313928,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050831,ARTIC V4.1,AMPLICON,595,102183417,PRJNA922726,SAMN32677102,SARS-CoV-2: wastewater surveillance,55313153,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-08-26,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004363,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-52475_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-20T12:56:00Z,3,22-52475_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,313928,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050832,ARTIC V4.1,AMPLICON,598,130115548,PRJNA922726,SAMN32677101,SARS-CoV-2: wastewater surveillance,71010661,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-08-22,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004362,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-51149_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-18T18:57:00Z,3,22-51149_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,67890,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050833,ARTIC V4.1,AMPLICON,591,168891996,PRJNA922726,SAMN32677100,SARS-CoV-2: wastewater surveillance,90580168,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-08-22,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004361,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-51154_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-20T12:57:00Z,3,22-51154_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,313928,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050834,ARTIC V4.1,AMPLICON,587,116783082,PRJNA922726,SAMN32677099,SARS-CoV-2: wastewater surveillance,63870470,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-08-19,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004360,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-50962_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-18T18:57:00Z,3,22-50962_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,313928,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050836,ARTIC V4.1,AMPLICON,591,147940851,PRJNA922726,SAMN32677098,SARS-CoV-2: wastewater surveillance,79957310,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-08-17,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004358,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-50124_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-07T09:14:00Z,3,22-50124_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,313928,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050837,ARTIC V4.1,AMPLICON,592,94810895,PRJNA922726,SAMN32677097,SARS-CoV-2: wastewater surveillance,51625139,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-09-18,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004357,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-57006_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-17T06:13:00Z,3,22-57006_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,67890,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050838,ARTIC V4.1,AMPLICON,594,107530436,PRJNA922726,SAMN32677096,SARS-CoV-2: wastewater surveillance,59853562,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-09-16,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004356,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-57005_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-07T09:13:00Z,3,22-57005_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,67890,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050840,ARTIC V4.1,AMPLICON,585,139095892,PRJNA922726,SAMN32677094,SARS-CoV-2: wastewater surveillance,76908622,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-09-09,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004354,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-55505_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-06T16:07:00Z,3,22-55505_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,67890,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050841,ARTIC V4.1,AMPLICON,583,152887044,PRJNA922726,SAMN32677093,SARS-CoV-2: wastewater surveillance,84721347,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-09-11,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004353,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-55504_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-06T18:34:00Z,3,22-55504_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,67890,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050843,ARTIC V4.1,AMPLICON,593,29230697,PRJNA922726,SAMN32677091,SARS-CoV-2: wastewater surveillance,16096319,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-09-04,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX19004351,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-53994_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2023-01-11T13:31:00Z,1,22-53994_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,67890,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050844,ARTIC V4.1,AMPLICON,592,82574949,PRJNA922726,SAMN32677090,SARS-CoV-2: wastewater surveillance,46068742,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-08-29,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004350,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-52661_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-06T12:14:00Z,3,22-52661_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,67890,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050845,ARTIC V4.1,AMPLICON,594,95492236,PRJNA922726,SAMN32677089,SARS-CoV-2: wastewater surveillance,53050112,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-08-28,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004349,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-52461_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-16T13:38:00Z,3,22-52461_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,67890,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050846,ARTIC V4.1,AMPLICON,578,172637042,PRJNA922726,SAMN32677035,SARS-CoV-2: wastewater surveillance,95393494,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-08-23,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004348,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-51398_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-06T04:07:00Z,3,22-51398_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,313928,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050847,ARTIC V4.1,AMPLICON,593,91093356,PRJNA922726,SAMN32677088,SARS-CoV-2: wastewater surveillance,49795661,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-08-22,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004347,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-51240_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-20T15:01:00Z,3,22-51240_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,467169,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050848,ARTIC V4.1,AMPLICON,592,109589299,PRJNA922726,SAMN32677087,SARS-CoV-2: wastewater surveillance,59527137,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-08-17,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004346,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-50245_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-17T06:02:00Z,3,22-50245_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,467169,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050849,ARTIC V4.1,AMPLICON,591,99832417,PRJNA922726,SAMN32677086,SARS-CoV-2: wastewater surveillance,54549352,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-08-15,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004345,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-49615_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-06T21:11:00Z,3,22-49615_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,67890,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
SRR23050850,ARTIC V4.1,AMPLICON,595,113848606,PRJNA922726,SAMN32677085,SARS-CoV-2: wastewater surveillance,61483649,NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,2022-08-14,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19004344,Netherlands,Europe,Netherlands,Illumina MiSeq,wastewater,22-49342_001,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-01-18T00:00:00Z,2024-02-17T13:34:00Z,3,22-49342_001,auke.haver@rivm.nl,National Institute for Public Health and the Environment,SRP417030,67890,24,raw wastewater,wastewater treatment plant,composite,yes,SARS-CoV-2,
