Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1,Sno,Sno.,ID
SRR28986014,AMPLICON,71,57345058,PRJNA1110039,SAMN41315980,SARS-CoV-2: wastewater surveillance,21038732,CSIR-NCL,2022-08-25,public,"run.zq,sra,fastq,activ_sars2_vcf","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1,gs.us-east1",SRX24514829,India,Asia,India: Maharashtra,Illumina MiSeq,STP,BEED84A,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:36:00Z,1,IP15720,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S40
SRR28986015,AMPLICON,71,51102497,PRJNA1110039,SAMN41315979,SARS-CoV-2: wastewater surveillance,18771977,CSIR-NCL,2022-08-25,public,"fastq,run.zq,activ_sars2_vcf,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1,gs.us-east1",SRX24514828,India,Asia,India: Maharashtra,Illumina MiSeq,STP,AMN84A,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:36:00Z,1,IP15681,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S39
SRR28986016,AMPLICON,71,50844761,PRJNA1110039,SAMN41315978,SARS-CoV-2: wastewater surveillance,18733146,CSIR-NCL,2022-08-25,public,"run.zq,sra,activ_sars2_vcf,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,gs.US,ncbi.public",SRX24514827,India,Asia,India: Maharashtra,Illumina MiSeq,STP,AU84B,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:36:00Z,1,IP15678,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S38
SRR28986017,AMPLICON,71,73244667,PRJNA1110039,SAMN41315977,SARS-CoV-2: wastewater surveillance,26623244,CSIR-NCL,2022-08-25,public,"activ_sars2_vcf,sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public,gs.US",SRX24514826,India,Asia,India: Maharashtra,Illumina MiSeq,STP,AU84A,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:36:00Z,1,IP15667,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S37
SRR28986018,AMPLICON,71,67423315,PRJNA1110039,SAMN41315976,SARS-CoV-2: wastewater surveillance,24554051,CSIR-NCL,2022-08-24,public,"fastq,activ_sars2_vcf,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public,gs.us-east1",SRX24514825,India,Asia,India: Maharashtra,Illumina MiSeq,STP,SMK84B,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:36:00Z,1,IP15863,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S36
SRR28986019,AMPLICON,70,20117479,PRJNA1110039,SAMN41315975,SARS-CoV-2: wastewater surveillance,7416397,CSIR-NCL,2022-08-24,public,"sra,activ_sars2_vcf,run.zq,fastq","ncbi,s3,gs","gs.US,gs.us-east1,s3.us-east-1,ncbi.public",SRX24514824,India,Asia,India: Maharashtra,Illumina MiSeq,STP,PMC84C,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP15751,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S35
SRR28986020,AMPLICON,71,52191387,PRJNA1110039,SAMN41315974,SARS-CoV-2: wastewater surveillance,19190840,CSIR-NCL,2022-08-24,public,"sra,fastq,activ_sars2_vcf,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,gs.us-east1,ncbi.public",SRX24514823,India,Asia,India: Maharashtra,Illumina MiSeq,STP,SMK84A,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP15687,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S34
SRR28986021,AMPLICON,71,53149352,PRJNA1110039,SAMN41315973,SARS-CoV-2: wastewater surveillance,19335174,CSIR-NCL,2022-08-24,public,"run.zq,activ_sars2_vcf,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US,gs.us-east1",SRX24514822,India,Asia,India: Maharashtra,Illumina MiSeq,STP,IKZ84A,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP15673,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S33
SRR28986022,AMPLICON,71,49350861,PRJNA1110039,SAMN41315972,SARS-CoV-2: wastewater surveillance,18068581,CSIR-NCL,2022-08-23,public,"fastq,sra,activ_sars2_vcf,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,gs.us-east1,ncbi.public",SRX24514821,India,Asia,India: Maharashtra,Illumina MiSeq,STP,ABH84,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP15722,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S32
SRR28986023,AMPLICON,71,49987438,PRJNA1110039,SAMN41315971,SARS-CoV-2: wastewater surveillance,18299508,CSIR-NCL,2022-08-19,public,"sra,fastq,run.zq,activ_sars2_vcf","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US,gs.us-east1",SRX24514820,India,Asia,India: Maharashtra,Illumina MiSeq,STP,ULNR83,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP15700,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S31
SRR28986024,AMPLICON,71,161057743,PRJNA1110039,SAMN41315944,SARS-CoV-2: wastewater surveillance,67479908,CSIR-NCL,2022-06-27,public,"sra,fastq,run.zq,activ_sars2_vcf","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public,gs.US",SRX24514819,India,Asia,India: Maharashtra,Illumina MiSeq,STP,PMC64C,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP16155,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S4
SRR28986025,AMPLICON,71,40844449,PRJNA1110039,SAMN41315970,SARS-CoV-2: wastewater surveillance,15106662,CSIR-NCL,2022-08-19,public,"activ_sars2_vcf,fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,gs.US,s3.us-east-1",SRX24514818,India,Asia,India: Maharashtra,Illumina MiSeq,STP,ABH83,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP15682,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S30
SRR28986026,AMPLICON,71,42620136,PRJNA1110039,SAMN41315969,SARS-CoV-2: wastewater surveillance,15617269,CSIR-NCL,2022-08-19,public,"sra,fastq,activ_sars2_vcf,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public,gs.us-east1",SRX24514817,India,Asia,India: Maharashtra,Illumina MiSeq,STP,KYN83,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP15671,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S29
SRR28986027,AMPLICON,71,46799110,PRJNA1110039,SAMN41315968,SARS-CoV-2: wastewater surveillance,17311315,CSIR-NCL,2022-08-19,public,"fastq,sra,activ_sars2_vcf,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,gs.US,s3.us-east-1",SRX24514816,India,Asia,India: Maharashtra,Illumina MiSeq,STP,TNA83,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:36:00Z,1,IP15669,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S28
SRR28986028,AMPLICON,71,62062615,PRJNA1110039,SAMN41315967,SARS-CoV-2: wastewater surveillance,22421914,CSIR-NCL,2022-08-19,public,"activ_sars2_vcf,run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,gs.US,s3.us-east-1",SRX24514815,India,Asia,India: Maharashtra,Illumina MiSeq,STP,BY83,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP15660,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S27
SRR28986029,AMPLICON,71,71790104,PRJNA1110039,SAMN41315966,SARS-CoV-2: wastewater surveillance,25744591,CSIR-NCL,2022-08-19,public,"sra,activ_sars2_vcf,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1,gs.US",SRX24514814,India,Asia,India: Maharashtra,Illumina MiSeq,STP,SUR83B,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP15652,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S26
SRR28986030,AMPLICON,71,77392012,PRJNA1110039,SAMN41315965,SARS-CoV-2: wastewater surveillance,27676101,CSIR-NCL,2022-08-18,public,"fastq,activ_sars2_vcf,sra,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1,gs.us-east1",SRX24514813,India,Asia,India: Maharashtra,Illumina MiSeq,STP,IKZ83A,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP15789,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S25
SRR28986031,AMPLICON,71,45110446,PRJNA1110039,SAMN41315964,SARS-CoV-2: wastewater surveillance,16814790,CSIR-NCL,2022-08-03,public,"sra,run.zq,fastq,activ_sars2_vcf","s3,ncbi,gs","gs.us-east1,gs.US,s3.us-east-1,ncbi.public",SRX24514812,India,Asia,India: Maharashtra,Illumina MiSeq,STP,PCMC81C,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP15712,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S24
SRR28986032,AMPLICON,71,60503312,PRJNA1110039,SAMN41315963,SARS-CoV-2: wastewater surveillance,22152067,CSIR-NCL,2022-08-03,public,"activ_sars2_vcf,fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public,gs.us-east1",SRX24514811,India,Asia,India: Maharashtra,Illumina MiSeq,STP,PCMC81A,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP15662,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S23
SRR28986033,AMPLICON,71,79742831,PRJNA1110039,SAMN41315962,SARS-CoV-2: wastewater surveillance,28383845,CSIR-NCL,2022-08-01,public,"sra,fastq,activ_sars2_vcf,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public,gs.us-east1",SRX24514810,India,Asia,India: Maharashtra,Illumina MiSeq,STP,SMK81A,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2024-05-10T00:00:00Z,2024-05-10T02:37:00Z,1,IP15757,SRP506919,NA,NA,NA,NA,yes,SARS-CoV-2,,,S22
