Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_Source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1,purpose_of_ww_sampling,purpose_of_ww_sequencing,Isolate,Lat_Lon,STRAIN,sequenced_by
SRR15507888,AMPLICON,288,1629270089,PRJNA735936,SAMN20845582,SARS-CoV-2: wastewater surveillance,716175493,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-07-12,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX11807192,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s1409,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s1409,SRP323202,31269,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
SRR15507889,AMPLICON,292,1968067706,PRJNA735936,SAMN20845581,SARS-CoV-2: wastewater surveillance,857132830,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-07-12,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX11807191,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s1408,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s1408,SRP323202,32460,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
SRR15507890,AMPLICON,294,2374308585,PRJNA735936,SAMN20845580,SARS-CoV-2: wastewater surveillance,1042147837,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-07-12,public,"activ_sars2_vcf,sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX11807190,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s1407,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s1407,SRP323202,20832,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
SRR15507891,AMPLICON,295,3022280722,PRJNA735936,SAMN20845579,SARS-CoV-2: wastewater surveillance,1315754350,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-07-12,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX11807189,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s1406,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s1406,SRP323202,55928,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
SRR15507892,AMPLICON,294,2110827993,PRJNA735936,SAMN20845578,SARS-CoV-2: wastewater surveillance,924149353,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-07-12,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX11807188,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s1405,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s1405,SRP323202,46659,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
SRR15507893,AMPLICON,291,2039297823,PRJNA735936,SAMN20845542,SARS-CoV-2: wastewater surveillance,895965031,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-06-28,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX11807187,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s1339,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s1339,SRP323202,295910,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
SRR15507894,AMPLICON,292,1989518782,PRJNA735936,SAMN20845577,SARS-CoV-2: wastewater surveillance,868101192,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-07-12,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX11807186,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s1404,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s1404,SRP323202,22437,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
SRR15507895,AMPLICON,294,2793969883,PRJNA735936,SAMN20845576,SARS-CoV-2: wastewater surveillance,1210640586,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-07-12,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX11807185,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s1403,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s1403,SRP323202,295910,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
SRR15507896,AMPLICON,293,2430281861,PRJNA735936,SAMN20845575,SARS-CoV-2: wastewater surveillance,1111901545,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-07-12,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX11807184,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s1402,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s1402,SRP323202,25073,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
SRR15507897,AMPLICON,292,2548336866,PRJNA735936,SAMN20845574,SARS-CoV-2: wastewater surveillance,1116059558,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-07-12,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX11807183,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s1401,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s1401,SRP323202,35956,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
SRR15507898,AMPLICON,294,2519079719,PRJNA735936,SAMN20845573,SARS-CoV-2: wastewater surveillance,1118746578,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-07-12,public,"fastq,sra,activ_sars2_vcf","gs,s3","gs.US,s3.us-east-1",SRX11807182,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s1400,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s1400,SRP323202,7820,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
SRR15507899,AMPLICON,291,1990752690,PRJNA735936,SAMN20845589,SARS-CoV-2: wastewater surveillance,872085394,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-07-19,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX11807200,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s1431,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s1431,SRP323202,10739,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
SRR15507900,AMPLICON,294,2401300876,PRJNA735936,SAMN20845572,SARS-CoV-2: wastewater surveillance,1049664242,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-07-12,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX11807181,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s1399,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s1399,SRP323202,10739,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
SRR15507901,AMPLICON,285,1597031957,PRJNA735936,SAMN20845571,SARS-CoV-2: wastewater surveillance,722210825,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-07-05,public,"sra,fastq,activ_sars2_vcf","gs,s3","gs.US,s3.us-east-1",SRX11807180,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s07052021,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s07052021,SRP323202,349850,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
SRR15507902,AMPLICON,293,2979102517,PRJNA735936,SAMN20845570,SARS-CoV-2: wastewater surveillance,1301229874,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-07-05,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX11807179,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s1382,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s1382,SRP323202,25000,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
SRR15507903,AMPLICON,292,2672871415,PRJNA735936,SAMN20845569,SARS-CoV-2: wastewater surveillance,1174528039,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-07-05,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX11807178,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s1381,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s1381,SRP323202,139251,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
SRR15507904,AMPLICON,293,3084186842,PRJNA735936,SAMN20845568,SARS-CoV-2: wastewater surveillance,1350082325,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-07-05,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX11807177,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s1380,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s1380,SRP323202,8071,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
SRR15507905,AMPLICON,289,1823142916,PRJNA735936,SAMN20845541,SARS-CoV-2: wastewater surveillance,802556496,UNIVERSITY OF LOUISVILLE,"Joshua Fuqua\, Eric C. Rouchka\, Julia H. Chariker\, Sabine Waigel\, Donghoon Chung\, Wolfgang Zacharias\, Mei Zhang\, Damond Talley\, Ian Santisteban\, Arvind Varsani\, Sarah Moyer\, Rochelle H. Holm\, Ray A. Yeager\, Kevin Sokoloski\, Ted Smith\, Aruni Bhatnagar\, T...",2021-06-28,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX11807176,USA,North America,USA: Kentucky,NextSeq 500,wastewater,s1338,PAIRED,RANDOM PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-02T00:00:00Z,s1338,SRP323202,25073,24 h,raw wastewater,grab,yes,SARS-CoV-2,public health surveillance community-level,diversity of mutations across entire genome,,,,University of Louisville Genomics Core Facility
