Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,environment_(biome),environment_(feature),environment_(material),Experiment,External_Id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,run_date (run),Sample Name,Sample_Name,Sequencing_method,sewage_type,SRA Study,Submitter_Id,wastewater/sludge_environmental_package,wastewater_type,geographic_location_(region_and_locality)
ERR9861209,RNA-Seq,502,4456518052,PRJEB44932,SAMEA110148740,537017836,"SWISS INSTITUTE OF BIOINFORMATICS, SWITZERLAND",2021-11-26,SARS-CoV2,public,"activ_sars2_vcf,cram,sra","s3,gs","gs.US,s3.us-east-1",2022-06-20,2022-06-20,2022-06-20,2022-06-20,urban biome,city,sewage,ERX9406287,SAMEA110148740,Switzerland,Europe,Switzerland,47.4007,8.481,SIB,"Swiss Institute of Bioinformatics\, Switzerland",2022-06-20T04:17:34Z,2022-06-20T04:17:34Z,public,Illumina NovaSeq 6000,virus,,PAIRED,cDNA,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Swiss SARS-CoV-2 Wastewater Surveillance,2022-06-20T00:00:00Z,2021-12-10,SAMEA110148740,10_2021_11_26,NGS Illumina xxx,municipal wastewater treatment plant,ERP129046,10_2021_11_26,wastewater/sludge,human waste,ZH - Zürich - ARA Werdhölzli
ERR9861210,RNA-Seq,502,5451683354,PRJEB44932,SAMEA110148741,668489023,"SWISS INSTITUTE OF BIOINFORMATICS, SWITZERLAND",2021-11-27,SARS-CoV2,public,"cram,activ_sars2_vcf,sra","gs,s3","gs.US,s3.us-east-1",2022-06-20,2022-06-20,2022-06-20,2022-06-20,urban biome,city,sewage,ERX9406288,SAMEA110148741,Switzerland,Europe,Switzerland,47.4007,8.481,SIB,"Swiss Institute of Bioinformatics\, Switzerland",2022-06-20T04:17:34Z,2022-06-20T04:17:34Z,public,Illumina NovaSeq 6000,virus,,PAIRED,cDNA,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Swiss SARS-CoV-2 Wastewater Surveillance,2022-06-20T00:00:00Z,2021-12-10,SAMEA110148741,10_2021_11_27,NGS Illumina xxx,municipal wastewater treatment plant,ERP129046,10_2021_11_27,wastewater/sludge,human waste,ZH - Zürich - ARA Werdhölzli
ERR9861211,RNA-Seq,502,6509912406,PRJEB44932,SAMEA110148742,779670821,"SWISS INSTITUTE OF BIOINFORMATICS, SWITZERLAND",2021-11-28,SARS-CoV2,public,"activ_sars2_vcf,sra,cram","s3,gs","s3.us-east-1,gs.US",2022-06-20,2022-06-20,2022-06-20,2022-06-20,urban biome,city,sewage,ERX9406289,SAMEA110148742,Switzerland,Europe,Switzerland,47.4007,8.481,SIB,"Swiss Institute of Bioinformatics\, Switzerland",2022-06-20T04:17:34Z,2022-06-20T04:17:34Z,public,Illumina NovaSeq 6000,virus,,PAIRED,cDNA,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Swiss SARS-CoV-2 Wastewater Surveillance,2022-06-20T00:00:00Z,2021-12-10,SAMEA110148742,10_2021_11_28,NGS Illumina xxx,municipal wastewater treatment plant,ERP129046,10_2021_11_28,wastewater/sludge,human waste,ZH - Zürich - ARA Werdhölzli
ERR9861212,RNA-Seq,502,4009732028,PRJEB44932,SAMEA110148743,549777662,"SWISS INSTITUTE OF BIOINFORMATICS, SWITZERLAND",2021-11-29,SARS-CoV2,public,"activ_sars2_vcf,sra,cram","gs,s3","gs.US,s3.us-east-1",2022-06-20,2022-06-20,2022-06-20,2022-06-20,urban biome,city,sewage,ERX9406290,SAMEA110148743,Switzerland,Europe,Switzerland,47.4007,8.481,SIB,"Swiss Institute of Bioinformatics\, Switzerland",2022-06-20T04:17:34Z,2022-06-20T04:17:34Z,public,Illumina NovaSeq 6000,virus,,PAIRED,cDNA,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Swiss SARS-CoV-2 Wastewater Surveillance,2022-06-20T00:00:00Z,2021-12-10,SAMEA110148743,10_2021_11_29,NGS Illumina xxx,municipal wastewater treatment plant,ERP129046,10_2021_11_29,wastewater/sludge,human waste,ZH - Zürich - ARA Werdhölzli
ERR9861213,RNA-Seq,502,3685092142,PRJEB44932,SAMEA110148744,621253616,"SWISS INSTITUTE OF BIOINFORMATICS, SWITZERLAND",2021-11-30,SARS-CoV2,public,"cram,sra,activ_sars2_vcf","s3,gs","gs.US,s3.us-east-1",2022-06-20,2022-06-20,2022-06-20,2022-06-20,urban biome,city,sewage,ERX9406291,SAMEA110148744,Switzerland,Europe,Switzerland,47.4007,8.481,SIB,"Swiss Institute of Bioinformatics\, Switzerland",2022-06-20T04:17:34Z,2022-06-20T04:17:34Z,public,Illumina NovaSeq 6000,virus,,PAIRED,cDNA,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Swiss SARS-CoV-2 Wastewater Surveillance,2022-06-20T00:00:00Z,2021-12-10,SAMEA110148744,10_2021_11_30,NGS Illumina xxx,municipal wastewater treatment plant,ERP129046,10_2021_11_30,wastewater/sludge,human waste,ZH - Zürich - ARA Werdhölzli
ERR9861214,RNA-Seq,502,4056312106,PRJEB44932,SAMEA110148745,566309493,"SWISS INSTITUTE OF BIOINFORMATICS, SWITZERLAND",2021-11-24,SARS-CoV2,public,"sra,cram,activ_sars2_vcf","gs,s3","s3.us-east-1,gs.US",2022-06-20,2022-06-20,2022-06-20,2022-06-20,urban biome,city,sewage,ERX9406292,SAMEA110148745,Switzerland,Europe,Switzerland,46.8707,9.5293,SIB,"Swiss Institute of Bioinformatics\, Switzerland",2022-06-20T04:17:34Z,2022-06-20T04:17:34Z,public,Illumina NovaSeq 6000,virus,,PAIRED,cDNA,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Swiss SARS-CoV-2 Wastewater Surveillance,2022-06-20T00:00:00Z,2021-12-10,SAMEA110148745,17_2021_11_24,NGS Illumina xxx,municipal wastewater treatment plant,ERP129046,17_2021_11_24,wastewater/sludge,human waste,GR - Chur - ARA Chur
ERR9861215,RNA-Seq,502,2279873662,PRJEB44932,SAMEA110148746,292958285,"SWISS INSTITUTE OF BIOINFORMATICS, SWITZERLAND",2021-11-25,SARS-CoV2,public,"sra,cram,activ_sars2_vcf","s3,gs","s3.us-east-1,gs.US",2022-06-20,2022-06-20,2022-06-20,2022-06-20,urban biome,city,sewage,ERX9406293,SAMEA110148746,Switzerland,Europe,Switzerland,46.8707,9.5293,SIB,"Swiss Institute of Bioinformatics\, Switzerland",2022-06-20T04:17:34Z,2022-06-20T04:17:34Z,public,Illumina NovaSeq 6000,virus,,PAIRED,cDNA,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Swiss SARS-CoV-2 Wastewater Surveillance,2022-06-20T00:00:00Z,2021-12-10,SAMEA110148746,17_2021_11_25,NGS Illumina xxx,municipal wastewater treatment plant,ERP129046,17_2021_11_25,wastewater/sludge,human waste,GR - Chur - ARA Chur
ERR9861216,RNA-Seq,502,3860288636,PRJEB44932,SAMEA110148747,506882505,"SWISS INSTITUTE OF BIOINFORMATICS, SWITZERLAND",2021-11-26,SARS-CoV2,public,"cram,sra,activ_sars2_vcf","s3,gs","gs.US,s3.us-east-1",2022-06-20,2022-06-20,2022-06-20,2022-06-20,urban biome,city,sewage,ERX9406294,SAMEA110148747,Switzerland,Europe,Switzerland,46.8707,9.5293,SIB,"Swiss Institute of Bioinformatics\, Switzerland",2022-06-20T04:17:34Z,2022-06-20T04:17:34Z,public,Illumina NovaSeq 6000,virus,,PAIRED,cDNA,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Swiss SARS-CoV-2 Wastewater Surveillance,2022-06-20T00:00:00Z,2021-12-10,SAMEA110148747,17_2021_11_26,NGS Illumina xxx,municipal wastewater treatment plant,ERP129046,17_2021_11_26,wastewater/sludge,human waste,GR - Chur - ARA Chur
ERR9861217,RNA-Seq,502,3170710312,PRJEB44932,SAMEA110148748,475897669,"SWISS INSTITUTE OF BIOINFORMATICS, SWITZERLAND",2021-11-27,SARS-CoV2,public,"sra,activ_sars2_vcf,cram","s3,gs","s3.us-east-1,gs.US",2022-06-20,2022-06-20,2022-06-20,2022-06-20,urban biome,city,sewage,ERX9406295,SAMEA110148748,Switzerland,Europe,Switzerland,46.8707,9.5293,SIB,"Swiss Institute of Bioinformatics\, Switzerland",2022-06-20T04:17:34Z,2022-06-20T04:17:34Z,public,Illumina NovaSeq 6000,virus,,PAIRED,cDNA,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Swiss SARS-CoV-2 Wastewater Surveillance,2022-06-20T00:00:00Z,2021-12-10,SAMEA110148748,17_2021_11_27,NGS Illumina xxx,municipal wastewater treatment plant,ERP129046,17_2021_11_27,wastewater/sludge,human waste,GR - Chur - ARA Chur
ERR9861218,RNA-Seq,502,6620891052,PRJEB44932,SAMEA110148749,780962220,"SWISS INSTITUTE OF BIOINFORMATICS, SWITZERLAND",2021-11-28,SARS-CoV2,public,"cram,activ_sars2_vcf,sra","gs,s3","s3.us-east-1,gs.US",2022-06-20,2022-06-20,2022-06-20,2022-06-20,urban biome,city,sewage,ERX9406296,SAMEA110148749,Switzerland,Europe,Switzerland,46.8707,9.5293,SIB,"Swiss Institute of Bioinformatics\, Switzerland",2022-06-20T04:17:34Z,2022-06-20T04:17:34Z,public,Illumina NovaSeq 6000,virus,,PAIRED,cDNA,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Swiss SARS-CoV-2 Wastewater Surveillance,2022-06-20T00:00:00Z,2021-12-10,SAMEA110148749,17_2021_11_28,NGS Illumina xxx,municipal wastewater treatment plant,ERP129046,17_2021_11_28,wastewater/sludge,human waste,GR - Chur - ARA Chur
ERR9861219,RNA-Seq,502,4363800158,PRJEB44932,SAMEA110148750,608982013,"SWISS INSTITUTE OF BIOINFORMATICS, SWITZERLAND",2021-11-29,SARS-CoV2,public,"cram,sra,activ_sars2_vcf","gs,s3","gs.US,s3.us-east-1",2022-06-20,2022-06-20,2022-06-20,2022-06-20,urban biome,city,sewage,ERX9406297,SAMEA110148750,Switzerland,Europe,Switzerland,46.8707,9.5293,SIB,"Swiss Institute of Bioinformatics\, Switzerland",2022-06-20T04:17:34Z,2022-06-20T04:17:34Z,public,Illumina NovaSeq 6000,virus,,PAIRED,cDNA,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Swiss SARS-CoV-2 Wastewater Surveillance,2022-06-20T00:00:00Z,2021-12-10,SAMEA110148750,17_2021_11_29,NGS Illumina xxx,municipal wastewater treatment plant,ERP129046,17_2021_11_29,wastewater/sludge,human waste,GR - Chur - ARA Chur
ERR9861220,RNA-Seq,502,3842187018,PRJEB44932,SAMEA110148751,558896070,"SWISS INSTITUTE OF BIOINFORMATICS, SWITZERLAND",2021-11-30,SARS-CoV2,public,"sra,activ_sars2_vcf,cram","s3,gs","s3.us-east-1,gs.US",2022-06-20,2022-06-20,2022-06-20,2022-06-20,urban biome,city,sewage,ERX9406298,SAMEA110148751,Switzerland,Europe,Switzerland,46.8707,9.5293,SIB,"Swiss Institute of Bioinformatics\, Switzerland",2022-06-20T04:17:34Z,2022-06-20T04:17:34Z,public,Illumina NovaSeq 6000,virus,,PAIRED,cDNA,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Swiss SARS-CoV-2 Wastewater Surveillance,2022-06-20T00:00:00Z,2021-12-10,SAMEA110148751,17_2021_11_30,NGS Illumina xxx,municipal wastewater treatment plant,ERP129046,17_2021_11_30,wastewater/sludge,human waste,GR - Chur - ARA Chur
ERR9861221,RNA-Seq,502,4597977636,PRJEB44932,SAMEA110148752,667102684,"SWISS INSTITUTE OF BIOINFORMATICS, SWITZERLAND",2021-11-24,SARS-CoV2,public,"activ_sars2_vcf,sra,cram","s3,gs","s3.us-east-1,gs.US",2022-06-20,2022-06-20,2022-06-20,2022-06-20,urban biome,city,sewage,ERX9406299,SAMEA110148752,Switzerland,Europe,Switzerland,47.4902,9.5673,SIB,"Swiss Institute of Bioinformatics\, Switzerland",2022-06-20T04:17:34Z,2022-06-20T04:17:34Z,public,Illumina NovaSeq 6000,virus,,PAIRED,cDNA,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Swiss SARS-CoV-2 Wastewater Surveillance,2022-06-20T00:00:00Z,2021-12-10,SAMEA110148752,19_2021_11_24,NGS Illumina xxx,municipal wastewater treatment plant,ERP129046,19_2021_11_24,wastewater/sludge,human waste,SG - Altenrhein - ARA Altenrhein
ERR9861222,RNA-Seq,502,3995119310,PRJEB44932,SAMEA110148753,623233308,"SWISS INSTITUTE OF BIOINFORMATICS, SWITZERLAND",2021-11-25,SARS-CoV2,public,"sra,activ_sars2_vcf,cram","s3,gs","gs.US,s3.us-east-1",2022-06-20,2022-06-20,2022-06-20,2022-06-20,urban biome,city,sewage,ERX9406300,SAMEA110148753,Switzerland,Europe,Switzerland,47.4902,9.5673,SIB,"Swiss Institute of Bioinformatics\, Switzerland",2022-06-20T04:17:34Z,2022-06-20T04:17:34Z,public,Illumina NovaSeq 6000,virus,,PAIRED,cDNA,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Swiss SARS-CoV-2 Wastewater Surveillance,2022-06-20T00:00:00Z,2021-12-10,SAMEA110148753,19_2021_11_25,NGS Illumina xxx,municipal wastewater treatment plant,ERP129046,19_2021_11_25,wastewater/sludge,human waste,SG - Altenrhein - ARA Altenrhein
ERR9861223,RNA-Seq,502,2770413002,PRJEB44932,SAMEA110148754,444956303,"SWISS INSTITUTE OF BIOINFORMATICS, SWITZERLAND",2021-11-26,SARS-CoV2,public,"activ_sars2_vcf,cram,sra","gs,s3","s3.us-east-1,gs.US",2022-06-20,2022-06-20,2022-06-20,2022-06-20,urban biome,city,sewage,ERX9406301,SAMEA110148754,Switzerland,Europe,Switzerland,47.4902,9.5673,SIB,"Swiss Institute of Bioinformatics\, Switzerland",2022-06-20T04:17:34Z,2022-06-20T04:17:34Z,public,Illumina NovaSeq 6000,virus,,PAIRED,cDNA,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Swiss SARS-CoV-2 Wastewater Surveillance,2022-06-20T00:00:00Z,2021-12-10,SAMEA110148754,19_2021_11_26,NGS Illumina xxx,municipal wastewater treatment plant,ERP129046,19_2021_11_26,wastewater/sludge,human waste,SG - Altenrhein - ARA Altenrhein
ERR9861224,RNA-Seq,502,2672995886,PRJEB44932,SAMEA110148755,417599252,"SWISS INSTITUTE OF BIOINFORMATICS, SWITZERLAND",2021-11-27,SARS-CoV2,public,"cram,sra,activ_sars2_vcf","s3,gs","gs.US,s3.us-east-1",2022-06-20,2022-06-20,2022-06-20,2022-06-20,urban biome,city,sewage,ERX9406302,SAMEA110148755,Switzerland,Europe,Switzerland,47.4902,9.5673,SIB,"Swiss Institute of Bioinformatics\, Switzerland",2022-06-20T04:17:34Z,2022-06-20T04:17:34Z,public,Illumina NovaSeq 6000,virus,,PAIRED,cDNA,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Swiss SARS-CoV-2 Wastewater Surveillance,2022-06-20T00:00:00Z,2021-12-10,SAMEA110148755,19_2021_11_27,NGS Illumina xxx,municipal wastewater treatment plant,ERP129046,19_2021_11_27,wastewater/sludge,human waste,SG - Altenrhein - ARA Altenrhein
ERR9861225,RNA-Seq,502,5107903212,PRJEB44932,SAMEA110148756,669733635,"SWISS INSTITUTE OF BIOINFORMATICS, SWITZERLAND",2021-11-28,SARS-CoV2,public,"activ_sars2_vcf,cram,sra","gs,s3","gs.US,s3.us-east-1",2022-06-20,2022-06-20,2022-06-20,2022-06-20,urban biome,city,sewage,ERX9406303,SAMEA110148756,Switzerland,Europe,Switzerland,47.4902,9.5673,SIB,"Swiss Institute of Bioinformatics\, Switzerland",2022-06-20T04:17:34Z,2022-06-20T04:17:34Z,public,Illumina NovaSeq 6000,virus,,PAIRED,cDNA,METAGENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Swiss SARS-CoV-2 Wastewater Surveillance,2022-06-20T00:00:00Z,2021-12-10,SAMEA110148756,19_2021_11_28,NGS Illumina xxx,municipal wastewater treatment plant,ERP129046,19_2021_11_28,wastewater/sludge,human waste,SG - Altenrhein - ARA Altenrhein
