Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample_ID,Sample Name,sequence_submitter_contact_email (run),sequenced_by,sequencing_protocol_name (run),SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_jurisdiction,ww_surv_target_1_known_present,ww_surv_target_1,amplicon__PCR_primer_scheme (run),amplicon_size (run)
SRR17120659,AMPLICON,282,68293068,PRJNA771693,SAMN22937989,SARS-CoV-2: wastewater surveillance,28680481,TGEN NORTH,Aquavitas,2021-01-25,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305221,USA,North America,USA: Florida,NextSeq 500,wastewater,aquavitas_E526,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:25:00Z,1,aquavitas_E526,aquavitas_E526,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,FL,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120660,AMPLICON,282,78321834,PRJNA771693,SAMN22335428,SARS-CoV-2: wastewater surveillance,32690928,TGEN NORTH,Aquavitas,2021-01-11,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305220,USA,North America,USA: Maryland,NextSeq 500,wastewater,aquavitas_E027,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:27:00Z,2,aquavitas_E27,aquavitas_E27,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,MD,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120661,AMPLICON,282,64270902,PRJNA771693,SAMN22937984,SARS-CoV-2: wastewater surveillance,26713826,TGEN NORTH,Aquavitas,2021-01-25,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305219,USA,North America,USA: Minnesota,NextSeq 500,wastewater,aquavitas_E521,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:27:00Z,2,aquavitas_E521,aquavitas_E521,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,MN,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120662,AMPLICON,282,49186158,PRJNA771693,SAMN22937982,SARS-CoV-2: wastewater surveillance,20208965,TGEN NORTH,Aquavitas,2021-01-11,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305218,USA,North America,USA: Minnesota,NextSeq 500,wastewater,aquavitas_E519,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:27:00Z,2,aquavitas_E519,aquavitas_E519,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,MN,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120663,AMPLICON,282,57952692,PRJNA771693,SAMN22937976,SARS-CoV-2: wastewater surveillance,24279080,TGEN NORTH,Aquavitas,2021-01-04,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13305217,USA,North America,USA: Maryland,NextSeq 500,wastewater,aquavitas_E513,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:27:00Z,2,aquavitas_E513,aquavitas_E513,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,MD,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120664,AMPLICON,282,72953400,PRJNA771693,SAMN22937975,SARS-CoV-2: wastewater surveillance,30597594,TGEN NORTH,Aquavitas,2021-02-08,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305216,USA,North America,USA: Missouri,NextSeq 500,wastewater,aquavitas_E512,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:27:00Z,2,aquavitas_E512,aquavitas_E512,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,MO,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120665,AMPLICON,282,97522932,PRJNA771693,SAMN22937973,SARS-CoV-2: wastewater surveillance,40938314,TGEN NORTH,Aquavitas,2021-01-25,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305215,USA,North America,USA: Missouri,NextSeq 500,wastewater,aquavitas_E510,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:27:00Z,2,aquavitas_E510,aquavitas_E510,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,MO,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120666,AMPLICON,282,70516920,PRJNA771693,SAMN22937967,SARS-CoV-2: wastewater surveillance,29429062,TGEN NORTH,Aquavitas,2021-01-25,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305214,USA,North America,USA: Washington,NextSeq 500,wastewater,aquavitas_E504,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:27:00Z,2,aquavitas_E504,aquavitas_E504,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,WA,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120667,AMPLICON,282,59279502,PRJNA771693,SAMN22937959,SARS-CoV-2: wastewater surveillance,24749581,TGEN NORTH,Aquavitas,2021-01-11,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305213,USA,North America,USA: Washington,NextSeq 500,wastewater,aquavitas_E496,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:27:00Z,2,aquavitas_E496,aquavitas_E496,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,WA,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120668,AMPLICON,282,65001564,PRJNA771693,SAMN22937958,SARS-CoV-2: wastewater surveillance,27010716,TGEN NORTH,Aquavitas,2021-01-04,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305212,USA,North America,USA: Washington,NextSeq 500,wastewater,aquavitas_E495,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:27:00Z,2,aquavitas_E495,aquavitas_E495,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,WA,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120669,AMPLICON,282,88711560,PRJNA771693,SAMN22937949,SARS-CoV-2: wastewater surveillance,36050506,TGEN NORTH,Aquavitas,2021-01-18,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305211,USA,North America,USA: Vermont,NextSeq 500,wastewater,aquavitas_E486,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:28:00Z,2,aquavitas_E486,aquavitas_E486,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,VT,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120670,AMPLICON,282,131949492,PRJNA771693,SAMN22937946,SARS-CoV-2: wastewater surveillance,53991087,TGEN NORTH,Aquavitas,2021-02-08,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305210,USA,North America,USA: Illinois,NextSeq 500,wastewater,aquavitas_E483,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:28:00Z,2,aquavitas_E483,aquavitas_E483,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,IL,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120671,AMPLICON,282,65508600,PRJNA771693,SAMN22335426,SARS-CoV-2: wastewater surveillance,27377211,TGEN NORTH,Aquavitas,2020-12-21,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305209,USA,North America,USA: Maryland,NextSeq 500,wastewater,aquavitas_E025,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:27:00Z,2,aquavitas_E25,aquavitas_E25,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,MD,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120672,AMPLICON,282,90461370,PRJNA771693,SAMN22937940,SARS-CoV-2: wastewater surveillance,38012740,TGEN NORTH,Aquavitas,2021-02-08,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305208,USA,North America,USA: Delaware,NextSeq 500,wastewater,aquavitas_E477,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:27:00Z,2,aquavitas_E477,aquavitas_E477,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,DE,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120673,AMPLICON,282,82997394,PRJNA771693,SAMN22937939,SARS-CoV-2: wastewater surveillance,34179582,TGEN NORTH,Aquavitas,2021-02-01,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305207,USA,North America,USA: Delaware,NextSeq 500,wastewater,aquavitas_E476,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:27:00Z,2,aquavitas_E476,aquavitas_E476,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,DE,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120674,AMPLICON,282,79643004,PRJNA771693,SAMN22937934,SARS-CoV-2: wastewater surveillance,32535440,TGEN NORTH,Aquavitas,2021-02-08,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305206,USA,North America,USA: Illinois,NextSeq 500,wastewater,aquavitas_E471,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:27:00Z,2,aquavitas_E471,aquavitas_E471,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,IL,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120675,AMPLICON,282,113553504,PRJNA771693,SAMN22937933,SARS-CoV-2: wastewater surveillance,45622337,TGEN NORTH,Aquavitas,2021-02-01,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305205,USA,North America,USA: Illinois,NextSeq 500,wastewater,aquavitas_E470,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:28:00Z,2,aquavitas_E470,aquavitas_E470,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,IL,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120676,AMPLICON,282,13189986,PRJNA771693,SAMN22937932,SARS-CoV-2: wastewater surveillance,5471674,TGEN NORTH,Aquavitas,2021-01-25,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305204,USA,North America,USA: Illinois,NextSeq 500,wastewater,aquavitas_E469,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:25:00Z,1,aquavitas_E469,aquavitas_E469,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,IL,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120677,AMPLICON,282,63696186,PRJNA771693,SAMN22937929,SARS-CoV-2: wastewater surveillance,26758680,TGEN NORTH,Aquavitas,2021-01-04,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305203,USA,North America,USA: Illinois,NextSeq 500,wastewater,aquavitas_E466,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:27:00Z,2,aquavitas_E466,aquavitas_E466,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,IL,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120678,AMPLICON,282,80077002,PRJNA771693,SAMN22937928,SARS-CoV-2: wastewater surveillance,33502667,TGEN NORTH,Aquavitas,2020-12-28,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305202,USA,North America,USA: Illinois,NextSeq 500,wastewater,aquavitas_E465,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:27:00Z,2,aquavitas_E465,aquavitas_E465,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,IL,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120679,AMPLICON,282,105351534,PRJNA771693,SAMN22937927,SARS-CoV-2: wastewater surveillance,44066693,TGEN NORTH,Aquavitas,2021-02-01,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305201,USA,North America,USA: New Jersey,NextSeq 500,wastewater,aquavitas_E464,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:27:00Z,2,aquavitas_E464,aquavitas_E464,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,NJ,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120680,AMPLICON,282,63647118,PRJNA771693,SAMN22937905,SARS-CoV-2: wastewater surveillance,26869176,TGEN NORTH,Aquavitas,2021-01-11,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305200,USA,North America,USA: California,NextSeq 500,wastewater,aquavitas_E442,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:27:00Z,2,aquavitas_E442,aquavitas_E442,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,CA,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120681,AMPLICON,282,58191828,PRJNA771693,SAMN22937902,SARS-CoV-2: wastewater surveillance,24388350,TGEN NORTH,Aquavitas,2021-01-25,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305199,USA,North America,USA: California,NextSeq 500,wastewater,aquavitas_E439,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:25:00Z,1,aquavitas_E439,aquavitas_E439,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,CA,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120682,AMPLICON,282,81981348,PRJNA771693,SAMN22335425,SARS-CoV-2: wastewater surveillance,34110840,TGEN NORTH,Aquavitas,2021-02-08,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305198,USA,North America,USA: Arizona,NextSeq 500,wastewater,aquavitas_E024,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:28:00Z,2,aquavitas_E24,aquavitas_E24,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,AZ,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120683,AMPLICON,282,63658962,PRJNA771693,SAMN22937901,SARS-CoV-2: wastewater surveillance,26267646,TGEN NORTH,Aquavitas,2021-01-18,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305197,USA,North America,USA: California,NextSeq 500,wastewater,aquavitas_E438,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:25:00Z,1,aquavitas_E438,aquavitas_E438,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,CA,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120684,AMPLICON,282,59498052,PRJNA771693,SAMN22937895,SARS-CoV-2: wastewater surveillance,24793530,TGEN NORTH,Aquavitas,2021-01-18,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305196,USA,North America,USA: California,NextSeq 500,wastewater,aquavitas_E432,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:27:00Z,2,aquavitas_E432,aquavitas_E432,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,CA,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120685,AMPLICON,282,100554432,PRJNA771693,SAMN22937890,SARS-CoV-2: wastewater surveillance,41850465,TGEN NORTH,Aquavitas,2021-01-25,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305195,USA,North America,USA: Georgia,NextSeq 500,wastewater,aquavitas_E427,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:25:00Z,1,aquavitas_E427,aquavitas_E427,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,GA,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
SRR17120686,AMPLICON,282,84427980,PRJNA771693,SAMN22937885,SARS-CoV-2: wastewater surveillance,35043318,TGEN NORTH,Aquavitas,2021-01-25,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX13305194,USA,North America,USA: South Carolina,NextSeq 500,wastewater,aquavitas_E422,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2021-12-03T00:00:00Z,2021-12-03T16:27:00Z,2,aquavitas_E422,aquavitas_E422,jbowers@tgen.org,TGen North,Seqwell,SRP341648,missing,missing,missing,missing,SC,yes,SARS-CoV-2,ARTIC nCoV-2019 v4,300
