Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1
SRR19994945,AMPLICON,149,1414119315,PRJNA856091,SAMN29439499,SARS-CoV-2: wastewater surveillance,1052579009,TECHNICAL UNIVERSITY OF DARMSTADT,H,2021-09-20,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX16036121,Germany,Europe,Germany,Ion Torrent S5,wastewater,BNH_2021-09-20,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:41:00Z,1,BNH_2021-09-20,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994946,AMPLICON,156,1290752216,PRJNA856091,SAMN29439575,SARS-CoV-2: wastewater surveillance,942716867,TECHNICAL UNIVERSITY OF DARMSTADT,T,2022-01-18,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX16036120,Germany,Europe,Germany,Ion Torrent S5,wastewater,FRN_2022-01-18,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:41:00Z,1,FRN_2022-01-18,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994947,AMPLICON,154,1120749420,PRJNA856091,SAMN29439574,SARS-CoV-2: wastewater surveillance,813557453,TECHNICAL UNIVERSITY OF DARMSTADT,E,2022-01-18,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX16036119,Germany,Europe,Germany,Ion Torrent S5,wastewater,BNH_2022-01-18,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:41:00Z,1,BNH_2022-01-18,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994948,AMPLICON,162,1255752220,PRJNA856091,SAMN29439573,SARS-CoV-2: wastewater surveillance,911128338,TECHNICAL UNIVERSITY OF DARMSTADT,D,2022-01-18,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX16036118,Germany,Europe,Germany,Ion Torrent S5,wastewater,DMS_2022-01-18,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:41:00Z,1,DMS_2022-01-18,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994949,AMPLICON,141,1178640392,PRJNA856091,SAMN29439571,SARS-CoV-2: wastewater surveillance,841077256,TECHNICAL UNIVERSITY OF DARMSTADT,Z,2022-01-11,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX16036117,Germany,Europe,Germany,Ion Torrent S5,wastewater,GIS_2022-01-11,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:41:00Z,1,GIS_2022-01-11,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994950,AMPLICON,122,1010824978,PRJNA856091,SAMN29439568,SARS-CoV-2: wastewater surveillance,731317623,TECHNICAL UNIVERSITY OF DARMSTADT,T,2021-12-13,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16036116,Germany,Europe,Germany,Ion Torrent S5,wastewater,DMS_2021-12-13,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:41:00Z,1,DMS_2021-12-13,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994951,AMPLICON,149,901814529,PRJNA856091,SAMN29439567,SARS-CoV-2: wastewater surveillance,667488278,TECHNICAL UNIVERSITY OF DARMSTADT,I,2021-12-13,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX16036115,Germany,Europe,Germany,Ion Torrent S5,wastewater,FRG_2021-12-13,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:41:00Z,1,FRG_2021-12-13,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994952,AMPLICON,142,855072604,PRJNA856091,SAMN29439566,SARS-CoV-2: wastewater surveillance,632893455,TECHNICAL UNIVERSITY OF DARMSTADT,J,2021-12-13,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX16036114,Germany,Europe,Germany,Ion Torrent S5,wastewater,WSB_2021-12-13,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:40:00Z,1,WSB_2021-12-13,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994953,AMPLICON,159,1150459112,PRJNA856091,SAMN29439561,SARS-CoV-2: wastewater surveillance,843384249,TECHNICAL UNIVERSITY OF DARMSTADT,U,2021-12-06,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX16036113,Germany,Europe,Germany,Ion Torrent S5,wastewater,GIS_2021-12-06,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:41:00Z,1,GIS_2021-12-06,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994954,AMPLICON,156,940128731,PRJNA856091,SAMN29439560,SARS-CoV-2: wastewater surveillance,687228079,TECHNICAL UNIVERSITY OF DARMSTADT,G,2021-12-06,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX16036112,Germany,Europe,Germany,Ion Torrent S5,wastewater,MRB_2021-12-06,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:41:00Z,1,MRB_2021-12-06,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994955,AMPLICON,160,1055835258,PRJNA856091,SAMN29439557,SARS-CoV-2: wastewater surveillance,741229391,TECHNICAL UNIVERSITY OF DARMSTADT,G,2021-11-29,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX16036111,Germany,Europe,Germany,Ion Torrent S5,wastewater,FRG_2021-11-29,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:41:00Z,1,FRG_2021-11-29,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994956,AMPLICON,147,1289875903,PRJNA856091,SAMN29439498,SARS-CoV-2: wastewater surveillance,962584046,TECHNICAL UNIVERSITY OF DARMSTADT,W,2021-09-13,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX16036110,Germany,Europe,Germany,Ion Torrent S5,wastewater,DMS_2021-09-13,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:42:00Z,1,DMS_2021-09-13,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994957,AMPLICON,156,1129560099,PRJNA856091,SAMN29439556,SARS-CoV-2: wastewater surveillance,796998824,TECHNICAL UNIVERSITY OF DARMSTADT,R,2021-11-29,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX16036109,Germany,Europe,Germany,Ion Torrent S5,wastewater,DMS_2021-11-29,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:41:00Z,1,DMS_2021-11-29,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994958,AMPLICON,171,1372329154,PRJNA856091,SAMN29439555,SARS-CoV-2: wastewater surveillance,962457141,TECHNICAL UNIVERSITY OF DARMSTADT,Q,2021-11-29,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX16036108,Germany,Europe,Germany,Ion Torrent S5,wastewater,HAN_2021-11-29,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:41:00Z,1,HAN_2021-11-29,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994959,AMPLICON,184,1929816714,PRJNA856091,SAMN29439554,SARS-CoV-2: wastewater surveillance,1355180922,TECHNICAL UNIVERSITY OF DARMSTADT,B,2021-11-29,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX16036107,Germany,Europe,Germany,Ion Torrent S5,wastewater,WBR_2021-11-29,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:42:00Z,1,WBR_2021-11-29,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994960,AMPLICON,137,1164845471,PRJNA856091,SAMN29439553,SARS-CoV-2: wastewater surveillance,860112330,TECHNICAL UNIVERSITY OF DARMSTADT,N,2021-11-29,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX16036106,Germany,Europe,Germany,Ion Torrent S5,wastewater,FRN_2021-11-29,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:42:00Z,1,FRN_2021-11-29,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994961,AMPLICON,144,1135631232,PRJNA856091,SAMN29439552,SARS-CoV-2: wastewater surveillance,831703482,TECHNICAL UNIVERSITY OF DARMSTADT,X,2021-11-29,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX16036105,Germany,Europe,Germany,Ion Torrent S5,wastewater,BNH_2021-11-29,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:41:00Z,1,BNH_2021-11-29,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994962,AMPLICON,171,1674221835,PRJNA856091,SAMN29439551,SARS-CoV-2: wastewater surveillance,1191429414,TECHNICAL UNIVERSITY OF DARMSTADT,D,2021-11-29,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX16036104,Germany,Europe,Germany,Ion Torrent S5,wastewater,WSB_2021-11-29,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:41:00Z,1,WSB_2021-11-29,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994963,AMPLICON,135,1490848783,PRJNA856091,SAMN29439550,SARS-CoV-2: wastewater surveillance,1104792703,TECHNICAL UNIVERSITY OF DARMSTADT,J,2021-11-22,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX16036103,Germany,Europe,Germany,Ion Torrent S5,wastewater,KSL_2021-11-22,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:42:00Z,1,KSL_2021-11-22,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994964,AMPLICON,124,811086406,PRJNA856091,SAMN29439549,SARS-CoV-2: wastewater surveillance,592318641,TECHNICAL UNIVERSITY OF DARMSTADT,X,2021-11-22,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX16036102,Germany,Europe,Germany,Ion Torrent S5,wastewater,FLD_2021-11-22,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:41:00Z,1,FLD_2021-11-22,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994965,AMPLICON,142,975493429,PRJNA856091,SAMN29439548,SARS-CoV-2: wastewater surveillance,713935687,TECHNICAL UNIVERSITY OF DARMSTADT,K,2021-11-22,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX16036101,Germany,Europe,Germany,Ion Torrent S5,wastewater,GIS_2021-11-22,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:41:00Z,1,GIS_2021-11-22,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994966,AMPLICON,126,659885833,PRJNA856091,SAMN29439547,SARS-CoV-2: wastewater surveillance,486847634,TECHNICAL UNIVERSITY OF DARMSTADT,I,2021-11-22,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX16036100,Germany,Europe,Germany,Ion Torrent S5,wastewater,MRB_2021-11-22,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:40:00Z,1,MRB_2021-11-22,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994967,AMPLICON,153,2255054935,PRJNA856091,SAMN29439497,SARS-CoV-2: wastewater surveillance,1637296956,TECHNICAL UNIVERSITY OF DARMSTADT,S,2021-09-13,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX16036099,Germany,Europe,Germany,Ion Torrent S5,wastewater,KSL_2021-09-13,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:43:00Z,1,KSL_2021-09-13,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994968,AMPLICON,145,1042533532,PRJNA856091,SAMN29439546,SARS-CoV-2: wastewater surveillance,765858123,TECHNICAL UNIVERSITY OF DARMSTADT,M,2021-11-15,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX16036098,Germany,Europe,Germany,Ion Torrent S5,wastewater,FRS_2021-11-15,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:41:00Z,1,FRS_2021-11-15,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994969,AMPLICON,151,1129791792,PRJNA856091,SAMN29439545,SARS-CoV-2: wastewater surveillance,826147433,TECHNICAL UNIVERSITY OF DARMSTADT,H,2021-11-15,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX16036097,Germany,Europe,Germany,Ion Torrent S5,wastewater,WBR_2021-11-15,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:42:00Z,1,WBR_2021-11-15,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994970,AMPLICON,153,1192586236,PRJNA856091,SAMN29439544,SARS-CoV-2: wastewater surveillance,877364871,TECHNICAL UNIVERSITY OF DARMSTADT,Z,2021-11-15,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX16036096,Germany,Europe,Germany,Ion Torrent S5,wastewater,FRG_2021-11-15,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:42:00Z,1,FRG_2021-11-15,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994971,AMPLICON,142,1100012452,PRJNA856091,SAMN29439543,SARS-CoV-2: wastewater surveillance,809453687,TECHNICAL UNIVERSITY OF DARMSTADT,O,2021-11-15,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX16036095,Germany,Europe,Germany,Ion Torrent S5,wastewater,DMS_2021-11-15,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:42:00Z,1,DMS_2021-11-15,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994972,AMPLICON,154,1401400697,PRJNA856091,SAMN29439542,SARS-CoV-2: wastewater surveillance,1037666211,TECHNICAL UNIVERSITY OF DARMSTADT,A,2021-11-15,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX16036094,Germany,Europe,Germany,Ion Torrent S5,wastewater,FRN_2021-11-15,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:42:00Z,1,FRN_2021-11-15,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994973,AMPLICON,115,645964873,PRJNA856091,SAMN29439541,SARS-CoV-2: wastewater surveillance,478275379,TECHNICAL UNIVERSITY OF DARMSTADT,F,2021-11-08,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX16036093,Germany,Europe,Germany,Ion Torrent S5,wastewater,VHL_2021-11-08,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:41:00Z,1,VHL_2021-11-08,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994974,AMPLICON,135,1066352610,PRJNA856091,SAMN29439540,SARS-CoV-2: wastewater surveillance,795578463,TECHNICAL UNIVERSITY OF DARMSTADT,V,2021-11-08,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX16036092,Germany,Europe,Germany,Ion Torrent S5,wastewater,MRB_2021-11-08,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:42:00Z,1,MRB_2021-11-08,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994975,AMPLICON,139,984869847,PRJNA856091,SAMN29439539,SARS-CoV-2: wastewater surveillance,721838546,TECHNICAL UNIVERSITY OF DARMSTADT,K,2021-11-08,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX16036091,Germany,Europe,Germany,Ion Torrent S5,wastewater,KSL_2021-11-08,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:42:00Z,1,KSL_2021-11-08,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994976,AMPLICON,126,933968145,PRJNA856091,SAMN29439538,SARS-CoV-2: wastewater surveillance,697430998,TECHNICAL UNIVERSITY OF DARMSTADT,I,2021-11-08,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX16036090,Germany,Europe,Germany,Ion Torrent S5,wastewater,FLD_2021-11-08,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:42:00Z,1,FLD_2021-11-08,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR19994977,AMPLICON,136,1080566638,PRJNA856091,SAMN29439537,SARS-CoV-2: wastewater surveillance,801581500,TECHNICAL UNIVERSITY OF DARMSTADT,B,2021-11-08,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX16036089,Germany,Europe,Germany,Ion Torrent S5,wastewater,LML_2021-11-08,SINGLE,PCR,TRANSCRIPTOMIC,wastewater metagenome,ION_TORRENT,2022-07-06T00:00:00Z,2022-07-06T04:42:00Z,1,LML_2021-11-08,SRP385042,NA,24,raw wastewater,composite,yes,SARS-CoV-2
