Run,amplicon_PCR_primer_scheme (run),Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dehosting_method (run),Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,organism,Platform,purpose_of_ww_sampling,ReleaseDate,create_date,version,Sample Name,Sample_Name,sequence_submitter_contact_email (run),sequenced_by,sequencing_protocol_name (run),SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1
SRR26528114,https://github.com/joshquick/artic-ncov2019/tree/master/primer_schemes/nCoV-2019/V4.1,AMPLICON,401,742549159,PRJNA1031245,SAMN37987342,SARS-CoV-2: wastewater surveillance,744123620,CLT,UNC Charlotte Environmental Monitoring Laboratory,2023-04-10,public,"fastq,activ_sars2_vcf,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",kraken2,SRX22231408,USA,North America,USA: North Carolina,PromethION,Control,Mixture22-v4.1-ctrl,SINGLE,PCR,VIRAL RNA,wastewater metagenome,wastewater metagenome,OXFORD_NANOPORE,research,2023-11-24T00:00:00Z,2023-10-25T22:32:00Z,1,Mixture22-v4.1-ctrl_BioSample,Mixture22-v4.1-ctrl,cgibas@charlotte.edu,UNC Charlotte Environmental Monitoring Laboratory,A SARS-CoV-2 Surveillance Sequencing Protocol Optimized for Oxford Nanopore PromethION,SRP468455,not applicable,0,not applicable,composite,yes,SARS-CoV-2
SRR26528115,https://github.com/joshquick/artic-ncov2019/tree/master/primer_schemes/nCoV-2019/V4.1,AMPLICON,403,853198838,PRJNA1031245,SAMN37987343,SARS-CoV-2: wastewater surveillance,852261535,CLT,UNC Charlotte Environmental Monitoring Laboratory,2023-04-10,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",kraken2,SRX22231407,USA,North America,USA: North Carolina,PromethION,Control,Mixture21-v4.1-ctrl,SINGLE,PCR,VIRAL RNA,wastewater metagenome,wastewater metagenome,OXFORD_NANOPORE,research,2023-11-24T00:00:00Z,2023-10-25T22:32:00Z,1,Mixture21-v4.1-ctrl_BioSample,Mixture21-v4.1-ctrl,cgibas@charlotte.edu,UNC Charlotte Environmental Monitoring Laboratory,A SARS-CoV-2 Surveillance Sequencing Protocol Optimized for Oxford Nanopore PromethION,SRP468455,not applicable,0,not applicable,composite,yes,SARS-CoV-2
SRR26528116,https://github.com/joshquick/artic-ncov2019/tree/master/primer_schemes/nCoV-2019/V4.1,AMPLICON,403,672952892,PRJNA1031245,SAMN37987344,SARS-CoV-2: wastewater surveillance,674167705,CLT,UNC Charlotte Environmental Monitoring Laboratory,2023-04-10,public,"sra,fastq,activ_sars2_vcf","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",kraken2,SRX22231406,USA,North America,USA: North Carolina,PromethION,Control,Mixture20-v4.1-ctrl,SINGLE,PCR,VIRAL RNA,wastewater metagenome,wastewater metagenome,OXFORD_NANOPORE,research,2023-11-24T00:00:00Z,2023-10-25T22:32:00Z,1,Mixture20-v4.1-ctrl_BioSample,Mixture20-v4.1-ctrl,cgibas@charlotte.edu,UNC Charlotte Environmental Monitoring Laboratory,A SARS-CoV-2 Surveillance Sequencing Protocol Optimized for Oxford Nanopore PromethION,SRP468455,not applicable,0,not applicable,composite,yes,SARS-CoV-2
SRR26528117,https://github.com/joshquick/artic-ncov2019/tree/master/primer_schemes/nCoV-2019/V4.1,AMPLICON,403,632021012,PRJNA1031245,SAMN37987345,SARS-CoV-2: wastewater surveillance,632637981,CLT,UNC Charlotte Environmental Monitoring Laboratory,2023-04-10,public,"sra,activ_sars2_vcf,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",kraken2,SRX22231405,USA,North America,USA: North Carolina,PromethION,Control,Mixture19-v4.1-ctrl,SINGLE,PCR,VIRAL RNA,wastewater metagenome,wastewater metagenome,OXFORD_NANOPORE,research,2023-11-24T00:00:00Z,2023-10-25T22:31:00Z,1,Mixture19-v4.1-ctrl_BioSample,Mixture19-v4.1-ctrl,cgibas@charlotte.edu,UNC Charlotte Environmental Monitoring Laboratory,A SARS-CoV-2 Surveillance Sequencing Protocol Optimized for Oxford Nanopore PromethION,SRP468455,not applicable,0,not applicable,composite,yes,SARS-CoV-2
SRR26528118,https://github.com/joshquick/artic-ncov2019/tree/master/primer_schemes/nCoV-2019/V4.1,AMPLICON,403,741956463,PRJNA1031245,SAMN37987346,SARS-CoV-2: wastewater surveillance,743413344,CLT,UNC Charlotte Environmental Monitoring Laboratory,2023-04-10,public,"activ_sars2_vcf,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",kraken2,SRX22231404,USA,North America,USA: North Carolina,PromethION,Control,Mixture18-v4.1-ctrl,SINGLE,PCR,VIRAL RNA,wastewater metagenome,wastewater metagenome,OXFORD_NANOPORE,research,2023-11-24T00:00:00Z,2023-10-25T22:32:00Z,1,Mixture18-v4.1-ctrl_BioSample,Mixture18-v4.1-ctrl,cgibas@charlotte.edu,UNC Charlotte Environmental Monitoring Laboratory,A SARS-CoV-2 Surveillance Sequencing Protocol Optimized for Oxford Nanopore PromethION,SRP468455,not applicable,0,not applicable,composite,yes,SARS-CoV-2
SRR26528119,https://github.com/joshquick/artic-ncov2019/tree/master/primer_schemes/nCoV-2019/V4.1,AMPLICON,403,677675067,PRJNA1031245,SAMN37987347,SARS-CoV-2: wastewater surveillance,676393500,CLT,UNC Charlotte Environmental Monitoring Laboratory,2023-04-10,public,"activ_sars2_vcf,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",kraken2,SRX22231403,USA,North America,USA: North Carolina,PromethION,Control,Mixture17-v4.1-ctrl,SINGLE,PCR,VIRAL RNA,wastewater metagenome,wastewater metagenome,OXFORD_NANOPORE,research,2023-11-24T00:00:00Z,2023-10-25T22:31:00Z,1,Mixture17-v4.1-ctrl_BioSample,Mixture17-v4.1-ctrl,cgibas@charlotte.edu,UNC Charlotte Environmental Monitoring Laboratory,A SARS-CoV-2 Surveillance Sequencing Protocol Optimized for Oxford Nanopore PromethION,SRP468455,not applicable,0,not applicable,composite,yes,SARS-CoV-2
SRR26528120,https://github.com/joshquick/artic-ncov2019/tree/master/primer_schemes/nCoV-2019/V4.1,AMPLICON,402,524021548,PRJNA1031245,SAMN37987322,SARS-CoV-2: wastewater surveillance,524321065,CLT,UNC Charlotte Environmental Monitoring Laboratory,2023-04-10,public,"fastq,activ_sars2_vcf,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",kraken2,SRX22231402,USA,North America,USA: North Carolina,PromethION,Control,Mixture42-v4.1-ctrl,SINGLE,PCR,VIRAL RNA,wastewater metagenome,wastewater metagenome,OXFORD_NANOPORE,research,2023-11-24T00:00:00Z,2023-10-25T22:31:00Z,1,Mixture42-v4.1-ctrl_BioSample,Mixture42-v4.1-ctrl,cgibas@charlotte.edu,UNC Charlotte Environmental Monitoring Laboratory,A SARS-CoV-2 Surveillance Sequencing Protocol Optimized for Oxford Nanopore PromethION,SRP468455,not applicable,0,not applicable,composite,yes,SARS-CoV-2
SRR26528121,https://github.com/joshquick/artic-ncov2019/tree/master/primer_schemes/nCoV-2019/V4.1,AMPLICON,403,708490406,PRJNA1031245,SAMN37987323,SARS-CoV-2: wastewater surveillance,711055597,CLT,UNC Charlotte Environmental Monitoring Laboratory,2023-04-10,public,"sra,activ_sars2_vcf,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",kraken2,SRX22231401,USA,North America,USA: North Carolina,PromethION,Control,Mixture41-v4.1-ctrl,SINGLE,PCR,VIRAL RNA,wastewater metagenome,wastewater metagenome,OXFORD_NANOPORE,research,2023-11-24T00:00:00Z,2023-10-25T22:32:00Z,1,Mixture41-v4.1-ctrl_BioSample,Mixture41-v4.1-ctrl,cgibas@charlotte.edu,UNC Charlotte Environmental Monitoring Laboratory,A SARS-CoV-2 Surveillance Sequencing Protocol Optimized for Oxford Nanopore PromethION,SRP468455,not applicable,0,not applicable,composite,yes,SARS-CoV-2
SRR26528122,https://github.com/joshquick/artic-ncov2019/tree/master/primer_schemes/nCoV-2019/V4.1,AMPLICON,403,615047286,PRJNA1031245,SAMN37987324,SARS-CoV-2: wastewater surveillance,619169375,CLT,UNC Charlotte Environmental Monitoring Laboratory,2023-04-10,public,"fastq,activ_sars2_vcf,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",kraken2,SRX22231400,USA,North America,USA: North Carolina,PromethION,Control,Mixture40-v4.1-ctrl,SINGLE,PCR,VIRAL RNA,wastewater metagenome,wastewater metagenome,OXFORD_NANOPORE,research,2023-11-24T00:00:00Z,2023-10-25T22:31:00Z,1,Mixture40-v4.1-ctrl_BioSample,Mixture40-v4.1-ctrl,cgibas@charlotte.edu,UNC Charlotte Environmental Monitoring Laboratory,A SARS-CoV-2 Surveillance Sequencing Protocol Optimized for Oxford Nanopore PromethION,SRP468455,not applicable,0,not applicable,composite,yes,SARS-CoV-2
SRR26528123,https://github.com/joshquick/artic-ncov2019/tree/master/primer_schemes/nCoV-2019/V4.1,AMPLICON,402,526770383,PRJNA1031245,SAMN37987325,SARS-CoV-2: wastewater surveillance,526344936,CLT,UNC Charlotte Environmental Monitoring Laboratory,2023-04-10,public,"sra,fastq,activ_sars2_vcf","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",kraken2,SRX22231399,USA,North America,USA: North Carolina,PromethION,Control,Mixture39-v4.1-ctrl,SINGLE,PCR,VIRAL RNA,wastewater metagenome,wastewater metagenome,OXFORD_NANOPORE,research,2023-11-24T00:00:00Z,2023-10-25T22:32:00Z,1,Mixture39-v4.1-ctrl_BioSample,Mixture39-v4.1-ctrl,cgibas@charlotte.edu,UNC Charlotte Environmental Monitoring Laboratory,A SARS-CoV-2 Surveillance Sequencing Protocol Optimized for Oxford Nanopore PromethION,SRP468455,not applicable,0,not applicable,composite,yes,SARS-CoV-2
SRR26528124,https://github.com/joshquick/artic-ncov2019/tree/master/primer_schemes/nCoV-2019/V4.1,AMPLICON,402,628478941,PRJNA1031245,SAMN37987326,SARS-CoV-2: wastewater surveillance,629700647,CLT,UNC Charlotte Environmental Monitoring Laboratory,2023-04-10,public,"sra,activ_sars2_vcf,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",kraken2,SRX22231398,USA,North America,USA: North Carolina,PromethION,Control,Mixture38-v4.1-ctrl,SINGLE,PCR,VIRAL RNA,wastewater metagenome,wastewater metagenome,OXFORD_NANOPORE,research,2023-11-24T00:00:00Z,2023-10-25T22:32:00Z,1,Mixture38-v4.1-ctrl_BioSample,Mixture38-v4.1-ctrl,cgibas@charlotte.edu,UNC Charlotte Environmental Monitoring Laboratory,A SARS-CoV-2 Surveillance Sequencing Protocol Optimized for Oxford Nanopore PromethION,SRP468455,not applicable,0,not applicable,composite,yes,SARS-CoV-2
SRR26528125,https://github.com/joshquick/artic-ncov2019/tree/master/primer_schemes/nCoV-2019/V4.1,AMPLICON,401,612257437,PRJNA1031245,SAMN37987327,SARS-CoV-2: wastewater surveillance,614623436,CLT,UNC Charlotte Environmental Monitoring Laboratory,2023-04-10,public,"activ_sars2_vcf,sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",kraken2,SRX22231397,USA,North America,USA: North Carolina,PromethION,Control,Mixture37-v4.1-ctrl,SINGLE,PCR,VIRAL RNA,wastewater metagenome,wastewater metagenome,OXFORD_NANOPORE,research,2023-11-24T00:00:00Z,2023-10-25T22:32:00Z,1,Mixture37-v4.1-ctrl_BioSample,Mixture37-v4.1-ctrl,cgibas@charlotte.edu,UNC Charlotte Environmental Monitoring Laboratory,A SARS-CoV-2 Surveillance Sequencing Protocol Optimized for Oxford Nanopore PromethION,SRP468455,not applicable,0,not applicable,composite,yes,SARS-CoV-2
SRR26528126,https://github.com/joshquick/artic-ncov2019/tree/master/primer_schemes/nCoV-2019/V4.1,AMPLICON,403,738406034,PRJNA1031245,SAMN37987328,SARS-CoV-2: wastewater surveillance,736834484,CLT,UNC Charlotte Environmental Monitoring Laboratory,2023-04-10,public,"activ_sars2_vcf,sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",kraken2,SRX22231396,USA,North America,USA: North Carolina,PromethION,Control,Mixture36-v4.1-ctrl,SINGLE,PCR,VIRAL RNA,wastewater metagenome,wastewater metagenome,OXFORD_NANOPORE,research,2023-11-24T00:00:00Z,2023-10-25T22:32:00Z,1,Mixture36-v4.1-ctrl_BioSample,Mixture36-v4.1-ctrl,cgibas@charlotte.edu,UNC Charlotte Environmental Monitoring Laboratory,A SARS-CoV-2 Surveillance Sequencing Protocol Optimized for Oxford Nanopore PromethION,SRP468455,not applicable,0,not applicable,composite,yes,SARS-CoV-2
SRR26528127,https://github.com/joshquick/artic-ncov2019/tree/master/primer_schemes/nCoV-2019/V4.1,AMPLICON,403,617051174,PRJNA1031245,SAMN37987329,SARS-CoV-2: wastewater surveillance,619192748,CLT,UNC Charlotte Environmental Monitoring Laboratory,2023-04-10,public,"fastq,activ_sars2_vcf,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",kraken2,SRX22231395,USA,North America,USA: North Carolina,PromethION,Control,Mixture35-v4.1-ctrl,SINGLE,PCR,VIRAL RNA,wastewater metagenome,wastewater metagenome,OXFORD_NANOPORE,research,2023-11-24T00:00:00Z,2023-10-25T22:31:00Z,1,Mixture35-v4.1-ctrl_BioSample,Mixture35-v4.1-ctrl,cgibas@charlotte.edu,UNC Charlotte Environmental Monitoring Laboratory,A SARS-CoV-2 Surveillance Sequencing Protocol Optimized for Oxford Nanopore PromethION,SRP468455,not applicable,0,not applicable,composite,yes,SARS-CoV-2
SRR26528128,https://github.com/joshquick/artic-ncov2019/tree/master/primer_schemes/nCoV-2019/V4.1,AMPLICON,401,539768825,PRJNA1031245,SAMN37987330,SARS-CoV-2: wastewater surveillance,541837621,CLT,UNC Charlotte Environmental Monitoring Laboratory,2023-04-10,public,"sra,fastq,activ_sars2_vcf","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",kraken2,SRX22231394,USA,North America,USA: North Carolina,PromethION,Control,Mixture34-v4.1-ctrl,SINGLE,PCR,VIRAL RNA,wastewater metagenome,wastewater metagenome,OXFORD_NANOPORE,research,2023-11-24T00:00:00Z,2023-10-25T22:31:00Z,1,Mixture34-v4.1-ctrl_BioSample,Mixture34-v4.1-ctrl,cgibas@charlotte.edu,UNC Charlotte Environmental Monitoring Laboratory,A SARS-CoV-2 Surveillance Sequencing Protocol Optimized for Oxford Nanopore PromethION,SRP468455,not applicable,0,not applicable,composite,yes,SARS-CoV-2
SRR26528129,https://github.com/joshquick/artic-ncov2019/tree/master/primer_schemes/nCoV-2019/V4.1,AMPLICON,403,711129867,PRJNA1031245,SAMN37987331,SARS-CoV-2: wastewater surveillance,712896320,CLT,UNC Charlotte Environmental Monitoring Laboratory,2023-04-10,public,"activ_sars2_vcf,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",kraken2,SRX22231393,USA,North America,USA: North Carolina,PromethION,Control,Mixture33-v4.1-ctrl,SINGLE,PCR,VIRAL RNA,wastewater metagenome,wastewater metagenome,OXFORD_NANOPORE,research,2023-11-24T00:00:00Z,2023-10-25T22:32:00Z,1,Mixture33-v4.1-ctrl_BioSample,Mixture33-v4.1-ctrl,cgibas@charlotte.edu,UNC Charlotte Environmental Monitoring Laboratory,A SARS-CoV-2 Surveillance Sequencing Protocol Optimized for Oxford Nanopore PromethION,SRP468455,not applicable,0,not applicable,composite,yes,SARS-CoV-2
SRR26528130,https://github.com/joshquick/artic-ncov2019/tree/master/primer_schemes/nCoV-2019/V4.1,AMPLICON,402,720314305,PRJNA1031245,SAMN37987348,SARS-CoV-2: wastewater surveillance,722787999,CLT,UNC Charlotte Environmental Monitoring Laboratory,2023-04-10,public,"activ_sars2_vcf,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",kraken2,SRX22231392,USA,North America,USA: North Carolina,PromethION,Control,Mixture16-v4.1-ctrl,SINGLE,PCR,VIRAL RNA,wastewater metagenome,wastewater metagenome,OXFORD_NANOPORE,research,2023-11-24T00:00:00Z,2023-10-25T22:32:00Z,1,Mixture16-v4.1-ctrl_BioSample,Mixture16-v4.1-ctrl,cgibas@charlotte.edu,UNC Charlotte Environmental Monitoring Laboratory,A SARS-CoV-2 Surveillance Sequencing Protocol Optimized for Oxford Nanopore PromethION,SRP468455,not applicable,0,not applicable,composite,yes,SARS-CoV-2
