Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_Source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1,purpose_of_ww_sampling,purpose_of_ww_sequencing
SRR23064235,RNA-Seq,302,1915042702,PRJNA772783,SAMN32287949,SARS-CoV-2: wastewater surveillance,651547317,"UNIVERSITY OF NEVADA, RENO",2022-10,public,"sra,fastq,run.zq,activ_sars2_vcf","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX19017565,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF54,TMWRF54,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T12:56:00Z,1,ScWW54Oct,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064236,RNA-Seq,302,2221703770,PRJNA772783,SAMN32287948,SARS-CoV-2: wastewater surveillance,744061175,"UNIVERSITY OF NEVADA, RENO",2022-10,public,"fastq,run.zq,activ_sars2_vcf,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX19017564,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF53,TMWRF53,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T12:57:00Z,1,ScWW53Oct,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064237,RNA-Seq,302,2108152374,PRJNA772783,SAMN32287947,SARS-CoV-2: wastewater surveillance,677457228,"UNIVERSITY OF NEVADA, RENO",2022-09,public,"fastq,sra,activ_sars2_vcf,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX19017563,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF52,TMWRF52,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T12:56:00Z,1,ScWW52Sep,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064238,RNA-Seq,151,1110193978,PRJNA772783,SAMN32287946,SARS-CoV-2: wastewater surveillance,341464578,"UNIVERSITY OF NEVADA, RENO",2022-09,public,"activ_sars2_vcf,sra,run.zq,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX19017562,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF51,TMWRF51,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T12:55:00Z,1,ScWW51Sep,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064239,RNA-Seq,118,9116564012,PRJNA772783,SAMN32287901,SARS-CoV-2: wastewater surveillance,3023370486,"UNIVERSITY OF NEVADA, RENO",2021-12,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX19017561,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF6,TMWRF6,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:40:00Z,1,ScWW6Dec,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064240,RNA-Seq,302,2346568992,PRJNA772783,SAMN32287945,SARS-CoV-2: wastewater surveillance,762330189,"UNIVERSITY OF NEVADA, RENO",2022-09,public,"fastq,run.zq,sra,activ_sars2_vcf","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX19017560,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF50,TMWRF50,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T12:56:00Z,1,ScWW50Sep,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064241,RNA-Seq,302,2968954148,PRJNA772783,SAMN32287944,SARS-CoV-2: wastewater surveillance,962347101,"UNIVERSITY OF NEVADA, RENO",2022-09,public,"run.zq,activ_sars2_vcf,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX19017559,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF49,TMWRF49,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T12:59:00Z,1,ScWW49Sep,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064242,RNA-Seq,116,3384718876,PRJNA772783,SAMN32287943,SARS-CoV-2: wastewater surveillance,1029056346,"UNIVERSITY OF NEVADA, RENO",2022-09,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX19017558,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF48,TMWRF48,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:03:00Z,1,ScWW48Sep,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064243,RNA-Seq,302,1815029060,PRJNA772783,SAMN32287942,SARS-CoV-2: wastewater surveillance,620742002,"UNIVERSITY OF NEVADA, RENO",2022-08,public,"activ_sars2_vcf,run.zq,fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX19017557,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF47,TMWRF47,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T12:56:00Z,1,ScWW47Aug,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064244,RNA-Seq,302,1617742728,PRJNA772783,SAMN32287941,SARS-CoV-2: wastewater surveillance,532538588,"UNIVERSITY OF NEVADA, RENO",2022-08,public,"fastq,activ_sars2_vcf,sra,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX19017556,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF46,TMWRF46,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T12:55:00Z,1,ScWW46Aug,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064245,RNA-Seq,302,1850642410,PRJNA772783,SAMN32287940,SARS-CoV-2: wastewater surveillance,611851671,"UNIVERSITY OF NEVADA, RENO",2022-08,public,"run.zq,sra,fastq,activ_sars2_vcf","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX19017555,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF45,TMWRF45,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T12:55:00Z,1,ScWW45Aug,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064246,RNA-Seq,302,1965750012,PRJNA772783,SAMN32287939,SARS-CoV-2: wastewater surveillance,657341553,"UNIVERSITY OF NEVADA, RENO",2022-08,public,"fastq,sra,run.zq,activ_sars2_vcf","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX19017554,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF44,TMWRF44,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T12:56:00Z,1,ScWW44Aug,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064247,RNA-Seq,120,5647019160,PRJNA772783,SAMN32287938,SARS-CoV-2: wastewater surveillance,1725992574,"UNIVERSITY OF NEVADA, RENO",2022-08,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX19017553,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF43,TMWRF43,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:13:00Z,1,ScWW43Jul,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064248,RNA-Seq,120,6698919720,PRJNA772783,SAMN32287937,SARS-CoV-2: wastewater surveillance,2086637374,"UNIVERSITY OF NEVADA, RENO",2022-07,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX19017552,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF42,TMWRF42,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:19:00Z,1,ScWW42Jul,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064249,RNA-Seq,116,4456062744,PRJNA772783,SAMN32287936,SARS-CoV-2: wastewater surveillance,1336523600,"UNIVERSITY OF NEVADA, RENO",2022-07,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX19017551,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF41,TMWRF41,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:11:00Z,1,ScWW41Jul,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064250,RNA-Seq,59,5999985213,PRJNA772783,SAMN32287900,SARS-CoV-2: wastewater surveillance,2000211351,"UNIVERSITY OF NEVADA, RENO",2021-12,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX19017550,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF5,TMWRF5,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:21:00Z,1,ScWW5Dec,SRP342181,318000,18,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064251,RNA-Seq,116,5817400116,PRJNA772783,SAMN32287935,SARS-CoV-2: wastewater surveillance,1741148498,"UNIVERSITY OF NEVADA, RENO",2022-07,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX19017549,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF40,TMWRF40,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:11:00Z,1,ScWW40Jul,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064252,RNA-Seq,120,3387971640,PRJNA772783,SAMN32287934,SARS-CoV-2: wastewater surveillance,1013800947,"UNIVERSITY OF NEVADA, RENO",2022-07,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX19017548,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF39,TMWRF39,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:04:00Z,1,ScWW39Jul,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064253,RNA-Seq,120,6199497840,PRJNA772783,SAMN32287933,SARS-CoV-2: wastewater surveillance,1853237797,"UNIVERSITY OF NEVADA, RENO",2022-06,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX19017547,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF38,TMWRF38,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:17:00Z,1,ScWW38Jun,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064254,RNA-Seq,120,5124937320,PRJNA772783,SAMN32287932,SARS-CoV-2: wastewater surveillance,1545961104,"UNIVERSITY OF NEVADA, RENO",2022-06,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX19017546,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF37,TMWRF37,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:32:00Z,1,ScWW37Jun,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064255,RNA-Seq,116,2313789128,PRJNA772783,SAMN32287931,SARS-CoV-2: wastewater surveillance,701241803,"UNIVERSITY OF NEVADA, RENO",2022-06,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX19017545,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF36,TMWRF36,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:01:00Z,1,ScWW36Jun,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064256,RNA-Seq,116,2571805840,PRJNA772783,SAMN32287930,SARS-CoV-2: wastewater surveillance,777418623,"UNIVERSITY OF NEVADA, RENO",2022-06,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX19017544,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF35,TMWRF35,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:02:00Z,1,ScWW35Jun,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064257,RNA-Seq,116,4196438968,PRJNA772783,SAMN32287929,SARS-CoV-2: wastewater surveillance,1282035090,"UNIVERSITY OF NEVADA, RENO",2022-05,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX19017543,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF34,TMWRF34,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:07:00Z,1,ScWW34May,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064258,RNA-Seq,302,5697688436,PRJNA772783,SAMN32287928,SARS-CoV-2: wastewater surveillance,1921758740,"UNIVERSITY OF NEVADA, RENO",2022-05,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX19017542,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF33,TMWRF33,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:02:00Z,1,ScWW33May,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064259,RNA-Seq,302,4375000010,PRJNA772783,SAMN32287927,SARS-CoV-2: wastewater surveillance,1481834667,"UNIVERSITY OF NEVADA, RENO",2022-05,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX19017541,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF32,TMWRF32,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:03:00Z,1,ScWW32May,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064260,RNA-Seq,116,4754190052,PRJNA772783,SAMN32287926,SARS-CoV-2: wastewater surveillance,1464637469,"UNIVERSITY OF NEVADA, RENO",2022-05,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX19017540,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF31,TMWRF31,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:13:00Z,1,ScWW31May,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064261,RNA-Seq,116,4593641180,PRJNA772783,SAMN32287925,SARS-CoV-2: wastewater surveillance,1419128254,"UNIVERSITY OF NEVADA, RENO",2022-05,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX19017539,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF30,TMWRF30,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:10:00Z,1,ScWW30May,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064262,RNA-Seq,116,3994418124,PRJNA772783,SAMN32287924,SARS-CoV-2: wastewater surveillance,1233223176,"UNIVERSITY OF NEVADA, RENO",2022-04,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX19017538,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF29,TMWRF29,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:08:00Z,1,ScWW29Apr,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064263,RNA-Seq,118,5512551248,PRJNA772783,SAMN32287923,SARS-CoV-2: wastewater surveillance,1793496361,"UNIVERSITY OF NEVADA, RENO",2022-04,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX19017537,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF28,TMWRF28,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:12:00Z,1,ScWW28Apr,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064264,RNA-Seq,116,4633257616,PRJNA772783,SAMN32287922,SARS-CoV-2: wastewater surveillance,1428782066,"UNIVERSITY OF NEVADA, RENO",2022-04,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX19017536,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF27,TMWRF27,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:11:00Z,1,ScWW27Apr,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064265,RNA-Seq,118,4179935712,PRJNA772783,SAMN32287921,SARS-CoV-2: wastewater surveillance,1357639700,"UNIVERSITY OF NEVADA, RENO",2022-04,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX19017535,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF26,TMWRF26,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:10:00Z,1,ScWW26Apr,SRP342181,318000,15,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064266,RNA-Seq,302,1312837488,PRJNA772783,SAMN32287920,SARS-CoV-2: wastewater surveillance,452876529,"UNIVERSITY OF NEVADA, RENO",2022-04,public,"run.zq,activ_sars2_vcf,fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX19017534,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF25,TMWRF25,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T12:55:00Z,1,ScWW25Apr,SRP342181,318000,9,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064267,RNA-Seq,118,7683993384,PRJNA772783,SAMN32287919,SARS-CoV-2: wastewater surveillance,2493159970,"UNIVERSITY OF NEVADA, RENO",2022-04,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX19017533,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF24,TMWRF24,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:23:00Z,1,ScWW24Apr,SRP342181,318000,3,secondary effluent,grab,yes,SARS-CoV-2,,
