Run,amplicon_size,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,epi_week,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolation_Source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,samp_collect_device,Sample Name,sequencing_platform,seuqncing_date,SRA Study,wwtp
SRR14621184,1200 bp,WGS,479,527520405,PRJNA731975,SAMN19304126,Metagenome or environmental,485701419,UNIVERSITY OF BRITISH COLUMBIA,2021-05-14,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",12,SRX10962388,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0514_NB11,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP3-WW_Wk12_1200bp_14/05/2021,Nanopore_MinION,2021-05-14,SRP320917,WWTP3
SRR14621185,1200 bp,WGS,449,443848690,PRJNA731975,SAMN19304125,Metagenome or environmental,407739923,UNIVERSITY OF BRITISH COLUMBIA,2021-04-05,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",12,SRX10962387,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0405_NB11,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP1-WW_Wk12_1200bp_05/04/2021,Nanopore_MinION,2021-04-05,SRP320917,WWTP1
SRR14621186,1200 bp,WGS,630,526861100,PRJNA731975,SAMN19304124,Metagenome or environmental,484240734,UNIVERSITY OF BRITISH COLUMBIA,2021-04-25,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",11,SRX10962386,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0425_NB9,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP4-WW_Wk11_1200bp_25/04/2021,Nanopore_MinION,2021-04-25,SRP320917,WWTP4
SRR14621187,1200 bp,WGS,576,477216609,PRJNA731975,SAMN19304123,Metagenome or environmental,437620037,UNIVERSITY OF BRITISH COLUMBIA,2021-04-11,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",11,SRX10962385,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0411_NB11,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP2-WW_Wk11_1200bp_11/04/2021,Nanopore_MinION,2021-04-11,SRP320917,WWTP2
SRR14621188,1200 bp,WGS,559,487638828,PRJNA731975,SAMN19304122,Metagenome or environmental,448056046,UNIVERSITY OF BRITISH COLUMBIA,2021-04-05,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",11,SRX10962384,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0405_NB10,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP1-WW_Wk11_1200bp_05/04/2021,Nanopore_MinION,2021-04-05,SRP320917,WWTP1
SRR14621189,1200 bp,WGS,577,815915824,PRJNA731975,SAMN19304121,Metagenome or environmental,751480302,UNIVERSITY OF BRITISH COLUMBIA,2021-05-14,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",10,SRX10962383,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0514_NB10,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP3-WW_Wk10_1200bp_14/05/2021,Nanopore_MinION,2021-05-14,SRP320917,WWTP3
SRR14621190,1200 bp,WGS,594,800448009,PRJNA731975,SAMN19304120,Metagenome or environmental,735965064,UNIVERSITY OF BRITISH COLUMBIA,2021-04-11,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",10,SRX10962382,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0411_NB10,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP2-WW_Wk10_1200bp_11/04/2021,Nanopore_MinION,2021-04-11,SRP320917,WWTP2
SRR14621191,150 bp,WGS,302,441132608,PRJNA731975,SAMN19304048,Metagenome or environmental,225673589,UNIVERSITY OF BRITISH COLUMBIA,2021-04-12,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",10,SRX10962381,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,Illumina MiSeq,wastewater,not collected,run0412_NEB4,PAIRED,RT-PCR,METATRANSCRIPTOMIC,metagenome,ILLUMINA,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP2-WW_Wk10_150bp_12/04/2021,Illumina_MiSeq v2 2x150bp,2021-04-12,SRP320917,WWTP2
SRR14621192,1200 bp,WGS,620,730000867,PRJNA731975,SAMN19304119,Metagenome or environmental,666806811,UNIVERSITY OF BRITISH COLUMBIA,2021-04-05,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",10,SRX10962380,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0405_NB9,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP1-WW_Wk10_1200bp_05/04/2021,Nanopore_MinION,2021-04-05,SRP320917,WWTP1
SRR14621193,1200 bp,WGS,415,290748090,PRJNA731975,SAMN19304118,Metagenome or environmental,268226905,UNIVERSITY OF BRITISH COLUMBIA,2021-03-28,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",10,SRX10962379,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,primary sludge,not collected,run0328_NB10,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP1-PS_Wk10_1200bp_28/03/2021,Nanopore_MinION,2021-03-28,SRP320917,WWTP1
SRR14621194,1200 bp,WGS,615,626413587,PRJNA731975,SAMN19304117,Metagenome or environmental,574832722,UNIVERSITY OF BRITISH COLUMBIA,2021-05-14,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",9,SRX10962378,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0514_NB9,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP4-WW_Wk9_1200bp_14/05/2021,Nanopore_MinION,2021-05-14,SRP320917,WWTP4
SRR14621195,1200 bp,WGS,451,398127878,PRJNA731975,SAMN19304116,Metagenome or environmental,367894083,UNIVERSITY OF BRITISH COLUMBIA,2021-04-25,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",9,SRX10962377,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0425_NB11,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP3-WW_Wk9_1200bp_25/04/2021,Nanopore_MinION,2021-04-25,SRP320917,WWTP3
SRR14621196,1200 bp,WGS,566,521472421,PRJNA731975,SAMN19304115,Metagenome or environmental,478301711,UNIVERSITY OF BRITISH COLUMBIA,2021-04-11,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",9,SRX10962376,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0411_NB9,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP2-WW_Wk9_1200bp_11/04/2021,Nanopore_MinION,2021-04-11,SRP320917,WWTP2
SRR14621197,1200 bp,WGS,597,491462469,PRJNA731975,SAMN19304114,Metagenome or environmental,451356421,UNIVERSITY OF BRITISH COLUMBIA,2021-04-05,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",9,SRX10962375,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0405_NB8,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP1-WW_Wk9_1200bp_05/04/2021,Nanopore_MinION,2021-04-05,SRP320917,WWTP1
SRR14621198,1200 bp,WGS,404,244116367,PRJNA731975,SAMN19304113,Metagenome or environmental,224296033,UNIVERSITY OF BRITISH COLUMBIA,2021-03-28,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",9,SRX10962374,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,primary sludge,not collected,run0328_NB11,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP2-PS_Wk9_1200bp_28/03/2021,Nanopore_MinION,2021-03-28,SRP320917,WWTP2
SRR14621199,1200 bp,WGS,434,387734625,PRJNA731975,SAMN19304112,Metagenome or environmental,355556804,UNIVERSITY OF BRITISH COLUMBIA,2021-03-28,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",9,SRX10962373,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,primary sludge,not collected,run0328_NB9,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP1-PS_Wk9_1200bp_28/03/2021,Nanopore_MinION,2021-03-28,SRP320917,WWTP1
SRR14621200,1200 bp,WGS,630,714907638,PRJNA731975,SAMN19304111,Metagenome or environmental,656026563,UNIVERSITY OF BRITISH COLUMBIA,2021-04-11,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",8,SRX10962372,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0411_NB7,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP1-WW_Wk8_1200bp_11/04/2021,Nanopore_MinION,2021-04-11,SRP320917,WWTP1
SRR14621201,1200 bp,WGS,449,335733423,PRJNA731975,SAMN19304110,Metagenome or environmental,309680278,UNIVERSITY OF BRITISH COLUMBIA,2021-03-28,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",8,SRX10962371,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,primary sludge,not collected,run0328_NB8,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP1-PS_Wk8_1200bp_28/03/2021,Nanopore_MinION,2021-03-28,SRP320917,WWTP1
SRR14621202,150 bp,WGS,302,430274500,PRJNA731975,SAMN19304047,Metagenome or environmental,234424951,UNIVERSITY OF BRITISH COLUMBIA,2021-04-12,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",10,SRX10962370,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,Illumina MiSeq,primary sludge,not collected,run0412_NEB11,PAIRED,RT-PCR,METATRANSCRIPTOMIC,metagenome,ILLUMINA,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP1-PS_Wk10_150bp_12/04/2021,Illumina_MiSeq v2 2x150bp,2021-04-12,SRP320917,WWTP1
SRR14621203,1200 bp,WGS,522,432051962,PRJNA731975,SAMN19304109,Metagenome or environmental,399101500,UNIVERSITY OF BRITISH COLUMBIA,2021-05-14,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",7,SRX10962369,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0514_NB8,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP5-WW_Wk7_1200bp_14/05/2021,Nanopore_MinION,2021-05-14,SRP320917,WWTP5
SRR14621204,1200 bp,WGS,506,393204943,PRJNA731975,SAMN19304108,Metagenome or environmental,362994343,UNIVERSITY OF BRITISH COLUMBIA,2021-05-14,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",7,SRX10962368,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0514_NB7,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP3-WW_Wk7_1200bp_14/05/2021,Nanopore_MinION,2021-05-14,SRP320917,WWTP3
SRR14621205,1200 bp,WGS,501,402435330,PRJNA731975,SAMN19304107,Metagenome or environmental,371481886,UNIVERSITY OF BRITISH COLUMBIA,2021-04-11,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",6,SRX10962367,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0411_NB8,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP2-WW_Wk6_1200bp_11/04/2021,Nanopore_MinION,2021-04-11,SRP320917,WWTP2
SRR14621206,1200 bp,WGS,535,646724887,PRJNA731975,SAMN19304106,Metagenome or environmental,593935635,UNIVERSITY OF BRITISH COLUMBIA,2021-04-05,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",6,SRX10962366,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0405_NB7,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP1-WW_Wk6_1200bp_05/04/2021,Nanopore_MinION,2021-04-05,SRP320917,WWTP1
SRR14621207,1200 bp,WGS,464,433355477,PRJNA731975,SAMN19304105,Metagenome or environmental,401552255,UNIVERSITY OF BRITISH COLUMBIA,2021-04-25,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",5,SRX10962365,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0425_NB10,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP3-WW_Wk5_1200bp_25/04/2021,Nanopore_MinION,2021-04-25,SRP320917,WWTP3
SRR14621208,400 bp,WGS,465,41070866,PRJNA731975,SAMN19304104,Metagenome or environmental,38122481,UNIVERSITY OF BRITISH COLUMBIA,2021-04-25,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",15,SRX10962364,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0425_NB5,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP5-WW_Wk15_400bp_25/04/2021,Nanopore_MinION,2021-04-25,SRP320917,WWTP5
SRR14621209,400 bp,WGS,453,41094033,PRJNA731975,SAMN19304103,Metagenome or environmental,38015637,UNIVERSITY OF BRITISH COLUMBIA,2021-04-25,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",15,SRX10962363,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0425_NB3,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP4-WW_Wk15_400bp_25/04/2021,Nanopore_MinION,2021-04-25,SRP320917,WWTP4
SRR14621210,400 bp,WGS,429,111486307,PRJNA731975,SAMN19304102,Metagenome or environmental,103030807,UNIVERSITY OF BRITISH COLUMBIA,2021-04-25,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",15,SRX10962362,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0425_NB4,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP3-WW_Wk15_400bp_25/04/2021,Nanopore_MinION,2021-04-25,SRP320917,WWTP3
SRR14621211,400 bp,WGS,449,149883046,PRJNA731975,SAMN19304101,Metagenome or environmental,137707285,UNIVERSITY OF BRITISH COLUMBIA,2021-04-25,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",15,SRX10962361,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0425_NB2,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP2-WW_Wk15_400bp_25/04/2021,Nanopore_MinION,2021-04-25,SRP320917,WWTP2
SRR14621212,400 bp,WGS,458,134132963,PRJNA731975,SAMN19304100,Metagenome or environmental,123837982,UNIVERSITY OF BRITISH COLUMBIA,2021-04-25,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",15,SRX10962360,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0425_NB1,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP1-WW_Wk15_400bp_25/04/2021,Nanopore_MinION,2021-04-25,SRP320917,WWTP1
SRR14621213,150 bp,WGS,302,429377258,PRJNA731975,SAMN19304046,Metagenome or environmental,222873578,UNIVERSITY OF BRITISH COLUMBIA,2021-04-12,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",9,SRX10962359,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,Illumina MiSeq,wastewater,not collected,run0412_NEB7,PAIRED,RT-PCR,METATRANSCRIPTOMIC,metagenome,ILLUMINA,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP5-WW_Wk9_150bp_12/04/2021,Illumina_MiSeq v2 2x150bp,2021-04-12,SRP320917,WWTP5
SRR14621214,400 bp,WGS,463,291265768,PRJNA731975,SAMN19304099,Metagenome or environmental,266898133,UNIVERSITY OF BRITISH COLUMBIA,2021-04-17,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",14,SRX10962358,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0417_NB6,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP5-WW_Wk14_400bp_17/04/2021,Nanopore_MinION,2021-04-17,SRP320917,WWTP5
SRR14621215,400 bp,WGS,466,351182215,PRJNA731975,SAMN19304098,Metagenome or environmental,322898608,UNIVERSITY OF BRITISH COLUMBIA,2021-04-17,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",14,SRX10962357,Canada,North America,"Canada: British Columbia\, Metro Vancouver",not applicable,MinION,wastewater,not collected,run0417_NB4,SINGLE,RT-PCR,METATRANSCRIPTOMIC,metagenome,OXFORD_NANOPORE,2021-05-22T00:00:00Z,"autosampler\, 24h composite",UBC/BCCDC_WWTP4-WW_Wk14_400bp_17/04/2021,Nanopore_MinION,2021-04-17,SRP320917,WWTP4
