Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(region_and_locality),INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,name_of_the_sampling_site,Organism,Platform,population_size_of_the_catchment_area,ReleaseDate,create_date,version,Sample Name,Sample_name,sample_storage_temperature,sample_storage_time,sampling_time_point,Scientific_Name,sewage_type,SRA Study,Submitter_Id,surveillance_target,geographic_location_(latitude),geographic_location_(longitude)
ERR12330873,AMPLICON,167,1170200029,PRJEB61810,SAMEA114705175,658341025,UPPSALA UNIVERSITY,2023-04-04,public,"bam,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",2023-11-30,2023-11-30T20:54:42Z,2023-11-30,2023-11-30T20:54:42Z,ERX11707749,SAMEA114705175,Sweden,Europe,Sweden,"VA SYD Sjölunda Wastewater plant\, Malmö",KAROLINSKA INSITUTET,2023-11-30T20:54:42Z,2023-11-30T20:54:42Z,public,Ion Torrent S5 XL,metagenome,MalmÃ¶-14,SINGLE,RT-PCR,METAGENOMIC,Malmö,Severe acute respiratory syndrome coronavirus 2,ION_TORRENT,350000,2023-12-01T00:00:00Z,2023-12-05T00:18:00Z,1,SAMEA114705175,Malmö-14,4,1,2023-04-04,Severe acute respiratory syndrome coronavirus 2,municipal wastewater treatment plant,ERP146892,Malmö-14,SARS-CoV-2,55.63,13.04
ERR12330876,AMPLICON,176,1140219735,PRJEB61810,SAMEA114705178,646232153,UPPSALA UNIVERSITY,2023-04-25,public,"sra,run.zq,bam","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",2023-11-30,2023-11-30T20:54:42Z,2023-11-30,2023-11-30T20:54:42Z,ERX11707752,SAMEA114705178,Sweden,Europe,Sweden,"VA SYD Sjölunda Wastewater plant\, Malmö",KAROLINSKA INSITUTET,2023-11-30T20:54:42Z,2023-11-30T20:54:42Z,public,Ion Torrent S5 XL,metagenome,MalmÃ¶-17,SINGLE,RT-PCR,METAGENOMIC,Malmö,Severe acute respiratory syndrome coronavirus 2,ION_TORRENT,350000,2023-12-01T00:00:00Z,2023-12-05T02:42:00Z,1,SAMEA114705178,Malmö-17,4,1,2023-04-25,Severe acute respiratory syndrome coronavirus 2,municipal wastewater treatment plant,ERP146892,Malmö-17,SARS-CoV-2,55.63,13.04
ERR12330877,AMPLICON,177,1465063400,PRJEB61810,SAMEA114705179,834089763,UPPSALA UNIVERSITY,2023-05-02,public,"sra,bam,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2023-11-30,2023-11-30T20:54:42Z,2023-11-30,2023-11-30T20:54:42Z,ERX11707753,SAMEA114705179,Sweden,Europe,Sweden,"VA SYD Sjölunda Wastewater plant\, Malmö",KAROLINSKA INSITUTET,2023-11-30T20:54:42Z,2023-11-30T20:54:42Z,public,Ion Torrent S5 XL,metagenome,MalmÃ¶-18,SINGLE,RT-PCR,METAGENOMIC,Malmö,Severe acute respiratory syndrome coronavirus 2,ION_TORRENT,350000,2023-12-01T00:00:00Z,2023-12-05T04:59:00Z,1,SAMEA114705179,Malmö-18,4,1,2023-05-02,Severe acute respiratory syndrome coronavirus 2,municipal wastewater treatment plant,ERP146892,Malmö-18,SARS-CoV-2,55.63,13.04
ERR12330878,AMPLICON,182,1214037371,PRJEB61810,SAMEA114705180,676103775,UPPSALA UNIVERSITY,2023-05-09,public,"bam,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",2023-11-30,2023-11-30T20:54:42Z,2023-11-30,2023-11-30T20:54:42Z,ERX11707754,SAMEA114705180,Sweden,Europe,Sweden,"VA SYD Sjölunda Wastewater plant\, Malmö",KAROLINSKA INSITUTET,2023-11-30T20:54:42Z,2023-11-30T20:54:42Z,public,Ion Torrent S5 XL,metagenome,MalmÃ¶-19,SINGLE,RT-PCR,METAGENOMIC,Malmö,Severe acute respiratory syndrome coronavirus 2,ION_TORRENT,350000,2023-12-01T00:00:00Z,2023-12-05T04:57:00Z,1,SAMEA114705180,Malmö-19,4,1,2023-05-09,Severe acute respiratory syndrome coronavirus 2,municipal wastewater treatment plant,ERP146892,Malmö-19,SARS-CoV-2,55.63,13.04
ERR12330881,AMPLICON,184,776487246,PRJEB61810,SAMEA114705183,440683776,UPPSALA UNIVERSITY,2023-01-03,public,"bam,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2023-11-30,2023-11-30T20:54:42Z,2023-11-30,2023-11-30T20:54:42Z,ERX11707757,SAMEA114705183,Sweden,Europe,Sweden,Henriksdals reningsverk Stockholm Vatten Och Avfall,KAROLINSKA INSITUTET,2023-11-30T20:54:42Z,2023-11-30T20:54:42Z,public,Ion Torrent S5 XL,metagenome,Henriksdal-01,SINGLE,RT-PCR,METAGENOMIC,Henriksdal inlet,Severe acute respiratory syndrome coronavirus 2,ION_TORRENT,371800,2023-12-01T00:00:00Z,2023-12-05T04:55:00Z,1,SAMEA114705183,Henriksdal-1,4,1,2023-01-03,Severe acute respiratory syndrome coronavirus 2,municipal wastewater treatment plant,ERP146892,Henriksdal-1,SARS-CoV-2,59.31,18.11
ERR12330882,AMPLICON,183,861474786,PRJEB61810,SAMEA114705184,489925329,UPPSALA UNIVERSITY,2023-01-10,public,"bam,sra,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",2023-11-30,2023-11-30T20:54:42Z,2023-11-30,2023-11-30T20:54:42Z,ERX11707758,SAMEA114705184,Sweden,Europe,Sweden,Henriksdals reningsverk Stockholm Vatten Och Avfall,KAROLINSKA INSITUTET,2023-11-30T20:54:42Z,2023-11-30T20:54:42Z,public,Ion Torrent S5 XL,metagenome,Henriksdal-02,SINGLE,RT-PCR,METAGENOMIC,Henriksdal inlet,Severe acute respiratory syndrome coronavirus 2,ION_TORRENT,371800,2023-12-01T00:00:00Z,2023-12-05T02:40:00Z,1,SAMEA114705184,Henriksdal-2,4,1,2023-01-10,Severe acute respiratory syndrome coronavirus 2,municipal wastewater treatment plant,ERP146892,Henriksdal-2,SARS-CoV-2,59.31,18.11
ERR12330883,AMPLICON,178,1126305589,PRJEB61810,SAMEA114705185,634818968,UPPSALA UNIVERSITY,2023-01-17,public,"sra,run.zq,bam","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",2023-11-30,2023-11-30T20:54:42Z,2023-11-30,2023-11-30T20:54:42Z,ERX11707759,SAMEA114705185,Sweden,Europe,Sweden,Henriksdals reningsverk Stockholm Vatten Och Avfall,KAROLINSKA INSITUTET,2023-11-30T20:54:42Z,2023-11-30T20:54:42Z,public,Ion Torrent S5 XL,metagenome,Henriksdal-03,SINGLE,RT-PCR,METAGENOMIC,Henriksdal inlet,Severe acute respiratory syndrome coronavirus 2,ION_TORRENT,371800,2023-12-01T00:00:00Z,2023-12-05T02:43:00Z,1,SAMEA114705185,Henriksdal-3,4,1,2023-01-17,Severe acute respiratory syndrome coronavirus 2,municipal wastewater treatment plant,ERP146892,Henriksdal-3,SARS-CoV-2,59.31,18.11
ERR12330888,AMPLICON,179,731324710,PRJEB61810,SAMEA114705190,426384004,UPPSALA UNIVERSITY,2023-02-21,public,"run.zq,bam,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",2023-11-30,2023-11-30T20:54:42Z,2023-11-30,2023-11-30T20:54:42Z,ERX11707764,SAMEA114705190,Sweden,Europe,Sweden,Henriksdals reningsverk Stockholm Vatten Och Avfall,KAROLINSKA INSITUTET,2023-11-30T20:54:42Z,2023-11-30T20:54:42Z,public,Ion Torrent S5 XL,metagenome,Henriksdal-08,SINGLE,RT-PCR,METAGENOMIC,Henriksdal inlet,Severe acute respiratory syndrome coronavirus 2,ION_TORRENT,371800,2023-12-01T00:00:00Z,2023-12-06T02:35:00Z,1,SAMEA114705190,Henriksdal-08,4,1,2023-02-21,Severe acute respiratory syndrome coronavirus 2,municipal wastewater treatment plant,ERP146892,Henriksdal-08,SARS-CoV-2,59.31,18.11
ERR12330889,AMPLICON,179,750777784,PRJEB61810,SAMEA114705191,426856138,UPPSALA UNIVERSITY,2023-02-28,public,"run.zq,bam,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2023-11-30,2023-11-30T20:54:42Z,2023-11-30,2023-11-30T20:54:42Z,ERX11707765,SAMEA114705191,Sweden,Europe,Sweden,Henriksdals reningsverk Stockholm Vatten Och Avfall,KAROLINSKA INSITUTET,2023-11-30T20:54:42Z,2023-11-30T20:54:42Z,public,Ion Torrent S5 XL,metagenome,Henriksdal-09,SINGLE,RT-PCR,METAGENOMIC,Henriksdal inlet,Severe acute respiratory syndrome coronavirus 2,ION_TORRENT,371800,2023-12-01T00:00:00Z,2023-12-06T02:31:00Z,1,SAMEA114705191,Henriksdal-09,4,1,2023-02-28,Severe acute respiratory syndrome coronavirus 2,municipal wastewater treatment plant,ERP146892,Henriksdal-09,SARS-CoV-2,59.31,18.11
ERR12330891,AMPLICON,184,793616787,PRJEB61810,SAMEA114705193,452134941,UPPSALA UNIVERSITY,2023-03-14,public,"sra,bam,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",2023-11-30,2023-11-30T20:54:42Z,2023-11-30,2023-11-30T20:54:42Z,ERX11707767,SAMEA114705193,Sweden,Europe,Sweden,Henriksdals reningsverk Stockholm Vatten Och Avfall,KAROLINSKA INSITUTET,2023-11-30T20:54:42Z,2023-11-30T20:54:42Z,public,Ion Torrent S5 XL,metagenome,Henriksdal-11,SINGLE,RT-PCR,METAGENOMIC,Henriksdal inlet,Severe acute respiratory syndrome coronavirus 2,ION_TORRENT,371800,2023-12-01T00:00:00Z,2023-12-06T02:32:00Z,1,SAMEA114705193,Henriksdal-11,4,1,2023-03-14,Severe acute respiratory syndrome coronavirus 2,municipal wastewater treatment plant,ERP146892,Henriksdal-11,SARS-CoV-2,59.31,18.11
ERR12330893,AMPLICON,179,2556869354,PRJEB61810,SAMEA114705195,1403728644,UPPSALA UNIVERSITY,2023-03-28,public,"bam,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2023-11-30,2023-11-30T20:54:42Z,2023-11-30,2023-11-30T20:54:42Z,ERX11707769,SAMEA114705195,Sweden,Europe,Sweden,Henriksdals reningsverk Stockholm Vatten Och Avfall,KAROLINSKA INSITUTET,2023-11-30T20:54:42Z,2023-11-30T20:54:42Z,public,Ion Torrent S5 XL,metagenome,Henriksdal-13,SINGLE,RT-PCR,METAGENOMIC,Henriksdal inlet,Severe acute respiratory syndrome coronavirus 2,ION_TORRENT,371800,2023-12-01T00:00:00Z,2023-12-05T06:19:00Z,1,SAMEA114705195,Henriksdal-13,4,1,2023-03-28,Severe acute respiratory syndrome coronavirus 2,municipal wastewater treatment plant,ERP146892,Henriksdal-13,SARS-CoV-2,59.31,18.11
ERR12330895,AMPLICON,180,1014412912,PRJEB61810,SAMEA114705197,579635004,UPPSALA UNIVERSITY,2023-04-11,public,"run.zq,bam,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",2023-11-30,2023-11-30T20:54:42Z,2023-11-30,2023-11-30T20:54:42Z,ERX11707771,SAMEA114705197,Sweden,Europe,Sweden,Henriksdals reningsverk Stockholm Vatten Och Avfall,KAROLINSKA INSITUTET,2023-11-30T20:54:42Z,2023-11-30T20:54:42Z,public,Ion Torrent S5 XL,metagenome,Henriksdal-15,SINGLE,RT-PCR,METAGENOMIC,Henriksdal inlet,Severe acute respiratory syndrome coronavirus 2,ION_TORRENT,371800,2023-12-01T00:00:00Z,2023-12-05T04:56:00Z,1,SAMEA114705197,Henriksdal-15,4,1,2023-04-11,Severe acute respiratory syndrome coronavirus 2,municipal wastewater treatment plant,ERP146892,Henriksdal-15,SARS-CoV-2,59.31,18.11
ERR12330901,AMPLICON,180,1085854851,PRJEB61810,SAMEA114705203,618100418,UPPSALA UNIVERSITY,2023-05-23,public,"run.zq,sra,bam","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2023-11-30,2023-11-30T20:54:42Z,2023-11-30,2023-11-30T20:54:42Z,ERX11707777,SAMEA114705203,Sweden,Europe,Sweden,Henriksdals reningsverk Stockholm Vatten Och Avfall,KAROLINSKA INSITUTET,2023-11-30T20:54:42Z,2023-11-30T20:54:42Z,public,Ion Torrent S5 XL,metagenome,Henriksdal-21,SINGLE,RT-PCR,METAGENOMIC,Henriksdal inlet,Severe acute respiratory syndrome coronavirus 2,ION_TORRENT,371800,2023-12-01T00:00:00Z,2023-12-05T04:59:00Z,1,SAMEA114705203,Henriksdal-21,4,1,2023-05-23,Severe acute respiratory syndrome coronavirus 2,municipal wastewater treatment plant,ERP146892,Henriksdal-21,SARS-CoV-2,59.31,18.11
ERR12330902,AMPLICON,187,805204592,PRJEB61810,SAMEA114705204,454669517,UPPSALA UNIVERSITY,2023-01-03,public,"sra,run.zq,bam","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",2023-11-30,2023-11-30T20:54:42Z,2023-11-30,2023-11-30T20:54:42Z,ERX11707778,SAMEA114705204,Sweden,Europe,Sweden,Henriksdals reningsverk Stockholm Vatten Och Avfall,KAROLINSKA INSITUTET,2023-11-30T20:54:42Z,2023-11-30T20:54:42Z,public,Ion Torrent S5 XL,metagenome,Sickla-1,SINGLE,RT-PCR,METAGENOMIC,Sickla inlet,Severe acute respiratory syndrome coronavirus 2,ION_TORRENT,490200,2023-12-01T00:00:00Z,2023-12-04T22:58:00Z,1,SAMEA114705204,Sickla-1,4,1,2023-01-03,Severe acute respiratory syndrome coronavirus 2,municipal wastewater treatment plant,ERP146892,Sickla-1,SARS-CoV-2,59.31,18.11
ERR12330904,AMPLICON,157,849978136,PRJEB61810,SAMEA114705206,481852483,UPPSALA UNIVERSITY,2023-01-17,public,"run.zq,sra,bam","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2023-11-30,2023-11-30T20:54:42Z,2023-11-30,2023-11-30T20:54:42Z,ERX11707780,SAMEA114705206,Sweden,Europe,Sweden,Henriksdals reningsverk Stockholm Vatten Och Avfall,KAROLINSKA INSITUTET,2023-11-30T20:54:42Z,2023-11-30T20:54:42Z,public,Ion Torrent S5 XL,metagenome,Sickla-3,SINGLE,RT-PCR,METAGENOMIC,Sickla inlet,Severe acute respiratory syndrome coronavirus 2,ION_TORRENT,490200,2023-12-01T00:00:00Z,2023-12-05T04:54:00Z,1,SAMEA114705206,Sickla-3,4,1,2023-01-17,Severe acute respiratory syndrome coronavirus 2,municipal wastewater treatment plant,ERP146892,Sickla-3,SARS-CoV-2,59.31,18.11
ERR12330906,AMPLICON,186,1208465338,PRJEB61810,SAMEA114705208,672885772,UPPSALA UNIVERSITY,2023-01-31,public,"run.zq,sra,bam","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",2023-11-30,2023-11-30T20:54:42Z,2023-11-30,2023-11-30T20:54:42Z,ERX11707782,SAMEA114705208,Sweden,Europe,Sweden,Henriksdals reningsverk Stockholm Vatten Och Avfall,KAROLINSKA INSITUTET,2023-11-30T20:54:42Z,2023-11-30T20:54:42Z,public,Ion Torrent S5 XL,metagenome,Sickla-05,SINGLE,RT-PCR,METAGENOMIC,Sickla inlet,Severe acute respiratory syndrome coronavirus 2,ION_TORRENT,490200,2023-12-01T00:00:00Z,2023-12-05T04:57:00Z,1,SAMEA114705208,Sickla-05,4,1,2023-01-31,Severe acute respiratory syndrome coronavirus 2,municipal wastewater treatment plant,ERP146892,Sickla-05,SARS-CoV-2,59.31,18.11
ERR12330910,AMPLICON,174,635295728,PRJEB61810,SAMEA114705212,360675917,UPPSALA UNIVERSITY,2023-02-28,public,"sra,run.zq,bam","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2023-11-30,2023-11-30T20:54:42Z,2023-11-30,2023-11-30T20:54:42Z,ERX11707786,SAMEA114705212,Sweden,Europe,Sweden,Henriksdals reningsverk Stockholm Vatten Och Avfall,KAROLINSKA INSITUTET,2023-11-30T20:54:42Z,2023-11-30T20:54:42Z,public,Ion Torrent S5 XL,metagenome,Sickla-09,SINGLE,RT-PCR,METAGENOMIC,Sickla inlet,Severe acute respiratory syndrome coronavirus 2,ION_TORRENT,490200,2023-12-01T00:00:00Z,2023-12-05T02:29:00Z,1,SAMEA114705212,Sickla-09,4,1,2023-02-28,Severe acute respiratory syndrome coronavirus 2,municipal wastewater treatment plant,ERP146892,Sickla-09,SARS-CoV-2,59.31,18.11
