Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Broker_name,Bytes,Center Name,Collection_Date,collector_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(region_and_locality),INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,library_preparation_date (exp),LibraryLayout,LibrarySelection,LibrarySource,name_of_the_sampling_site,nucleic_acid_amplification,nucleic_acid_extraction,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,Scientific_Name,sewage_type,SRA Study,Submitter_Id,surveillance_target
ERR7565684,AMPLICON,600,413309400,PRJEB48206,SAMEA11458566,"Submission account for department of Viroscience's Research Teams\, ErasmusMC",225164921,"ERASMUS MC, UNIVERISTY MEDICAL CENTER",2021-03-08,Rotterdam wastewater monitoring team,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",2023-03-01,2023-03-01,2023-03-01,2023-03-01,ERX7136276,SAMEA11458566,Netherlands,Europe,Netherlands,"Rotterdam\, Total Dokhaven",Rotterdam wastewater monitoring team,Rotterdam wastewater monitoring team,2023-03-01T08:18:44Z,2023-03-01T08:18:44Z,public,Illumina MiSeq,metagenome,KAPA HyperPlus library preparation kit (Roche),not collected,PAIRED,RANDOM,METAGENOMIC,wasterwater treatment plant at Total Dokhaven,RT-PCR,"RNA was isolated with the Biomerieux Nuclisens kit (Biomerieux\, Amersfoort\, the Netherlands) in combination with the semi-automated KingFisher mL (Thermo Scientific\, Bleiswijk\, The Netherlands) purification system to extract RNA from Centricon concentr...",wastewater metagenome,ILLUMINA,2023-03-02T00:00:00Z,2023-03-11T04:34:00Z,1,SAMEA11458566,iRun102_BC11,wastewater metagenome,municipal (and industrial) wastewater treatment plant,ERP132545,iRun102_BC11,2697049
ERR7565685,AMPLICON,600,362634600,PRJEB48206,SAMEA11458567,"Submission account for department of Viroscience's Research Teams\, ErasmusMC",195724047,"ERASMUS MC, UNIVERISTY MEDICAL CENTER",2021-03-08,Rotterdam wastewater monitoring team,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",2023-03-01,2023-03-01,2023-03-01,2023-03-01,ERX7136277,SAMEA11458567,Netherlands,Europe,Netherlands,"Rotterdam\, Ommoord",Rotterdam wastewater monitoring team,Rotterdam wastewater monitoring team,2023-03-01T08:18:44Z,2023-03-01T08:18:44Z,public,Illumina MiSeq,metagenome,KAPA HyperPlus library preparation kit (Roche),not collected,PAIRED,RANDOM,METAGENOMIC,wasterwater treatment plant at Ommoord,RT-PCR,"RNA was isolated with the Biomerieux Nuclisens kit (Biomerieux\, Amersfoort\, the Netherlands) in combination with the semi-automated KingFisher mL (Thermo Scientific\, Bleiswijk\, The Netherlands) purification system to extract RNA from Centricon concentr...",wastewater metagenome,ILLUMINA,2023-03-02T00:00:00Z,2023-03-11T04:34:00Z,1,SAMEA11458567,iRun102_BC12,wastewater metagenome,municipal (and industrial) wastewater treatment plant,ERP132545,iRun102_BC12,2697049
ERR7565686,AMPLICON,600,302299800,PRJEB48206,SAMEA11458568,"Submission account for department of Viroscience's Research Teams\, ErasmusMC",157196628,"ERASMUS MC, UNIVERISTY MEDICAL CENTER",2021-03-08,Rotterdam wastewater monitoring team,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",2023-03-01,2023-03-01,2023-03-01,2023-03-01,ERX7136278,SAMEA11458568,Netherlands,Europe,Netherlands,"Rotterdam\, Everlo Waalhaven",Rotterdam wastewater monitoring team,Rotterdam wastewater monitoring team,2023-03-01T08:18:44Z,2023-03-01T08:18:44Z,public,Illumina MiSeq,metagenome,KAPA HyperPlus library preparation kit (Roche),not collected,PAIRED,RANDOM,METAGENOMIC,wasterwater treatment plant at Everlo Waalhaven,RT-PCR,"RNA was isolated with the Biomerieux Nuclisens kit (Biomerieux\, Amersfoort\, the Netherlands) in combination with the semi-automated KingFisher mL (Thermo Scientific\, Bleiswijk\, The Netherlands) purification system to extract RNA from Centricon concentr...",wastewater metagenome,ILLUMINA,2023-03-02T00:00:00Z,2023-03-11T04:34:00Z,1,SAMEA11458568,iRun102_BC13,wastewater metagenome,municipal (and industrial) wastewater treatment plant,ERP132545,iRun102_BC13,2697049
ERR7565687,AMPLICON,600,393482400,PRJEB48206,SAMEA11458569,"Submission account for department of Viroscience's Research Teams\, ErasmusMC",203760772,"ERASMUS MC, UNIVERISTY MEDICAL CENTER",2021-03-08,Rotterdam wastewater monitoring team,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",2023-03-01,2023-03-01,2023-03-01,2023-03-01,ERX7136279,SAMEA11458569,Netherlands,Europe,Netherlands,"Rotterdam\, Pretorialaan-Zuidplein",Rotterdam wastewater monitoring team,Rotterdam wastewater monitoring team,2023-03-01T08:19:47Z,2023-03-01T08:19:47Z,public,Illumina MiSeq,metagenome,KAPA HyperPlus library preparation kit (Roche),not collected,PAIRED,RANDOM,METAGENOMIC,wasterwater treatment plant at Pretorialaan-Zuidplein,RT-PCR,"RNA was isolated with the Biomerieux Nuclisens kit (Biomerieux\, Amersfoort\, the Netherlands) in combination with the semi-automated KingFisher mL (Thermo Scientific\, Bleiswijk\, The Netherlands) purification system to extract RNA from Centricon concentr...",wastewater metagenome,ILLUMINA,2023-03-02T00:00:00Z,2023-03-11T04:34:00Z,1,SAMEA11458569,iRun102_BC14,wastewater metagenome,municipal (and industrial) wastewater treatment plant,ERP132545,iRun102_BC14,2697049
ERR7565688,AMPLICON,600,350385000,PRJEB48206,SAMEA11458570,"Submission account for department of Viroscience's Research Teams\, ErasmusMC",184256720,"ERASMUS MC, UNIVERISTY MEDICAL CENTER",2021-03-08,Rotterdam wastewater monitoring team,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",2023-03-01,2023-03-01,2023-03-01,2023-03-01,ERX7136280,SAMEA11458570,Netherlands,Europe,Netherlands,"Rotterdam\, Wolphaertsbocht",Rotterdam wastewater monitoring team,Rotterdam wastewater monitoring team,2023-03-01T08:18:44Z,2023-03-01T08:18:44Z,public,Illumina MiSeq,metagenome,KAPA HyperPlus library preparation kit (Roche),not collected,PAIRED,RANDOM,METAGENOMIC,wasterwater treatment plant at Wolphaertsbocht,RT-PCR,"RNA was isolated with the Biomerieux Nuclisens kit (Biomerieux\, Amersfoort\, the Netherlands) in combination with the semi-automated KingFisher mL (Thermo Scientific\, Bleiswijk\, The Netherlands) purification system to extract RNA from Centricon concentr...",wastewater metagenome,ILLUMINA,2023-03-02T00:00:00Z,2023-03-11T04:35:00Z,1,SAMEA11458570,iRun102_BC15,wastewater metagenome,municipal (and industrial) wastewater treatment plant,ERP132545,iRun102_BC15,2697049
ERR7565689,AMPLICON,600,350939400,PRJEB48206,SAMEA11458571,"Submission account for department of Viroscience's Research Teams\, ErasmusMC",186339620,"ERASMUS MC, UNIVERISTY MEDICAL CENTER",2021-03-08,Rotterdam wastewater monitoring team,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",2023-03-01,2023-03-01,2023-03-01,2023-03-01,ERX7136281,SAMEA11458571,Netherlands,Europe,Netherlands,"Rotterdam\, Heemraadsplein",Rotterdam wastewater monitoring team,Rotterdam wastewater monitoring team,2023-03-01T08:18:44Z,2023-03-01T08:18:44Z,public,Illumina MiSeq,metagenome,KAPA HyperPlus library preparation kit (Roche),not collected,PAIRED,RANDOM,METAGENOMIC,wasterwater treatment plant at Heemraadsplein,RT-PCR,"RNA was isolated with the Biomerieux Nuclisens kit (Biomerieux\, Amersfoort\, the Netherlands) in combination with the semi-automated KingFisher mL (Thermo Scientific\, Bleiswijk\, The Netherlands) purification system to extract RNA from Centricon concentr...",wastewater metagenome,ILLUMINA,2023-03-02T00:00:00Z,2023-03-11T04:35:00Z,1,SAMEA11458571,iRun102_BC16,wastewater metagenome,municipal (and industrial) wastewater treatment plant,ERP132545,iRun102_BC16,2697049
ERR7565690,AMPLICON,600,220282200,PRJEB48206,SAMEA11458572,"Submission account for department of Viroscience's Research Teams\, ErasmusMC",115860440,"ERASMUS MC, UNIVERISTY MEDICAL CENTER",2021-03-08,Rotterdam wastewater monitoring team,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",2023-03-01,2023-03-01,2023-03-01,2023-03-01,ERX7136282,SAMEA11458572,Netherlands,Europe,Netherlands,"Rotterdam\, Pretorialaan",Rotterdam wastewater monitoring team,Rotterdam wastewater monitoring team,2023-03-01T08:18:44Z,2023-03-01T08:18:44Z,public,Illumina MiSeq,metagenome,KAPA HyperPlus library preparation kit (Roche),not collected,PAIRED,RANDOM,METAGENOMIC,wasterwater treatment plant at Pretorialaan,RT-PCR,"RNA was isolated with the Biomerieux Nuclisens kit (Biomerieux\, Amersfoort\, the Netherlands) in combination with the semi-automated KingFisher mL (Thermo Scientific\, Bleiswijk\, The Netherlands) purification system to extract RNA from Centricon concentr...",wastewater metagenome,ILLUMINA,2023-03-02T00:00:00Z,2023-03-11T04:34:00Z,1,SAMEA11458572,iRun102_BC17,wastewater metagenome,municipal (and industrial) wastewater treatment plant,ERP132545,iRun102_BC17,2697049
ERR7565691,AMPLICON,600,204040200,PRJEB48206,SAMEA11458573,"Submission account for department of Viroscience's Research Teams\, ErasmusMC",117512039,"ERASMUS MC, UNIVERISTY MEDICAL CENTER",2021-03-08,Rotterdam wastewater monitoring team,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",2023-03-01,2023-03-01,2023-03-01,2023-03-01,ERX7136283,SAMEA11458573,Netherlands,Europe,Netherlands,"Rotterdam\, Bergschenhoek",Rotterdam wastewater monitoring team,Rotterdam wastewater monitoring team,2023-03-01T08:18:44Z,2023-03-01T08:18:44Z,public,Illumina MiSeq,metagenome,KAPA HyperPlus library preparation kit (Roche),not collected,PAIRED,RANDOM,METAGENOMIC,wasterwater treatment plant at Bergschenhoek,RT-PCR,"RNA was isolated with the Biomerieux Nuclisens kit (Biomerieux\, Amersfoort\, the Netherlands) in combination with the semi-automated KingFisher mL (Thermo Scientific\, Bleiswijk\, The Netherlands) purification system to extract RNA from Centricon concentr...",wastewater metagenome,ILLUMINA,2023-03-02T00:00:00Z,2023-03-11T04:35:00Z,1,SAMEA11458573,iRun102_BC18,wastewater metagenome,municipal (and industrial) wastewater treatment plant,ERP132545,iRun102_BC18,2697049
ERR7565692,AMPLICON,600,309129000,PRJEB48206,SAMEA11458574,"Submission account for department of Viroscience's Research Teams\, ErasmusMC",184715675,"ERASMUS MC, UNIVERISTY MEDICAL CENTER",2021-03-10,Rotterdam wastewater monitoring team,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",2023-03-01,2023-03-01,2023-03-01,2023-03-01,ERX7136284,SAMEA11458574,Netherlands,Europe,Netherlands,"Rotterdam\, Ommoord",Rotterdam wastewater monitoring team,Rotterdam wastewater monitoring team,2023-03-01T08:18:44Z,2023-03-01T08:18:44Z,public,Illumina MiSeq,metagenome,KAPA HyperPlus library preparation kit (Roche),not collected,PAIRED,RANDOM,METAGENOMIC,wasterwater treatment plant at Ommoord,RT-PCR,"RNA was isolated with the Biomerieux Nuclisens kit (Biomerieux\, Amersfoort\, the Netherlands) in combination with the semi-automated KingFisher mL (Thermo Scientific\, Bleiswijk\, The Netherlands) purification system to extract RNA from Centricon concentr...",wastewater metagenome,ILLUMINA,2023-03-02T00:00:00Z,2023-03-11T04:34:00Z,1,SAMEA11458574,iRun102_BC19,wastewater metagenome,municipal (and industrial) wastewater treatment plant,ERP132545,iRun102_BC19,2697049
ERR7565693,AMPLICON,600,278181600,PRJEB48206,SAMEA11458575,"Submission account for department of Viroscience's Research Teams\, ErasmusMC",145523307,"ERASMUS MC, UNIVERISTY MEDICAL CENTER",2021-03-10,Rotterdam wastewater monitoring team,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",2023-03-01,2023-03-01,2023-03-01,2023-03-01,ERX7136285,SAMEA11458575,Netherlands,Europe,Netherlands,"Rotterdam\, Katendrecht",Rotterdam wastewater monitoring team,Rotterdam wastewater monitoring team,2023-03-01T08:18:44Z,2023-03-01T08:18:44Z,public,Illumina MiSeq,metagenome,KAPA HyperPlus library preparation kit (Roche),not collected,PAIRED,RANDOM,METAGENOMIC,wasterwater treatment plant at Katendrecht,RT-PCR,"RNA was isolated with the Biomerieux Nuclisens kit (Biomerieux\, Amersfoort\, the Netherlands) in combination with the semi-automated KingFisher mL (Thermo Scientific\, Bleiswijk\, The Netherlands) purification system to extract RNA from Centricon concentr...",wastewater metagenome,ILLUMINA,2023-03-02T00:00:00Z,2023-03-11T04:34:00Z,1,SAMEA11458575,iRun102_BC20,wastewater metagenome,municipal (and industrial) wastewater treatment plant,ERP132545,iRun102_BC20,2697049
ERR7565694,AMPLICON,600,294690000,PRJEB48206,SAMEA11458576,"Submission account for department of Viroscience's Research Teams\, ErasmusMC",155044548,"ERASMUS MC, UNIVERISTY MEDICAL CENTER",2021-03-10,Rotterdam wastewater monitoring team,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",2023-03-01,2023-03-01,2023-03-01,2023-03-01,ERX7136286,SAMEA11458576,Netherlands,Europe,Netherlands,"Rotterdam\, Everlo Waalhaven",Rotterdam wastewater monitoring team,Rotterdam wastewater monitoring team,2023-03-01T08:18:44Z,2023-03-01T08:18:44Z,public,Illumina MiSeq,metagenome,KAPA HyperPlus library preparation kit (Roche),not collected,PAIRED,RANDOM,METAGENOMIC,wasterwater treatment plant at Everlo Waalhaven,RT-PCR,"RNA was isolated with the Biomerieux Nuclisens kit (Biomerieux\, Amersfoort\, the Netherlands) in combination with the semi-automated KingFisher mL (Thermo Scientific\, Bleiswijk\, The Netherlands) purification system to extract RNA from Centricon concentr...",wastewater metagenome,ILLUMINA,2023-03-02T00:00:00Z,2023-03-11T04:34:00Z,1,SAMEA11458576,iRun102_BC21,wastewater metagenome,municipal (and industrial) wastewater treatment plant,ERP132545,iRun102_BC21,2697049
