Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1,Sample_ID
SRR28746911,AMPLICON,361,66150612,PRJNA931732,SAMN41004294,SARS-CoV-2: wastewater surveillance,66009432,CSIR-NCL,2022-07-04,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312724,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S609,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN86_barcode41,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S609
SRR28746912,AMPLICON,297,44361198,PRJNA931732,SAMN41004293,SARS-CoV-2: wastewater surveillance,45812608,CSIR-NCL,2022-07-05,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312723,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S608,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN86_barcode39,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S608
SRR28746913,AMPLICON,354,64787016,PRJNA931732,SAMN41004292,SARS-CoV-2: wastewater surveillance,64815180,CSIR-NCL,2022-07-05,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312722,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S607,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN86_barcode38,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S607
SRR28746914,AMPLICON,345,67458499,PRJNA931732,SAMN41004291,SARS-CoV-2: wastewater surveillance,68105485,CSIR-NCL,2022-07-05,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312721,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S606,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN86_barcode37,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S606
SRR28746915,AMPLICON,353,54691578,PRJNA931732,SAMN41004290,SARS-CoV-2: wastewater surveillance,54955822,CSIR-NCL,2022-07-05,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312720,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S605,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN86_barcode36,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S605
SRR28746916,AMPLICON,313,75303025,PRJNA931732,SAMN41004289,SARS-CoV-2: wastewater surveillance,76528614,CSIR-NCL,2022-07-05,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312719,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S604,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN86_barcode35,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S604
SRR28746917,AMPLICON,342,77442108,PRJNA931732,SAMN41004288,SARS-CoV-2: wastewater surveillance,77726637,CSIR-NCL,2022-07-07,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312718,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S603,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN86_barcode34,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S603
SRR28746918,AMPLICON,378,54604914,PRJNA931732,SAMN41004287,SARS-CoV-2: wastewater surveillance,53895065,CSIR-NCL,2022-07-07,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312717,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S602,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN86_barcode33,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S602
SRR28746919,AMPLICON,468,43730091,PRJNA931732,SAMN41004286,SARS-CoV-2: wastewater surveillance,42863574,CSIR-NCL,2023-01-27,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312716,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S601,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN157_barcode83,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S601
SRR28746920,AMPLICON,393,8432896,PRJNA931732,SAMN41004232,SARS-CoV-2: wastewater surveillance,8397055,CSIR-NCL,2023-04-11,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312715,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S547,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:43:00Z,1,RUN115_barcode09,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S547
SRR28746921,AMPLICON,429,24238473,PRJNA931732,SAMN41004285,SARS-CoV-2: wastewater surveillance,23959443,CSIR-NCL,2023-01-23,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312714,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S600,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN157_barcode71,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S600
SRR28746922,AMPLICON,480,13198829,PRJNA931732,SAMN41004284,SARS-CoV-2: wastewater surveillance,12910297,CSIR-NCL,2023-01-23,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312713,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S599,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN157_barcode68,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S599
SRR28746923,AMPLICON,420,13851687,PRJNA931732,SAMN41004283,SARS-CoV-2: wastewater surveillance,13721666,CSIR-NCL,2023-01-19,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312712,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S598,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:43:00Z,1,RUN157_barcode61,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S598
SRR28746924,AMPLICON,468,16475256,PRJNA931732,SAMN41004282,SARS-CoV-2: wastewater surveillance,16142919,CSIR-NCL,2023-01-18,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312711,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S597,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:43:00Z,1,RUN157_barcode59,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S597
SRR28746925,AMPLICON,397,22919326,PRJNA931732,SAMN41004281,SARS-CoV-2: wastewater surveillance,22831927,CSIR-NCL,2023-01-18,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312710,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S596,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN157_barcode58,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S596
SRR28746926,AMPLICON,482,29508279,PRJNA931732,SAMN41004280,SARS-CoV-2: wastewater surveillance,28581871,CSIR-NCL,2023-01-12,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312709,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S595,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN157_barcode43,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S595
SRR28746927,AMPLICON,428,12642887,PRJNA931732,SAMN41004279,SARS-CoV-2: wastewater surveillance,12540892,CSIR-NCL,2023-01-11,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312708,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S594,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN157_barcode34,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S594
SRR28746928,AMPLICON,469,33586347,PRJNA931732,SAMN41004278,SARS-CoV-2: wastewater surveillance,32909683,CSIR-NCL,2023-01-09,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312707,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S593,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN157_barcode27,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S593
SRR28746929,AMPLICON,427,18101136,PRJNA931732,SAMN41004277,SARS-CoV-2: wastewater surveillance,17959560,CSIR-NCL,2023-01-09,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312706,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S592,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:43:00Z,1,RUN157_barcode26,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S592
SRR28746930,AMPLICON,416,34331448,PRJNA931732,SAMN41004276,SARS-CoV-2: wastewater surveillance,34133902,CSIR-NCL,2023-01-05,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312705,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S591,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN157_barcode19,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S591
SRR28746931,AMPLICON,478,199933389,PRJNA931732,SAMN41004231,SARS-CoV-2: wastewater surveillance,193965028,CSIR-NCL,2023-04-11,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312704,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S546,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN115_barcode08,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S546
SRR28746932,AMPLICON,478,24134763,PRJNA931732,SAMN41004275,SARS-CoV-2: wastewater surveillance,23560599,CSIR-NCL,2023-01-05,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312703,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S590,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:43:00Z,1,RUN157_barcode18,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S590
SRR28746933,AMPLICON,395,44030733,PRJNA931732,SAMN41004274,SARS-CoV-2: wastewater surveillance,43731114,CSIR-NCL,2023-02-28,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312702,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S589,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN146_barcode95,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S589
SRR28746934,AMPLICON,396,37311827,PRJNA931732,SAMN41004273,SARS-CoV-2: wastewater surveillance,37051831,CSIR-NCL,2023-02-28,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312701,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S588,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:43:00Z,1,RUN145_barcode61,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S588
SRR28746935,AMPLICON,390,79503010,PRJNA931732,SAMN41004272,SARS-CoV-2: wastewater surveillance,79079815,CSIR-NCL,2022-12-29,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312700,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S587,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN145_barcode46,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S587
SRR28746936,AMPLICON,390,60433536,PRJNA931732,SAMN41004271,SARS-CoV-2: wastewater surveillance,60285458,CSIR-NCL,2022-12-28,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312699,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S586,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN145_barcode44,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S586
SRR28746937,AMPLICON,408,97030421,PRJNA931732,SAMN41004270,SARS-CoV-2: wastewater surveillance,96362861,CSIR-NCL,2022-12-28,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312698,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S585,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN145_barcode43,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S585
SRR28746938,AMPLICON,382,86572075,PRJNA931732,SAMN41004269,SARS-CoV-2: wastewater surveillance,86475824,CSIR-NCL,2022-12-28,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312697,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S584,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN145_barcode42,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S584
SRR28746939,AMPLICON,387,68887698,PRJNA931732,SAMN41004268,SARS-CoV-2: wastewater surveillance,68705967,CSIR-NCL,2022-12-27,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312696,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S583,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN145_barcode38,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S583
SRR28746940,AMPLICON,394,48500340,PRJNA931732,SAMN41004267,SARS-CoV-2: wastewater surveillance,48353004,CSIR-NCL,2022-12-21,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312695,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S582,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN145_barcode34,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S582
SRR28746941,AMPLICON,393,116615846,PRJNA931732,SAMN41004266,SARS-CoV-2: wastewater surveillance,116088609,CSIR-NCL,2022-12-19,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312694,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S581,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN145_barcode32,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S581
SRR28746942,AMPLICON,470,100284893,PRJNA931732,SAMN41004230,SARS-CoV-2: wastewater surveillance,97822208,CSIR-NCL,2023-04-10,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312693,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S545,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN115_barcode06,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S545
SRR28746943,AMPLICON,400,169920504,PRJNA931732,SAMN41004265,SARS-CoV-2: wastewater surveillance,168870915,CSIR-NCL,2022-12-12,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX24312692,India,Asia,"India: Maharashtra\, Pune",MinION,Environmental (Sewage Treatment Plant),S580,SINGLE,RANDOM PCR,METAGENOMIC,wastewater metagenome,OXFORD_NANOPORE,2024-04-30T00:00:00Z,2024-04-19T17:44:00Z,1,RUN145_barcode20,SRP421042,NA,0,not applicable,not applicable,yes,SARS-CoV-2,S580
