Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_Source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,purpose_of_ww_sampling,ReleaseDate,create_date,version,Sample Name,sequenced_by,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1
SRR15505114,AMPLICON,302,385650980,PRJNA741211,SAMN20813890,SARS-CoV-2: wastewater surveillance,126488846,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-04-11,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX11804447,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,FX2,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:26:00Z,1,FX2,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505115,AMPLICON,302,683697800,PRJNA741211,SAMN20813845,SARS-CoV-2: wastewater surveillance,223820469,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-01-11,public,"run.zq,sra,activ_sars2_vcf,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX11804446,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,DP1,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:26:00Z,1,DP1,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505116,AMPLICON,302,682202296,PRJNA741211,SAMN20813889,SARS-CoV-2: wastewater surveillance,223040239,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-04-09,public,"fastq,activ_sars2_vcf,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX11804445,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,FW2,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:26:00Z,1,FW2,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505117,AMPLICON,302,651084518,PRJNA741211,SAMN20813888,SARS-CoV-2: wastewater surveillance,214090710,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-04-07,public,"sra,run.zq,fastq,activ_sars2_vcf","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11804444,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,FU2,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:26:00Z,1,FU2,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505118,AMPLICON,302,609182622,PRJNA741211,SAMN20813887,SARS-CoV-2: wastewater surveillance,200155891,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-04-05,public,"fastq,activ_sars2_vcf,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX11804443,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,FS3,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:27:00Z,1,FS3,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505119,AMPLICON,302,328198500,PRJNA741211,SAMN20813886,SARS-CoV-2: wastewater surveillance,109333867,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-04-03,public,"fastq,run.zq,activ_sars2_vcf,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX11804442,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,FS1,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:26:00Z,1,FS1,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505120,AMPLICON,302,483046282,PRJNA741211,SAMN20813885,SARS-CoV-2: wastewater surveillance,163663909,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-04-01,public,"sra,activ_sars2_vcf,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX11804441,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,FR1,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:26:00Z,1,FR1,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505121,AMPLICON,302,568356752,PRJNA741211,SAMN20813884,SARS-CoV-2: wastewater surveillance,185765460,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-03-30,public,"fastq,sra,activ_sars2_vcf,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX11804440,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,FP1,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:26:00Z,1,FP1,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505122,AMPLICON,302,339580276,PRJNA741211,SAMN20813883,SARS-CoV-2: wastewater surveillance,111330411,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-03-28,public,"run.zq,activ_sars2_vcf,fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX11804439,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,FO2,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:26:00Z,1,FO2,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505123,AMPLICON,302,511604912,PRJNA741211,SAMN20813882,SARS-CoV-2: wastewater surveillance,168777038,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-03-26,public,"sra,run.zq,activ_sars2_vcf,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX11804438,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,FM1,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:26:00Z,1,FM1,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505124,AMPLICON,302,433136554,PRJNA741211,SAMN20813881,SARS-CoV-2: wastewater surveillance,145466293,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-03-24,public,"sra,run.zq,activ_sars2_vcf,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX11804437,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,FK2,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:27:00Z,1,FK2,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505125,AMPLICON,302,402140784,PRJNA741211,SAMN20813880,SARS-CoV-2: wastewater surveillance,130722313,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-03-22,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX11804436,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,FI4,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:26:00Z,1,FI4,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505126,AMPLICON,302,603673236,PRJNA741211,SAMN20813844,SARS-CoV-2: wastewater surveillance,197931110,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-01-09,public,"fastq,sra,activ_sars2_vcf,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX11804435,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,DO1,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:26:00Z,1,DO1,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505127,AMPLICON,302,562509730,PRJNA741211,SAMN20813879,SARS-CoV-2: wastewater surveillance,186384840,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-03-20,public,"run.zq,activ_sars2_vcf,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX11804434,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,FI3,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:26:00Z,1,FI3,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505128,AMPLICON,302,417245918,PRJNA741211,SAMN20813878,SARS-CoV-2: wastewater surveillance,135747085,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-03-18,public,"activ_sars2_vcf,fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX11804433,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,FH1,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:26:00Z,1,FH1,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505129,AMPLICON,302,339620744,PRJNA741211,SAMN20813877,SARS-CoV-2: wastewater surveillance,111006585,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-03-16,public,"sra,run.zq,fastq,activ_sars2_vcf","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX11804432,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,FE1,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:26:00Z,1,FE1,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505130,AMPLICON,302,654653856,PRJNA741211,SAMN20813876,SARS-CoV-2: wastewater surveillance,221276492,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-03-14,public,"sra,fastq,run.zq,activ_sars2_vcf","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX11804431,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,FC2,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:26:00Z,1,FC2,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505131,AMPLICON,302,671018330,PRJNA741211,SAMN20813875,SARS-CoV-2: wastewater surveillance,228576869,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-03-12,public,"fastq,sra,activ_sars2_vcf,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX11804430,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,FB2,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:26:00Z,1,FB2,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505132,AMPLICON,302,463930890,PRJNA741211,SAMN20813874,SARS-CoV-2: wastewater surveillance,153866612,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-03-11,public,"run.zq,sra,activ_sars2_vcf,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX11804429,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,EZ3,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:26:00Z,1,EZ3,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505133,AMPLICON,302,539986570,PRJNA741211,SAMN20813873,SARS-CoV-2: wastewater surveillance,177775548,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-03-08,public,"run.zq,activ_sars2_vcf,fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX11804428,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,EX3,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:26:00Z,1,EX3,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505134,AMPLICON,302,537019722,PRJNA741211,SAMN20813872,SARS-CoV-2: wastewater surveillance,177141294,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-03-06,public,"sra,run.zq,fastq,activ_sars2_vcf","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX11804427,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,EX1,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:26:00Z,1,EX1,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505135,AMPLICON,302,381817090,PRJNA741211,SAMN20813871,SARS-CoV-2: wastewater surveillance,125561347,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-03-04,public,"run.zq,sra,fastq,activ_sars2_vcf","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX11804426,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,EW1,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:26:00Z,1,EW1,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505136,AMPLICON,302,92739670,PRJNA741211,SAMN20813870,SARS-CoV-2: wastewater surveillance,30411562,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-03-02,public,"fastq,activ_sars2_vcf,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX11804425,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,EV1,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:25:00Z,1,EV1,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
SRR15505137,AMPLICON,302,619402604,PRJNA741211,SAMN20813843,SARS-CoV-2: wastewater surveillance,202509424,YALE SCHOOL OF PUBLIC HEALTH,Yale COVID-19 Wastewater Surveillance Project,2021-01-07,public,"fastq,run.zq,activ_sars2_vcf,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX11804424,USA,North America,"USA: Connecticut\, New Haven",Illumina NovaSeq 6000,effluent pump of gravity thickener,DM2,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,public health surveillance community-level,2021-08-31T00:00:00Z,2021-08-17T19:26:00Z,1,DM2,Yale SARS-CoV-2 Genomic Surveillance Initiative,SRP332940,200000,0,primary sludge,grab,yes,SARS-CoV-2
