Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1,collected_by,purpose_of_ww_sampling
SRR31838510,AMPLICON,488,39610657,PRJNA896334,SAMN45996620,SARS-CoV-2: wastewater surveillance,39766200,CSIR-NCL,2023-11-09,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198899,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN168_barcode41,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:00:00Z,1,PR-234,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838511,AMPLICON,443,180076415,PRJNA896334,SAMN45996619,SARS-CoV-2: wastewater surveillance,183279172,CSIR-NCL,2023-11-06,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198898,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN168_barcode30,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-233,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838512,AMPLICON,427,178039675,PRJNA896334,SAMN45996618,SARS-CoV-2: wastewater surveillance,179933307,CSIR-NCL,2023-11-01,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198897,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN168_barcode26,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:00:00Z,1,PR-232,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838513,AMPLICON,412,115235121,PRJNA896334,SAMN45996617,SARS-CoV-2: wastewater surveillance,118152908,CSIR-NCL,2023-10-30,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198896,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN168_barcode17,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-231,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838514,AMPLICON,442,22207867,PRJNA896334,SAMN45996616,SARS-CoV-2: wastewater surveillance,22512688,CSIR-NCL,2023-10-26,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198895,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN168_barcode13,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-230,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838515,AMPLICON,463,11451385,PRJNA896334,SAMN45996615,SARS-CoV-2: wastewater surveillance,11505029,CSIR-NCL,2023-10-23,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198894,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN168_barcode01,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:00:00Z,1,PR-229,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838516,AMPLICON,519,10532950,PRJNA896334,SAMN45996614,SARS-CoV-2: wastewater surveillance,10743458,CSIR-NCL,2023-09-25,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198893,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN167_barcode51,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:00:00Z,1,PR-221,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838517,AMPLICON,71,98310393,PRJNA896334,SAMN45996560,SARS-CoV-2: wastewater surveillance,42785104,CSIR-NCL,2022-07-07,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198892,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP14765,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-96,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838518,AMPLICON,534,17206221,PRJNA896334,SAMN45996613,SARS-CoV-2: wastewater surveillance,17097578,CSIR-NCL,2023-09-21,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198891,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN167_barcode50,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-220,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838519,AMPLICON,451,5581100,PRJNA896334,SAMN45996612,SARS-CoV-2: wastewater surveillance,5736305,CSIR-NCL,2023-09-14,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198890,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN167_barcode34,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:00:00Z,1,PR-218,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838520,AMPLICON,392,98042559,PRJNA896334,SAMN45996611,SARS-CoV-2: wastewater surveillance,98060159,CSIR-NCL,2023-08-24,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198889,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN160_barcode82,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:00:00Z,1,PR-212,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838521,AMPLICON,71,108604688,PRJNA896334,SAMN45996610,SARS-CoV-2: wastewater surveillance,47587106,CSIR-NCL,2023-07-24,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198888,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP19209,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:00:00Z,1,PR-203,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838522,AMPLICON,71,105156875,PRJNA896334,SAMN45996609,SARS-CoV-2: wastewater surveillance,45887239,CSIR-NCL,2023-07-20,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198887,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP19203,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:00:00Z,1,PR-202,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838523,AMPLICON,71,96236119,PRJNA896334,SAMN45996608,SARS-CoV-2: wastewater surveillance,41264462,CSIR-NCL,2023-07-06,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198886,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP19159,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-198,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838524,AMPLICON,71,83320743,PRJNA896334,SAMN45996607,SARS-CoV-2: wastewater surveillance,36222521,CSIR-NCL,2023-06-26,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198885,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP19121,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-195,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838525,AMPLICON,71,116059077,PRJNA896334,SAMN45996606,SARS-CoV-2: wastewater surveillance,49592459,CSIR-NCL,2023-06-22,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198884,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP19115,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-194,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838526,AMPLICON,71,154834442,PRJNA896334,SAMN45996605,SARS-CoV-2: wastewater surveillance,65683182,CSIR-NCL,2023-06-19,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198883,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP19094,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-193,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838527,AMPLICON,71,80279154,PRJNA896334,SAMN45996604,SARS-CoV-2: wastewater surveillance,35537436,CSIR-NCL,2023-06-05,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198882,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP19055,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-189,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838528,AMPLICON,71,70419613,PRJNA896334,SAMN45996559,SARS-CoV-2: wastewater surveillance,25875406,CSIR-NCL,2022-06-30,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198881,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP15864,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-94,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838529,AMPLICON,71,114846023,PRJNA896334,SAMN45996603,SARS-CoV-2: wastewater surveillance,50831334,CSIR-NCL,2023-06-01,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198880,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP19044,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-188,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838530,AMPLICON,71,156083143,PRJNA896334,SAMN45996602,SARS-CoV-2: wastewater surveillance,66632632,CSIR-NCL,2023-05-25,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198879,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP18377,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-186,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838531,AMPLICON,70,68781529,PRJNA896334,SAMN45996601,SARS-CoV-2: wastewater surveillance,28656258,CSIR-NCL,2023-05-22,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198878,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP18366,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-185,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838532,AMPLICON,71,97553322,PRJNA896334,SAMN45996600,SARS-CoV-2: wastewater surveillance,42755307,CSIR-NCL,2023-05-18,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198877,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP19005,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:02:00Z,1,PR-184,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
