Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1,collected_by,collection_site_id,concentration_method,extraction_control,extraction_method,project_name,purpose_of_ww_sampling,sequenced_by,ww_flow,ww_sample_site,ww_surv_target_1_extract,ww_surv_target_1_extract_unit,ww_surv_target_1_protocol,isolate
SRR20318473,AMPLICON,302,40379816,PRJNA796340,SAMN29836590,SARS-CoV-2: wastewater surveillance,22055764,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"fastq,sra,activ_sars2_vcf,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX16351756,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-MC,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:01:00Z,1,112921-MC,SRP354595,20161,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,58
SRR20318474,AMPLICON,302,27785812,PRJNA796340,SAMN29836589,SARS-CoV-2: wastewater surveillance,15294411,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"activ_sars2_vcf,sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX16351755,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-KWW,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:01:00Z,1,112921-KWW,SRP354595,2589,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,57
SRR20318475,AMPLICON,302,35850722,PRJNA796340,SAMN29836588,SARS-CoV-2: wastewater surveillance,19528525,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"activ_sars2_vcf,run.zq,sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX16351754,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-KW,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,112921-KW,SRP354595,52055,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,56
SRR20318476,AMPLICON,302,30361872,PRJNA796340,SAMN29836587,SARS-CoV-2: wastewater surveillance,16628609,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"run.zq,fastq,sra,activ_sars2_vcf","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX16351753,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-KB,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,112921-KB,SRP354595,124000,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,55
SRR20318477,AMPLICON,302,20261180,PRJNA796340,SAMN29836586,SARS-CoV-2: wastewater surveillance,11599000,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"sra,fastq,activ_sars2_vcf,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX16351752,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-IV,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,112921-IV,SRP354595,16804,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,54
SRR20318478,AMPLICON,302,27342476,PRJNA796340,SAMN29836585,SARS-CoV-2: wastewater surveillance,16154237,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"sra,run.zq,fastq,activ_sars2_vcf","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX16351751,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-HO,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:01:00Z,1,112921-HO,SRP354595,9375,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,53
SRR20318479,AMPLICON,302,34419544,PRJNA796340,SAMN29836584,SARS-CoV-2: wastewater surveillance,18342993,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"run.zq,activ_sars2_vcf,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX16351750,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-GR,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,112921-GR,SRP354595,28742,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,52
SRR20318480,AMPLICON,302,6974086,PRJNA796340,SAMN29836583,SARS-CoV-2: wastewater surveillance,4021935,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"sra,run.zq,activ_sars2_vcf,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX16351749,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-FC,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,112921-FC,SRP354595,4170,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,51
SRR20318481,AMPLICON,240,43913281,PRJNA796340,SAMN29836538,SARS-CoV-2: wastewater surveillance,25164062,HOUSTON_WBE_SARS-COV-2,2021-04-19,public,"run.zq,activ_sars2_vcf,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX16351748,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,0419-76,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,0419-76,SRP354595,976,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,6
SRR20318482,AMPLICON,302,44282562,PRJNA796340,SAMN29836582,SARS-CoV-2: wastewater surveillance,23744883,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"sra,activ_sars2_vcf,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX16351747,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-EH,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,112921-EH,SRP354595,16030,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,50
SRR20318483,AMPLICON,302,16759490,PRJNA796340,SAMN29836581,SARS-CoV-2: wastewater surveillance,9828929,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"sra,fastq,run.zq,activ_sars2_vcf","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX16351746,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-CP,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,112921-CP,SRP354595,3825,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,49
SRR20318484,AMPLICON,302,31713624,PRJNA796340,SAMN29836580,SARS-CoV-2: wastewater surveillance,17327077,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"sra,fastq,activ_sars2_vcf,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX16351745,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-CD,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,112921-CD,SRP354595,1722,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,48
SRR20318485,AMPLICON,302,21034300,PRJNA796340,SAMN29836579,SARS-CoV-2: wastewater surveillance,11781516,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"sra,run.zq,activ_sars2_vcf,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX16351744,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-CB,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,112921-CB,SRP354595,37359,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,47
SRR20318486,AMPLICON,302,46536992,PRJNA796340,SAMN29836578,SARS-CoV-2: wastewater surveillance,25383919,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"activ_sars2_vcf,run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX16351743,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-BW,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,112921-BW,SRP354595,70900,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,46
SRR20318487,AMPLICON,302,24089332,PRJNA796340,SAMN29836577,SARS-CoV-2: wastewater surveillance,13076432,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX16351742,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-AS,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,112921-AS,SRP354595,117968,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,45
SRR20318488,AMPLICON,302,24392540,PRJNA796340,SAMN29836576,SARS-CoV-2: wastewater surveillance,13425760,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"run.zq,activ_sars2_vcf,sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX16351741,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-76,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,112921-76,SRP354595,976,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,44
SRR20318489,AMPLICON,302,43551722,PRJNA796340,SAMN29836575,SARS-CoV-2: wastewater surveillance,23658287,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"run.zq,sra,fastq,activ_sars2_vcf","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX16351740,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-69,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,112921-69,SRP354595,551150,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,43
SRR20318490,AMPLICON,302,22817610,PRJNA796340,SAMN29836574,SARS-CoV-2: wastewater surveillance,12306617,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"fastq,sra,activ_sars2_vcf,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX16351739,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-47,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,112921-47,SRP354595,33645,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,42
SRR20318491,AMPLICON,302,35553554,PRJNA796340,SAMN29836573,SARS-CoV-2: wastewater surveillance,19201892,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX16351738,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-23,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,112921-23,SRP354595,40689,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,41
SRR20318492,AMPLICON,246,34575277,PRJNA796340,SAMN29836537,SARS-CoV-2: wastewater surveillance,20621224,HOUSTON_WBE_SARS-COV-2,2021-04-19,public,"sra,activ_sars2_vcf,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX16351737,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,0419-69,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,0419-69,SRP354595,551150,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,5
SRR20318493,AMPLICON,302,32680326,PRJNA796340,SAMN29836572,SARS-CoV-2: wastewater surveillance,18442088,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"sra,fastq,activ_sars2_vcf,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX16351736,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-203,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,112921-203,SRP354595,4010,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,40
SRR20318494,AMPLICON,302,23919004,PRJNA796340,SAMN29836571,SARS-CoV-2: wastewater surveillance,13028902,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"fastq,activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX16351735,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-111,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,112921-111,SRP354595,20920,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,39
SRR20318495,AMPLICON,241,40138788,PRJNA796340,SAMN29836542,SARS-CoV-2: wastewater surveillance,22759477,HOUSTON_WBE_SARS-COV-2,2021-04-19,public,"sra,fastq,activ_sars2_vcf,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX16351734,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,0419-CD,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,0419-CD,SRP354595,1722,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,10
SRR20318496,AMPLICON,243,43151845,PRJNA796340,SAMN29836541,SARS-CoV-2: wastewater surveillance,24981289,HOUSTON_WBE_SARS-COV-2,2021-04-19,public,"run.zq,sra,activ_sars2_vcf,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX16351733,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,0419-CB,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,0419-CB,SRP354595,37359,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,9
SRR20318497,AMPLICON,302,37162912,PRJNA796340,SAMN29836608,SARS-CoV-2: wastewater surveillance,20567489,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"activ_sars2_vcf,run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX16351732,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-WW,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,112921-WW,SRP354595,3623,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,76
SRR20318498,AMPLICON,302,65915426,PRJNA796340,SAMN29836607,SARS-CoV-2: wastewater surveillance,34737185,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"sra,fastq,activ_sars2_vcf,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX16351731,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-WO,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,112921-WO,SRP354595,20758,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,75
SRR20318499,AMPLICON,302,40164188,PRJNA796340,SAMN29836606,SARS-CoV-2: wastewater surveillance,23499046,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"activ_sars2_vcf,fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX16351730,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-WL,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,112921-WL,SRP354595,600,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,74
SRR20318500,AMPLICON,302,42907556,PRJNA796340,SAMN29836605,SARS-CoV-2: wastewater surveillance,23521734,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"activ_sars2_vcf,run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX16351729,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-WD,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,112921-WD,SRP354595,85129,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,73
SRR20318501,AMPLICON,302,43507630,PRJNA796340,SAMN29836604,SARS-CoV-2: wastewater surveillance,23427930,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"run.zq,activ_sars2_vcf,fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX16351728,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-WB,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,112921-WB,SRP354595,8610,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,72
SRR20318502,AMPLICON,302,38446110,PRJNA796340,SAMN29836603,SARS-CoV-2: wastewater surveillance,21988967,HOUSTON_WBE_SARS-COV-2,2021-11-29,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX16351727,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,112921-UB,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,112921-UB,SRP354595,97918,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,71
SRR20318503,AMPLICON,239,38699646,PRJNA796340,SAMN29836540,SARS-CoV-2: wastewater surveillance,21712230,HOUSTON_WBE_SARS-COV-2,2021-04-19,public,"run.zq,activ_sars2_vcf,fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX16351726,USA,North America,"USA: Texas\, Houston",Illumina MiSeq,environmental,0419-BW,PAIRED,unspecified,METATRANSCRIPTOMIC,wastewater metagenome,ILLUMINA,2022-07-19T00:00:00Z,2022-07-19T18:02:00Z,1,0419-BW,SRP354595,70900,24,raw wastewater,composite,yes,SARS-CoV-2,,,,,,,,,,,,,,8
