Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,collection_date (run),Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,fasta_file (run),geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SAMPLE,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1
SRR23702738,AMPLICON,288,347377156,PRJNA941107,SAMN33590062,SARS-CoV-2: wastewater surveillance,86595361,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,8/10/21,2021-08-10,public,"activ_sars2_vcf,bam,run.zq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,gs.US,ncbi.public",SRX19564607,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: Zandvleit Wastewater\, City of Cape Town MM\, Western Cape",NextSeq 2000,urban wastewater treatment facility,21-0345,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:44:00Z,1,21-0345,21-0345,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702739,AMPLICON,286,257825578,PRJNA941107,SAMN33590061,SARS-CoV-2: wastewater surveillance,68333750,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,8/10/21,2021-08-10,public,"run.zq,sra,activ_sars2_vcf,bam","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1,gs.US",SRX19564606,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: Brickfield Pretreatment\, NELSON MANDELA BAY METRO\, Eastern Cape",NextSeq 2000,urban wastewater treatment facility,21-0344,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:44:00Z,1,21-0344,21-0344,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702740,AMPLICON,290,453858768,PRJNA941107,SAMN33590060,SARS-CoV-2: wastewater surveillance,108209331,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,8/10/21,2021-08-10,public,"sra,activ_sars2_vcf,bam,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,gs.US,ncbi.public",SRX19564605,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: Kwanobuhle Waterwaste\, NELSON MANDELA BAY METRO\, Eastern Cape",NextSeq 2000,urban wastewater treatment facility,21-0343,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:44:00Z,1,21-0343,21-0343,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702741,AMPLICON,290,390636727,PRJNA941107,SAMN33590059,SARS-CoV-2: wastewater surveillance,90805935,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,8/10/21,2021-08-10,public,"activ_sars2_vcf,bam,run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US,gs.us-east1",SRX19564604,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: Mdantsane waterwaste\, BUFFALO CITY MM\, Eastern Cape",NextSeq 2000,urban wastewater treatment facility,21-0342,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:44:00Z,1,21-0342,21-0342,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702742,AMPLICON,271,891768,PRJNA941107,SAMN33590058,SARS-CoV-2: wastewater surveillance,479364,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,8/10/21,2021-08-10,public,"sra,bam,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX19564603,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: East Bank waterwaste\, BUFFALO CITY MM\, Eastern Cape",NextSeq 2000,urban wastewater treatment facility,21-0341,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:44:00Z,1,21-0341,21-0341,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702743,AMPLICON,294,340543096,PRJNA941107,SAMN33590057,SARS-CoV-2: wastewater surveillance,83422016,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,6/8/21,2021-06-08,public,"activ_sars2_vcf,bam,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public,gs.us-east1",SRX19564602,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: Sterkwater Wastewater\, MANGAUNG\, Free State",NextSeq 2000,urban wastewater treatment facility,21-034,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:45:00Z,1,21-034,21-034,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702744,AMPLICON,290,461568792,PRJNA941107,SAMN33590056,SARS-CoV-2: wastewater surveillance,106375067,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,8/3/21,2021-08-03,public,"run.zq,activ_sars2_vcf,sra,bam","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US,gs.us-east1",SRX19564601,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: Northern Wastewater\, Johannesburg\, Gauteng",NextSeq 2000,urban wastewater treatment facility,21-0334,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:46:00Z,1,21-0334,21-0334,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702745,AMPLICON,291,449837389,PRJNA941107,SAMN33590055,SARS-CoV-2: wastewater surveillance,102731255,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,8/3/21,2021-08-03,public,"bam,sra,run.zq,activ_sars2_vcf","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1,gs.US",SRX19564600,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: Daspoort Wastewater\, Tshwane \, Gauteng",NextSeq 2000,urban wastewater treatment facility,21-0333,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:45:00Z,1,21-0333,21-0333,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702746,AMPLICON,288,48641059,PRJNA941107,SAMN33590001,SARS-CoV-2: wastewater surveillance,13519759,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,4/12/21,2021-04-12,public,"activ_sars2_vcf,bam,sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,gs.us-east1,ncbi.public",SRX19564599,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: Borcheds Quarry Wastewater\, City of Cape Town MM\, Western Cape",NextSeq 2000,urban wastewater treatment facility,21-0147,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:45:00Z,1,21-0147,21-0147,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702747,AMPLICON,291,398843369,PRJNA941107,SAMN33590054,SARS-CoV-2: wastewater surveillance,92506388,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,8/3/21,2021-08-03,public,"bam,run.zq,activ_sars2_vcf,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US,gs.us-east1",SRX19564598,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: Hartebeesfontein Waterworks\, Ekurhuleni\, Gauteng",NextSeq 2000,urban wastewater treatment facility,21-0332,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:45:00Z,1,21-0332,21-0332,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702748,AMPLICON,292,409306967,PRJNA941107,SAMN33590053,SARS-CoV-2: wastewater surveillance,104568480,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,6/8/21,2021-06-08,public,"sra,activ_sars2_vcf,run.zq,bam","gs,ncbi,s3","gs.us-east1,gs.US,s3.us-east-1,ncbi.public",SRX19564597,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: Rooiwal Wastewater Treatment Works\, Tshwane \, Gauteng",NextSeq 2000,urban wastewater treatment facility,21-033,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:45:00Z,1,21-033,21-033,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702749,AMPLICON,293,130411185,PRJNA941107,SAMN33590052,SARS-CoV-2: wastewater surveillance,32827344,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,6/8/21,2021-06-08,public,"activ_sars2_vcf,run.zq,bam,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1,gs.us-east1",SRX19564596,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: Hartebeesfontein Waterworks\, Ekurhuleni\, Gauteng",NextSeq 2000,urban wastewater treatment facility,21-032,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:45:00Z,1,21-032,21-032,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702750,AMPLICON,294,416924742,PRJNA941107,SAMN33590051,SARS-CoV-2: wastewater surveillance,101085951,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,6/8/21,2021-06-08,public,"sra,bam,run.zq,activ_sars2_vcf","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1,gs.US",SRX19564595,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: Daspoort Wastewater\, Tshwane \, Gauteng",NextSeq 2000,urban wastewater treatment facility,21-030,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:45:00Z,1,21-030,21-030,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702751,AMPLICON,290,361022570,PRJNA941107,SAMN33590050,SARS-CoV-2: wastewater surveillance,86426467,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,7/30/21,2021-07-30,public,"bam,sra,activ_sars2_vcf,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,gs.US,s3.us-east-1",SRX19564594,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: GOUDKOPPIES WWTW\, Johannesburg MM\, Gauteng",NextSeq 2000,urban wastewater treatment facility,21-0297,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:45:00Z,1,21-0297,21-0297,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702752,AMPLICON,290,423209023,PRJNA941107,SAMN33590049,SARS-CoV-2: wastewater surveillance,99008534,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,7/26/21,2021-07-26,public,"bam,activ_sars2_vcf,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,gs.us-east1,s3.us-east-1",SRX19564593,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: Northern Wastewater\, ETHEKWINI\, Kwa-Zulu Natal",NextSeq 2000,urban wastewater treatment facility,21-0292,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:45:00Z,1,21-0292,21-0292,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702753,AMPLICON,284,310715064,PRJNA941107,SAMN33590048,SARS-CoV-2: wastewater surveillance,59494364,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,7/26/21,2021-07-26,public,"sra,activ_sars2_vcf,bam,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public,gs.us-east1",SRX19564564,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: CENTRAL WASTEWATER TREATMENT WORKS\, ETHEKWINI\, Kwa-Zulu Natal",NextSeq 2000,urban wastewater treatment facility,21-0291,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:45:00Z,1,21-0291,21-0291,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702754,AMPLICON,291,300755463,PRJNA941107,SAMN33590221,SARS-CoV-2: wastewater surveillance,66577923,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,11/29/21,2021-11-29,public,"sra,activ_sars2_vcf,bam,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public,gs.US",SRX19564591,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: ERWAT VLAKPLAATS WWTW\, Ekurhuleni\, Gauteng",NextSeq 2000,urban wastewater treatment facility,21-273,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:45:00Z,1,21-273,21-273,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702755,AMPLICON,279,10481892,PRJNA941107,SAMN33590220,SARS-CoV-2: wastewater surveillance,3235072,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,11/23/21,2021-11-23,public,"run.zq,sra,bam","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX19564590,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: Mdantsane waterwaste\, BUFFALO CITY MM\, Eastern Cape",NextSeq 2000,urban wastewater treatment facility,21-272,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:45:00Z,1,21-272,21-272,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702756,AMPLICON,291,731132152,PRJNA941107,SAMN33590219,SARS-CoV-2: wastewater surveillance,154388936,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,11/23/21,2021-11-23,public,"activ_sars2_vcf,run.zq,bam,sra","s3,ncbi,gs","s3.us-east-1,gs.US,gs.us-east1,ncbi.public",SRX19564589,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: Bloemspruit Wastewater\, MANGAUNG\, Free State",NextSeq 2000,urban wastewater treatment facility,21-269,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:46:00Z,1,21-269,21-269,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702757,AMPLICON,291,1163394220,PRJNA941107,SAMN33590218,SARS-CoV-2: wastewater surveillance,242536691,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,11/23/21,2021-11-23,public,"bam,run.zq,activ_sars2_vcf,sra","ncbi,gs,s3","ncbi.public,gs.US,gs.us-east1,s3.us-east-1",SRX19564588,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: Hartebeesfontein Waterworks\, Ekurhuleni\, Gauteng",NextSeq 2000,urban wastewater treatment facility,21-268,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:47:00Z,1,21-268,21-268,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702758,AMPLICON,291,441568317,PRJNA941107,SAMN33590217,SARS-CoV-2: wastewater surveillance,95028552,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,11/23/21,2021-11-23,public,"run.zq,bam,activ_sars2_vcf,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1,gs.us-east1",SRX19564587,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: Zandvleit Wastewater\, City of Cape Town MM\, Western Cape",NextSeq 2000,urban wastewater treatment facility,21-267,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:46:00Z,1,21-267,21-267,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR23702759,AMPLICON,291,1136829721,PRJNA941107,SAMN33590216,SARS-CoV-2: wastewater surveillance,238785368,NATIONAL INSTITUTE FOR COMMUNICABLE DISEASES (NICD),NICD,11/23/21,2021-11-23,public,"bam,activ_sars2_vcf,run.zq,sra","gs,s3,ncbi","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX19564586,NC_045512_Hu-1.fasta,South Africa,Africa,"South Africa: Daspoort Wastewater\, Tshwane \, Gauteng",NextSeq 2000,urban wastewater treatment facility,21-266,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2023-03-08T00:00:00Z,2023-03-08T06:47:00Z,1,21-266,21-266,SRP425716,NA,0,raw wastewater,grab,yes,SARS-CoV-2
