Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR14276230,AMPLICON,302,7329186962,PRJNA720687,SAMN18676771,Pathogen.env,3130528525,OREGON STATE UNIVERSITY,TRACE OSU,2020-08-05,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX10637586,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-08-05-20-A/2020,environmental,not collected,NP_065,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:34:00Z,1,NP-Inf-08-05-20-A,SRP315405
SRR14276231,AMPLICON,302,8064835104,PRJNA720687,SAMN18676770,Pathogen.env,3371677109,OREGON STATE UNIVERSITY,TRACE OSU,2020-07-30,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX10637585,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-07-30-20-A/2020,environmental,not collected,NP_064,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:36:00Z,1,NP-Inf-07-30-20-A,SRP315405
SRR14276232,AMPLICON,302,7437672610,PRJNA720687,SAMN18676769,Pathogen.env,3095110084,OREGON STATE UNIVERSITY,TRACE OSU,2020-07-29,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10637584,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-07-29-20-A2/2020,environmental,not collected,NP_063,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T23:06:00Z,1,NP-Inf-07-29-20-A2,SRP315405
SRR14276233,AMPLICON,302,8874592536,PRJNA720687,SAMN18676768,Pathogen.env,3685511679,OREGON STATE UNIVERSITY,TRACE OSU,2020-07-29,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX10637583,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-07-29-20-A1/2020,environmental,not collected,NP_062,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T23:03:00Z,1,NP-Inf-07-29-20-A1,SRP315405
SRR14276234,AMPLICON,302,7770143504,PRJNA720687,SAMN18676767,Pathogen.env,3223521366,OREGON STATE UNIVERSITY,TRACE OSU,2020-07-24,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX10637582,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-07-24-20-A2/2020,environmental,not collected,NP_061,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:38:00Z,1,NP-Inf-07-24-20-A2,SRP315405
SRR14276235,AMPLICON,302,5449637112,PRJNA720687,SAMN18676713,Pathogen.env,2306141731,OREGON STATE UNIVERSITY,TRACE OSU,2020-06-19,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10637581,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Bayfront-06-19-20-B1/2020,environmental,not collected,NP_007,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:31:00Z,1,NP-Bayfront-06-19-20-B1,SRP315405
SRR14276236,AMPLICON,302,8290018082,PRJNA720687,SAMN18676766,Pathogen.env,3488612484,OREGON STATE UNIVERSITY,TRACE OSU,2020-07-24,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX10637580,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-07-24-20-A1/2020,environmental,not collected,NP_060,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T23:06:00Z,1,NP-Inf-07-24-20-A1,SRP315405
SRR14276237,AMPLICON,302,7242711678,PRJNA720687,SAMN18676765,Pathogen.env,3038000885,OREGON STATE UNIVERSITY,TRACE OSU,2020-07-23,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX10637579,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-07-23-20-A2/2020,environmental,not collected,NP_059,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:48:00Z,1,NP-Inf-07-23-20-A2,SRP315405
SRR14276238,AMPLICON,302,9137949824,PRJNA720687,SAMN18676764,Pathogen.env,3845945052,OREGON STATE UNIVERSITY,TRACE OSU,2020-07-23,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX10637578,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-07-23-20-A1/2020,environmental,not collected,NP_058,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T23:17:00Z,1,NP-Inf-07-23-20-A1,SRP315405
SRR14276239,AMPLICON,302,8963478082,PRJNA720687,SAMN18676763,Pathogen.env,3781463434,OREGON STATE UNIVERSITY,TRACE OSU,2020-07-17,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10637577,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-07-17-20-A/2020,environmental,not collected,NP_057,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:34:00Z,1,NP-Inf-07-17-20-A,SRP315405
SRR14276240,AMPLICON,302,8721746108,PRJNA720687,SAMN18676762,Pathogen.env,3657141487,OREGON STATE UNIVERSITY,TRACE OSU,2020-07-16,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX10637576,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-07-16-20-A/2020,environmental,not collected,NP_056,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T23:09:00Z,1,NP-Inf-07-16-20-A,SRP315405
SRR14276241,AMPLICON,302,9172292358,PRJNA720687,SAMN18676761,Pathogen.env,3837135820,OREGON STATE UNIVERSITY,TRACE OSU,2020-07-15,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX10637575,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-07-15-20-A/2020,environmental,not collected,NP_055,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:36:00Z,1,NP-Inf-07-15-20-A,SRP315405
SRR14276242,AMPLICON,302,7984138892,PRJNA720687,SAMN18676760,Pathogen.env,3447911682,OREGON STATE UNIVERSITY,TRACE OSU,2020-07-10,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX10637574,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-07-10-20-A2/2020,environmental,not collected,NP_054,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:53:00Z,1,NP-Inf-07-10-20-A2,SRP315405
SRR14276243,AMPLICON,302,827155350,PRJNA720687,SAMN18676759,Pathogen.env,363780598,OREGON STATE UNIVERSITY,TRACE OSU,2020-07-10,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX10637573,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-07-10-20-A1/2020,environmental,not collected,NP_053,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:21:00Z,1,NP-Inf-07-10-20-A1,SRP315405
SRR14276244,AMPLICON,302,485439934,PRJNA720687,SAMN18676758,Pathogen.env,210344015,OREGON STATE UNIVERSITY,TRACE OSU,2020-07-09,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX10637572,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-07-09-20-A/2020,environmental,not collected,NP_052,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:20:00Z,1,NP-Inf-07-09-20-A,SRP315405
SRR14276245,AMPLICON,302,7397498154,PRJNA720687,SAMN18676757,Pathogen.env,3126528748,OREGON STATE UNIVERSITY,TRACE OSU,2020-07-08,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX10637571,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-07-08-20-B2/2020,environmental,not collected,NP_051,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:34:00Z,1,NP-Inf-07-08-20-B2,SRP315405
SRR14276246,AMPLICON,302,61063192,PRJNA720687,SAMN18676712,Pathogen.env,34588064,OREGON STATE UNIVERSITY,TRACE OSU,2020-06-19,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX10637570,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-56StPS-06-19-20-A/2020,environmental,not collected,NP_006,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:20:00Z,1,NP-56StPS-06-19-20-A,SRP315405
SRR14276247,AMPLICON,302,4638138348,PRJNA720687,SAMN18676756,Pathogen.env,2009780239,OREGON STATE UNIVERSITY,TRACE OSU,2020-07-08,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX10637569,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-07-08-20-B1/2020,environmental,not collected,NP_050,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:29:00Z,1,NP-Inf-07-08-20-B1,SRP315405
SRR14276248,AMPLICON,302,7146881944,PRJNA720687,SAMN18676755,Pathogen.env,3078321806,OREGON STATE UNIVERSITY,TRACE OSU,2020-07-08,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX10637568,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-07-08-20-A2/2020,environmental,not collected,NP_049,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:35:00Z,1,NP-Inf-07-08-20-A2,SRP315405
SRR14276249,AMPLICON,302,1045617922,PRJNA720687,SAMN18676754,Pathogen.env,439115251,OREGON STATE UNIVERSITY,TRACE OSU,2020-07-08,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX10637567,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-07-08-20-A1/2020,environmental,not collected,NP_048,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:22:00Z,1,NP-Inf-07-08-20-A1,SRP315405
SRR14276250,AMPLICON,302,748789068,PRJNA720687,SAMN18676753,Pathogen.env,315506432,OREGON STATE UNIVERSITY,TRACE OSU,2020-07-02,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX10637566,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-07-02-20-A/2020,environmental,not collected,NP_047,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:21:00Z,1,NP-Inf-07-02-20-A,SRP315405
SRR14276251,AMPLICON,302,2438629162,PRJNA720687,SAMN18676752,Pathogen.env,976080047,OREGON STATE UNIVERSITY,TRACE OSU,2020-07-01,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX10637565,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-07-01-20-B2/2020,environmental,not collected,NP_046,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:24:00Z,1,NP-Inf-07-01-20-B2,SRP315405
SRR14276252,AMPLICON,302,5453264434,PRJNA720687,SAMN18676751,Pathogen.env,2203752603,OREGON STATE UNIVERSITY,TRACE OSU,2020-07-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX10637564,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-07-01-20-B1/2020,environmental,not collected,NP_045,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:38:00Z,1,NP-Inf-07-01-20-B1,SRP315405
SRR14276253,AMPLICON,302,1144149348,PRJNA720687,SAMN18676750,Pathogen.env,465780995,OREGON STATE UNIVERSITY,TRACE OSU,2020-07-01,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX10637563,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-07-01-20-A1/2020,environmental,not collected,NP_044,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:22:00Z,1,NP-Inf-07-01-20-A1,SRP315405
SRR14276254,AMPLICON,302,2307899704,PRJNA720687,SAMN18676749,Pathogen.env,929486109,OREGON STATE UNIVERSITY,TRACE OSU,2020-06-26,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX10637562,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-06-26-20-B2/2020,environmental,not collected,NP_043,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:24:00Z,1,NP-Inf-06-26-20-B2,SRP315405
SRR14276255,AMPLICON,302,8228319482,PRJNA720687,SAMN18676748,Pathogen.env,3388924727,OREGON STATE UNIVERSITY,TRACE OSU,2020-06-26,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX10637561,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-06-26-20-B1/2020,environmental,not collected,NP_042,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:38:00Z,1,NP-Inf-06-26-20-B1,SRP315405
SRR14276256,AMPLICON,302,733690880,PRJNA720687,SAMN18676747,Pathogen.env,308212194,OREGON STATE UNIVERSITY,TRACE OSU,2020-06-26,public,"fastq,sra,run.zq,activ_sars2_vcf","gs,ncbi,s3","s3.us-east-1,gs.us-east1,gs.US,ncbi.public",SRX10637560,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-06-26-20-A1/2020,environmental,not collected,NP_041,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:22:00Z,1,NP-Inf-06-26-20-A1,SRP315405
SRR14276257,AMPLICON,302,1939768650,PRJNA720687,SAMN18676711,Pathogen.env,838050347,OREGON STATE UNIVERSITY,TRACE OSU,2020-06-19,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX10637559,USA,North America,USA: Oregon,Illumina MiSeq,SARS-Cov-2/environmental/USA/NP-56StPS-06-19-20-A_miseq/2020,environmental,not collected,NP_005,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:24:00Z,1,NP-56StPS-06-19-20-A_miseq,SRP315405
SRR14276258,AMPLICON,302,907450204,PRJNA720687,SAMN18676746,Pathogen.env,378959326,OREGON STATE UNIVERSITY,TRACE OSU,2020-06-25,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX10637558,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-06-25-20-A/2020,environmental,not collected,NP_040,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:24:00Z,1,NP-Inf-06-25-20-A,SRP315405
SRR14276259,AMPLICON,302,5033052876,PRJNA720687,SAMN18676745,Pathogen.env,2002602034,OREGON STATE UNIVERSITY,TRACE OSU,2020-06-24,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX10637557,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-06-24-20-B2/2020,environmental,not collected,NP_039,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:33:00Z,1,NP-Inf-06-24-20-B2,SRP315405
SRR14276260,AMPLICON,302,6119203728,PRJNA720687,SAMN18676744,Pathogen.env,2429152251,OREGON STATE UNIVERSITY,TRACE OSU,2020-06-24,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX10637556,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-06-24-20-B1/2020,environmental,not collected,NP_038,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:33:00Z,1,NP-Inf-06-24-20-B1,SRP315405
SRR14276261,AMPLICON,302,1268599622,PRJNA720687,SAMN18676743,Pathogen.env,521592636,OREGON STATE UNIVERSITY,TRACE OSU,2020-06-24,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX10637555,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-06-24-20-A1/2020,environmental,not collected,NP_037,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:25:00Z,1,NP-Inf-06-24-20-A1,SRP315405
SRR14276262,AMPLICON,302,5588275648,PRJNA720687,SAMN18676742,Pathogen.env,2427250970,OREGON STATE UNIVERSITY,TRACE OSU,2020-06-19,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10637554,USA,North America,USA: Oregon,Illumina HiSeq 3000,SARS-Cov-2/environmental/USA/NP-Inf-06-19-20-B2/2020,environmental,not collected,NP_036,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-19T00:00:00Z,2021-04-19T22:33:00Z,1,NP-Inf-06-19-20-B2,SRP315405
