Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_Source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,collected_by (run),collection_date (run),geo_loc_name (run),isolation_source (run),organism (run),ww_population (run),ww_population,ww_sample_duration (run),ww_sample_duration,ww_sample_matrix (run),ww_sample_matrix,ww_sample_type (run),ww_sample_type,ww_surv_target_1_known_present (run),ww_surv_target_1_known_present,ww_surv_target_1 (run),ww_surv_target_1,sequenced_by,wwtp,design_description,filename2,filename,filetype,INSTRUMENT_MODEL,Library_ID,library_layout,library_selection,library_source,library_strategy,platform,Title,Isolate,Lat_Lon,STRAIN,passage_history
SRR18583056,AMPLICON,602,64782424,PRJNA715712,SAMN27252853,SARS-CoV-2: wastewater surveillance,26612097,THE NEW SCHOOL,NY DEP,2021-06-28,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX14712161,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-NY12-2021-06-28-RBD,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-NY12-2021-06-28,SRP311364,NYC DEP,2021-06-28,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,NY12,,,,,,,,,,,,,,,,
SRR18583058,AMPLICON,602,93934876,PRJNA715712,SAMN27252820,SARS-CoV-2: wastewater surveillance,50069884,THE NEW SCHOOL,NY DEP,2021-09-08,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX14712159,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-BB-2021-09-08-RBD,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-BB-2021-09-08,SRP311364,NYC DEP,2021-09-08,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,BB,,,,,,,,,,,,,,,,
SRR18583059,AMPLICON,602,83616596,PRJNA715712,SAMN27252819,SARS-CoV-2: wastewater surveillance,37929438,THE NEW SCHOOL,NY DEP,2021-08-23,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX14712158,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-BB-2021-08-23-RBD,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-BB-2021-08-23,SRP311364,NYC DEP,2021-08-23,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,BB,,,,,,,,,,,,,,,,
SRR18583060,AMPLICON,602,107582216,PRJNA715712,SAMN27252818,SARS-CoV-2: wastewater surveillance,61495814,THE NEW SCHOOL,NY DEP,2022-03-07,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX14712157,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-BB-2022-03-07-RBD,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-BB-2022-03-07,SRP311364,NYC DEP,2022-03-07,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,BB,,,,,,,,,,,,,,,,
SRR18583061,AMPLICON,602,110893216,PRJNA715712,SAMN27252817,SARS-CoV-2: wastewater surveillance,65251720,THE NEW SCHOOL,NY DEP,2022-02-28,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX14712156,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-BB-2022-02-28-RBD,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-BB-2022-02-28,SRP311364,NYC DEP,2022-02-28,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,BB,,,,,,,,,,,,,,,,
SRR18583062,AMPLICON,602,111757086,PRJNA715712,SAMN27252817,SARS-CoV-2: wastewater surveillance,60438773,THE NEW SCHOOL,NY DEP,2022-02-28,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX14712155,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-BB-2022-02-28-NTD,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-BB-2022-02-28,SRP311364,NYC DEP,2022-02-28,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,BB,,,,,,,,,,,,,,,,
SRR18583063,AMPLICON,602,117234082,PRJNA715712,SAMN27252816,SARS-CoV-2: wastewater surveillance,55769439,THE NEW SCHOOL,NY DEP,2022-02-14,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX14712154,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-BB-2022-02-14-RBD,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-BB-2022-02-14,SRP311364,NYC DEP,2022-02-14,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,BB,,,,,,,,,,,,,,,,
SRR18583065,AMPLICON,602,92103592,PRJNA715712,SAMN27252814,SARS-CoV-2: wastewater surveillance,40260790,THE NEW SCHOOL,NY DEP,2021-12-27,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX14712152,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-BB-2021-12-27-Mixed,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-BB-2021-12-27,SRP311364,NYC DEP,2021-12-27,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,BB,,,,,,,,,,,,,,,,
SRR18583066,AMPLICON,602,81605916,PRJNA715712,SAMN27252813,SARS-CoV-2: wastewater surveillance,35977527,THE NEW SCHOOL,NY DEP,2021-12-13,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX14712151,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-BB-2021-12-13-Mixed,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-BB-2021-12-13,SRP311364,NYC DEP,2021-12-13,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,BB,,,,,,,,,,,,,,,,
SRR18583067,AMPLICON,602,70780752,PRJNA715712,SAMN27252812,SARS-CoV-2: wastewater surveillance,35527953,THE NEW SCHOOL,NY DEP,2021-11-08,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX14712150,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-BB-2021-11-08-Mixed,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-BB-2021-11-08,SRP311364,NYC DEP,2021-11-08,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,BB,,,,,,,,,,,,,,,,
SRR18583068,AMPLICON,602,85386476,PRJNA715712,SAMN27252783,SARS-CoV-2: wastewater surveillance,39871465,THE NEW SCHOOL,NY DEP,2021-08-09,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX14712149,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-CI-2021-08-09-RBD,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-CI-2021-08-09,SRP311364,NYC DEP,2021-08-09,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,CI,,,,,,,,,,,,,,,,
SRR18583069,AMPLICON,602,102262342,PRJNA715712,SAMN27252811,SARS-CoV-2: wastewater surveillance,42144889,THE NEW SCHOOL,NY DEP,2021-11-29,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX14712148,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-BB-2021-11-29-Mixed,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-BB-2021-11-29,SRP311364,NYC DEP,2021-11-29,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,BB,,,,,,,,,,,,,,,,
SRR18583070,AMPLICON,602,100844030,PRJNA715712,SAMN27252810,SARS-CoV-2: wastewater surveillance,44271363,THE NEW SCHOOL,NY DEP,2021-11-22,public,"fastq,sra,activ_sars2_vcf","s3,gs","s3.us-east-1,gs.US",SRX14712147,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-BB-2021-11-22-Mixed-2,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-BB-2021-11-22,SRP311364,NYC DEP,2021-11-22,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,BB,,,,,,,,,,,,,,,,
SRR18583071,AMPLICON,602,86277436,PRJNA715712,SAMN27252810,SARS-CoV-2: wastewater surveillance,33552527,THE NEW SCHOOL,NY DEP,2021-11-22,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX14712146,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-BB-2021-11-22-Mixed,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-BB-2021-11-22,SRP311364,NYC DEP,2021-11-22,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,BB,,,,,,,,,,,,,,,,
SRR18583072,AMPLICON,602,81691400,PRJNA715712,SAMN27252810,SARS-CoV-2: wastewater surveillance,35278723,THE NEW SCHOOL,NY DEP,2021-11-22,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX14712145,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-BB-2021-11-22-RBD,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-BB-2021-11-22,SRP311364,NYC DEP,2021-11-22,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,BB,,,,,,,,,,,,,,,,
SRR18583073,AMPLICON,602,138662272,PRJNA715712,SAMN27252809,SARS-CoV-2: wastewater surveillance,59044359,THE NEW SCHOOL,NY DEP,2021-11-15,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX14712144,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-BB-2021-11-15-Mixed,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-BB-2021-11-15,SRP311364,NYC DEP,2021-11-15,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,BB,,,,,,,,,,,,,,,,
SRR18583074,AMPLICON,602,101058342,PRJNA715712,SAMN27252800,SARS-CoV-2: wastewater surveillance,54394418,THE NEW SCHOOL,NY DEP,2021-10-04,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX14712143,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-BB-2021-10-04-Mixed-2,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-BB-2021-10-04,SRP311364,NYC DEP,2021-10-04,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,BB,,,,,,,,,,,,,,,,
SRR18583075,AMPLICON,602,84590632,PRJNA715712,SAMN27252799,SARS-CoV-2: wastewater surveillance,27882482,THE NEW SCHOOL,NY DEP,2021-10-31,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX14712142,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-BB-2021-10-31-Mixed-3,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-BB-2021-10-31,SRP311364,NYC DEP,2021-10-31,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,BB,,,,,,,,,,,,,,,,
SRR18583076,AMPLICON,602,85903594,PRJNA715712,SAMN27252808,SARS-CoV-2: wastewater surveillance,46765524,THE NEW SCHOOL,NY DEP,2021-10-26,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX14712141,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-BB-2021-10-26-Mixed,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-BB-2021-10-26,SRP311364,NYC DEP,2021-10-26,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,BB,,,,,,,,,,,,,,,,
SRR18583077,AMPLICON,602,96681802,PRJNA715712,SAMN27252807,SARS-CoV-2: wastewater surveillance,47834447,THE NEW SCHOOL,NY DEP,2021-10-18,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX14712140,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-BB-2021-10-18-RBD,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-BB-2021-10-18,SRP311364,NYC DEP,2021-10-18,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,BB,,,,,,,,,,,,,,,,
SRR18583078,AMPLICON,602,71875790,PRJNA715712,SAMN27252807,SARS-CoV-2: wastewater surveillance,38345924,THE NEW SCHOOL,NY DEP,2021-10-18,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX14712139,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-BB-2021-10-18-Mixed,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-BB-2021-10-18,SRP311364,NYC DEP,2021-10-18,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,BB,,,,,,,,,,,,,,,,
SRR18583079,AMPLICON,602,80436832,PRJNA715712,SAMN27252782,SARS-CoV-2: wastewater surveillance,34948695,THE NEW SCHOOL,NY DEP,2021-08-16,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX14712138,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-CI-2021-08-16-RBD,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-CI-2021-08-16,SRP311364,NYC DEP,2021-08-16,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,CI,,,,,,,,,,,,,,,,
SRR18583080,AMPLICON,602,78350902,PRJNA715712,SAMN27252806,SARS-CoV-2: wastewater surveillance,33780853,THE NEW SCHOOL,NY DEP,2022-01-03,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX14712137,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-BB-2022-01-03-Mixed,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-BB-2022-01-03,SRP311364,NYC DEP,2022-01-03,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,BB,,,,,,,,,,,,,,,,
SRR18583081,AMPLICON,602,91256578,PRJNA715712,SAMN27252805,SARS-CoV-2: wastewater surveillance,46107603,THE NEW SCHOOL,NY DEP,2022-01-25,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX14712136,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-BB-2022-01-25-RBD,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-BB-2022-01-25,SRP311364,NYC DEP,2022-01-25,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,BB,,,,,,,,,,,,,,,,
SRR18583082,AMPLICON,602,92087338,PRJNA715712,SAMN27252804,SARS-CoV-2: wastewater surveillance,44833649,THE NEW SCHOOL,NY DEP,2022-01-18,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX14712135,USA,North America,USA: New York,Illumina MiSeq,wastewater,NY-BB-2022-01-18-RBD,PAIRED,RT-PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2022-04-07T00:00:00Z,NY-BB-2022-01-18,SRP311364,NYC DEP,2022-01-18,USA: Ney York,wastewater,wastewater metagenome,Not Collected,'Not Collected',24h,24,raw wastewater,raw wastewater,composite,composite,Yes,yes,SARS-CoV-2,SARS-CoV-2,University of Missouri,BB,,,,,,,,,,,,,,,,
